customer_id,boiler_id,installation_date,boiler_type,boiler_manufacturer,model,energy_rating,voltage,have_insurance,last_service_date,fault_history
CUST00003,PROD005,2026-07-14,Combi,Baxi,Baxi Model G,A,230V,No,,EA
CUST00007,PROD002,2020-05-29,Conventional,Glow-worm,Glow-worm Model H,A,230V,No,2021-04-11,F22
CUST00011,PROD004,2026-02-05,Conventional,Baxi,Baxi Model M,A,230V,Yes,,Ignition Failure
CUST00012,PROD008,2020-07-01,System,Worcester Bosch,Worcester Bosch Model M,B,230V,No,2020-10-23,F75
CUST00014,PROD002,2023-05-30,Conventional,Glow-worm,Glow-worm Model A,A,230V,No,2024-05-04,Ignition Failure
CUST00015,PROD008,2026-05-10,System,Worcester Bosch,Worcester Bosch Model S,B,230V,No,,F22
CUST00019,PROD005,2021-12-25,Combi,Baxi,Baxi Model H,A,230V,No,2022-11-20,EA
CUST00024,PROD004,2026-05-30,Conventional,Baxi,Baxi Model F,A,230V,No,,F75
CUST00025,PROD008,2023-02-21,System,Worcester Bosch,Worcester Bosch Model F,B,230V,Yes,2023-11-22,None
CUST00027,PROD005,2024-07-11,Combi,Baxi,Baxi Model T,A,230V,Yes,2024-11-18,None
CUST00028,PROD008,2025-06-05,System,Worcester Bosch,Worcester Bosch Model B,B,230V,Yes,2026-02-09,F22
CUST00034,PROD007,2024-03-17,Conventional,Baxi,Baxi Model A,C,230V,No,2025-03-15,Ignition Failure
CUST00036,PROD007,2025-09-22,Conventional,Baxi,Baxi Model H,C,230V,No,2026-02-16,None
CUST00038,PROD001,2025-01-18,Conventional,Worcester Bosch,Worcester Bosch Model X,A,230V,No,2025-09-19,F75
CUST00040,PROD010,2024-08-09,Conventional,Glow-worm,Glow-worm Model D,B,230V,No,2025-05-05,EA
CUST00041,PROD002,2026-06-07,Conventional,Glow-worm,Glow-worm Model V,A,230V,No,,Ignition Failure
CUST00043,PROD003,2025-04-15,Combi,Vaillant,Vaillant Model Q,A,230V,Yes,2025-11-26,EA
CUST00044,PROD001,2026-01-11,Conventional,Worcester Bosch,Worcester Bosch Model J,A,230V,Yes,,Ignition Failure
CUST00045,PROD004,2025-07-30,Conventional,Baxi,Baxi Model S,A,230V,Yes,2026-05-21,F75
CUST00048,PROD005,2022-05-03,Combi,Baxi,Baxi Model Z,A,230V,Yes,2023-04-14,F75
CUST00051,PROD002,2023-10-23,Conventional,Glow-worm,Glow-worm Model H,A,230V,No,2024-03-20,Ignition Failure
CUST00052,PROD001,2026-07-30,Conventional,Worcester Bosch,Worcester Bosch Model G,A,230V,No,,EA
CUST00054,PROD004,2024-03-05,Conventional,Baxi,Baxi Model H,A,230V,Yes,2024-10-01,F75
CUST00055,PROD004,2026-06-14,Conventional,Baxi,Baxi Model A,A,230V,Yes,,F22
CUST00057,PROD008,2024-08-29,System,Worcester Bosch,Worcester Bosch Model C,B,230V,Yes,2025-01-13,F75
CUST00058,PROD009,2020-05-14,Combi,Baxi,Baxi Model N,C,230V,Yes,2020-12-10,EA
CUST00059,PROD008,2024-10-08,System,Worcester Bosch,Worcester Bosch Model C,B,230V,No,2025-02-19,None
CUST00060,PROD007,2026-04-29,Conventional,Baxi,Baxi Model J,C,230V,No,,Ignition Failure
CUST00062,PROD006,2024-04-24,Conventional,Baxi,Baxi Model A,A,230V,No,2025-01-28,F22
CUST00063,PROD005,2017-08-30,Combi,Baxi,Baxi Model Y,A,230V,No,2018-05-23,Ignition Failure
CUST00064,PROD005,2026-07-28,Combi,Baxi,Baxi Model Y,A,230V,Yes,,Ignition Failure
CUST00065,PROD004,2019-09-04,Conventional,Baxi,Baxi Model G,A,230V,No,2020-05-15,F22
CUST00069,PROD002,2025-12-26,Conventional,Glow-worm,Glow-worm Model U,A,230V,Yes,,None
CUST00070,PROD002,2026-03-27,Conventional,Glow-worm,Glow-worm Model Y,A,230V,No,,EA
CUST00073,PROD002,2024-09-10,Conventional,Glow-worm,Glow-worm Model W,A,230V,No,2025-06-12,None
CUST00074,PROD010,2025-09-30,Conventional,Glow-worm,Glow-worm Model Z,B,230V,Yes,2026-02-03,F75
CUST00075,PROD005,2021-12-24,Combi,Baxi,Baxi Model E,A,230V,No,2022-10-20,Ignition Failure
CUST00076,PROD005,2022-01-14,Combi,Baxi,Baxi Model G,A,230V,No,2022-07-25,F75
CUST00078,PROD006,2021-10-08,Conventional,Baxi,Baxi Model O,A,230V,No,2022-05-17,Ignition Failure
CUST00082,PROD006,2021-05-08,Conventional,Baxi,Baxi Model W,A,230V,No,2021-10-05,F75
CUST00083,PROD003,2025-11-16,Combi,Vaillant,Vaillant Model D,A,230V,Yes,,F75
CUST00084,PROD009,2025-12-08,Combi,Baxi,Baxi Model W,C,230V,No,2026-07-19,F22
CUST00086,PROD002,2022-03-07,Conventional,Glow-worm,Glow-worm Model E,A,230V,No,2022-12-02,None
CUST00088,PROD001,2023-01-07,Conventional,Worcester Bosch,Worcester Bosch Model I,A,230V,Yes,2023-10-03,None
CUST00090,PROD010,2026-05-17,Conventional,Glow-worm,Glow-worm Model F,B,230V,No,,EA
CUST00092,PROD010,2025-11-30,Conventional,Glow-worm,Glow-worm Model V,B,230V,Yes,2026-05-27,EA
CUST00094,PROD008,2026-05-10,System,Worcester Bosch,Worcester Bosch Model D,B,230V,Yes,,F22
CUST00095,PROD003,2025-07-17,Combi,Vaillant,Vaillant Model Q,A,230V,No,2026-04-28,F22
CUST00096,PROD007,2023-05-10,Conventional,Baxi,Baxi Model Q,C,230V,Yes,2024-04-19,EA
CUST00098,PROD006,2023-11-29,Conventional,Baxi,Baxi Model J,A,230V,Yes,2024-11-28,None
CUST00101,PROD001,2026-07-15,Conventional,Worcester Bosch,Worcester Bosch Model O,A,230V,No,,EA
CUST00103,PROD007,2018-02-15,Conventional,Baxi,Baxi Model F,C,230V,No,2018-09-30,F75
CUST00105,PROD007,2024-02-16,Conventional,Baxi,Baxi Model I,C,230V,Yes,2024-08-02,F75
CUST00110,PROD003,2022-11-12,Combi,Vaillant,Vaillant Model E,A,230V,No,2023-09-02,F22
CUST00111,PROD008,2022-11-08,System,Worcester Bosch,Worcester Bosch Model W,B,230V,Yes,2023-03-19,F22
CUST00112,PROD005,2024-07-23,Combi,Baxi,Baxi Model G,A,230V,No,2025-07-05,F22
CUST00115,PROD010,2024-06-17,Conventional,Glow-worm,Glow-worm Model H,B,230V,No,2025-01-25,None
CUST00116,PROD008,2023-08-03,System,Worcester Bosch,Worcester Bosch Model U,B,230V,Yes,2024-07-12,F22
CUST00120,PROD002,2025-08-28,Conventional,Glow-worm,Glow-worm Model E,A,230V,Yes,2026-03-10,EA
CUST00122,PROD005,2026-04-02,Combi,Baxi,Baxi Model U,A,230V,No,,F75
CUST00124,PROD004,2026-05-10,Conventional,Baxi,Baxi Model F,A,230V,Yes,,F75
CUST00127,PROD007,2022-01-12,Conventional,Baxi,Baxi Model M,C,230V,No,2022-10-30,EA
CUST00129,PROD005,2025-05-21,Combi,Baxi,Baxi Model X,A,230V,Yes,2025-12-03,None
CUST00130,PROD001,2020-07-13,Conventional,Worcester Bosch,Worcester Bosch Model X,A,230V,No,2021-02-23,None
CUST00133,PROD003,2020-02-19,Combi,Vaillant,Vaillant Model H,A,230V,No,2021-01-26,F22
CUST00135,PROD009,2024-04-02,Combi,Baxi,Baxi Model P,C,230V,No,2024-10-30,F22
CUST00141,PROD006,2024-10-02,Conventional,Baxi,Baxi Model T,A,230V,Yes,2025-02-09,Ignition Failure
CUST00146,PROD003,2021-09-10,Combi,Vaillant,Vaillant Model A,A,230V,Yes,2022-05-29,F22
CUST00147,PROD002,2026-07-23,Conventional,Glow-worm,Glow-worm Model X,A,230V,No,,F75
CUST00148,PROD008,2025-03-21,System,Worcester Bosch,Worcester Bosch Model H,B,230V,Yes,2026-03-07,F75
CUST00150,PROD005,2023-01-13,Combi,Baxi,Baxi Model E,A,230V,No,2023-06-14,None
CUST00151,PROD006,2021-03-16,Conventional,Baxi,Baxi Model A,A,230V,No,2022-01-07,F75
CUST00157,PROD005,2024-08-03,Combi,Baxi,Baxi Model I,A,230V,Yes,2025-03-14,F22
CUST00159,PROD005,2026-01-26,Combi,Baxi,Baxi Model Q,A,230V,Yes,,Ignition Failure
CUST00160,PROD003,2024-02-12,Combi,Vaillant,Vaillant Model J,A,230V,No,2024-11-16,F75
CUST00162,PROD004,2025-09-21,Conventional,Baxi,Baxi Model U,A,230V,Yes,2026-07-25,F22
CUST00163,PROD002,2025-06-08,Conventional,Glow-worm,Glow-worm Model Z,A,230V,No,2025-11-07,Ignition Failure
CUST00164,PROD010,2026-08-01,Conventional,Glow-worm,Glow-worm Model L,B,230V,No,,F75
CUST00166,PROD003,2026-02-07,Combi,Vaillant,Vaillant Model K,A,230V,No,,EA
CUST00167,PROD003,2026-07-31,Combi,Vaillant,Vaillant Model S,A,230V,No,,None
CUST00168,PROD002,2026-01-12,Conventional,Glow-worm,Glow-worm Model Y,A,230V,No,,Ignition Failure
CUST00171,PROD010,2026-03-09,Conventional,Glow-worm,Glow-worm Model Q,B,230V,Yes,,None
CUST00172,PROD008,2020-06-03,System,Worcester Bosch,Worcester Bosch Model S,B,230V,No,2020-11-22,F75
CUST00174,PROD005,2018-08-09,Combi,Baxi,Baxi Model R,A,230V,Yes,2019-05-08,Ignition Failure
CUST00175,PROD004,2024-12-12,Conventional,Baxi,Baxi Model U,A,230V,No,2025-05-28,F75
CUST00176,PROD004,2025-06-04,Conventional,Baxi,Baxi Model U,A,230V,No,2026-04-19,None
CUST00177,PROD002,2023-02-28,Conventional,Glow-worm,Glow-worm Model W,A,230V,Yes,2024-01-10,F22
CUST00179,PROD010,2026-02-27,Conventional,Glow-worm,Glow-worm Model G,B,230V,Yes,,None
CUST00180,PROD004,2023-06-18,Conventional,Baxi,Baxi Model Y,A,230V,Yes,2024-02-18,None
CUST00182,PROD003,2024-12-09,Combi,Vaillant,Vaillant Model Y,A,230V,No,2025-11-15,None
CUST00183,PROD007,2019-03-21,Conventional,Baxi,Baxi Model W,C,230V,Yes,2020-01-31,EA
CUST00184,PROD002,2020-02-08,Conventional,Glow-worm,Glow-worm Model W,A,230V,Yes,2020-10-23,EA
CUST00185,PROD001,2026-07-17,Conventional,Worcester Bosch,Worcester Bosch Model P,A,230V,Yes,,F75
CUST00187,PROD002,2024-02-08,Conventional,Glow-worm,Glow-worm Model X,A,230V,No,2024-09-11,Ignition Failure
CUST00188,PROD007,2019-08-13,Conventional,Baxi,Baxi Model K,C,230V,Yes,2020-03-14,F22
CUST00197,PROD005,2019-01-15,Combi,Baxi,Baxi Model F,A,230V,No,2019-09-05,None
CUST00199,PROD008,2025-09-18,System,Worcester Bosch,Worcester Bosch Model C,B,230V,Yes,2026-03-02,F75
CUST00200,PROD004,2022-08-13,Conventional,Baxi,Baxi Model I,A,230V,Yes,2023-02-24,F75
CUST00202,PROD007,2026-07-02,Conventional,Baxi,Baxi Model F,C,230V,No,,None
CUST00204,PROD006,2026-06-16,Conventional,Baxi,Baxi Model W,A,230V,No,,F75
CUST00205,PROD009,2026-03-03,Combi,Baxi,Baxi Model A,C,230V,Yes,,F75
