job_id,job_registration_datetime,contact_center_agent_id,mode_of_contact
JOB000001,2026-05-15 00:00:00,CCA101,Email
JOB000003,2026-02-06 00:00:00,CCA145,App
JOB000004,2026-07-18 00:00:00,CCA103,Call
JOB000005,2025-08-18 00:00:00,CCA138,Call
JOB000007,2025-09-27 00:00:00,CCA105,Email
JOB000008,2026-04-24 00:00:00,CCA131,Email
JOB000009,2026-03-05 00:00:00,CCA133,Email
JOB000011,2024-10-27 00:00:00,CCA112,Visit
JOB000012,2025-03-21 00:00:00,CCA102,App
JOB000013,2025-08-13 00:00:00,CCA128,Email
JOB000015,2026-01-05 00:00:00,CCA137,Visit
JOB000017,2025-11-18 00:00:00,CCA125,Email
JOB000019,2026-05-14 00:00:00,CCA121,Call
JOB000020,2025-10-27 00:00:00,CCA118,Email
JOB000021,2026-01-23 00:00:00,CCA105,Call
JOB000023,2025-12-19 00:00:00,CCA108,Email
JOB000024,2025-09-07 00:00:00,CCA117,App
JOB000025,2025-12-07 00:00:00,CCA127,Call
JOB000027,2024-09-08 00:00:00,CCA118,App
JOB000028,2026-03-27 00:00:00,CCA119,Visit
JOB000030,2025-12-07 00:00:00,CCA129,Email
JOB000031,2024-12-26 00:00:00,CCA149,Call
JOB000032,2026-03-18 00:00:00,CCA126,Email
JOB000035,2026-02-23 00:00:00,CCA139,Email
JOB000036,2025-10-29 00:00:00,CCA112,Call
JOB000038,2026-06-03 00:00:00,CCA107,Visit
JOB000040,2026-07-25 00:00:00,CCA121,Call
JOB000041,2026-03-04 00:00:00,CCA126,App
JOB000042,2025-11-18 00:00:00,CCA146,App
JOB000044,2024-12-26 00:00:00,CCA131,Email
JOB000045,2025-08-10 00:00:00,CCA112,App
JOB000046,2025-09-04 00:00:00,CCA121,App
JOB000048,2025-09-15 00:00:00,CCA118,Call
JOB000049,2026-06-28 00:00:00,CCA106,App
JOB000051,2025-07-05 00:00:00,CCA132,Call
JOB000052,2026-04-22 00:00:00,CCA114,App
JOB000054,2025-12-30 00:00:00,CCA145,Call
JOB000055,2024-09-21 00:00:00,CCA148,Call
