customer_id,city,pincode,region,terrian
CUST00001,Manchester,G3C 1YH,North West,Suburban
CUST00002,Bristol,SP1E 1YA,Scotland,Urban
CUST00003,Manchester,DH1W 1NZ,North East,Rural
CUST00004,Bristol,N0W 7ES,North West,Coastal
CUST00005,Newcastle,FK9V 7SY,Wales,Suburban
CUST00006,Leeds,EH79 5AU,North West,Suburban
CUST00007,Bristol,HR4 8AW,Midlands,Coastal
CUST00008,Sheffield,LN7R 1NJ,Midlands,Urban
CUST00009,Bristol,N6T 5TL,Scotland,Coastal
CUST00010,Leeds,CM8 3HU,North West,Coastal
CUST00011,Liverpool,M35 4AX,South West,Suburban
CUST00012,London,W10 7UT,North East,Rural
CUST00013,Newcastle,BS90 2YN,South West,Urban
CUST00014,Southampton,L8G 7NY,Midlands,Coastal
CUST00015,Manchester,CB3X 4DG,London,Urban
CUST00016,Southampton,SM97 0JN,South West,Urban
CUST00017,Manchester,TN9 6EX,Midlands,Urban
CUST00018,Sheffield,PH9 7ET,North East,Urban
CUST00019,Sheffield,LA19 6PZ,North West,Coastal
CUST00020,London,B4K 2UW,Wales,Rural
CUST00021,Sheffield,CA75 5PE,Midlands,Urban
CUST00022,London,TW80 1PL,South East,Rural
CUST00023,Liverpool,W6 3WQ,Scotland,Rural
CUST00024,Sheffield,M82 7UE,South West,Suburban
CUST00025,London,CA31 1FU,London,Rural
CUST00026,Manchester,EH78 6HZ,South East,Coastal
CUST00027,Sheffield,HR84 4NY,Yorkshire,Suburban
CUST00028,Manchester,HP8 7PH,South West,Suburban
CUST00029,Newcastle,LN6P 7BF,South East,Suburban
CUST00030,Manchester,AL26 1UL,London,Suburban
CUST00031,Sheffield,WF8P 7XB,Scotland,Coastal
CUST00032,Manchester,DY1 1ET,Midlands,Urban
CUST00033,Bristol,M5 6FJ,Yorkshire,Coastal
CUST00034,Newcastle,G19 9JU,North West,Coastal
CUST00035,London,SG0 4XG,Midlands,Rural
CUST00036,Newcastle,EN7M 6UE,South East,Urban
CUST00037,Birmingham,IV4A 9UN,Wales,Rural
CUST00038,Bristol,SK2 0NT,Scotland,Suburban
CUST00039,Newcastle,KT2H 8QW,Scotland,Coastal
CUST00040,Liverpool,TS45 7DF,London,Rural
CUST00041,Birmingham,E7F 9RQ,Yorkshire,Suburban
CUST00042,Newcastle,N9D 7NS,Scotland,Urban
CUST00043,Birmingham,CH13 6TQ,North West,Urban
CUST00044,Manchester,PO64 5HT,Yorkshire,Suburban
CUST00045,Southampton,HU0P 3ET,North West,Coastal
CUST00046,London,B5 2YH,Yorkshire,Rural
CUST00047,Leeds,N29 4FF,North West,Suburban
CUST00048,Southampton,G0 3YP,Yorkshire,Suburban
CUST00049,Newcastle,E1H 5WY,South East,Suburban
CUST00050,Newcastle,M7 0UR,North East,Rural
CUST00051,Leeds,N9 1FL,South East,Coastal
CUST00052,Southampton,M7J 1EX,Scotland,Coastal
CUST00053,Southampton,JE61 6PL,South East,Rural
CUST00054,Bristol,E6 5FX,London,Urban
CUST00055,Birmingham,HU60 9NQ,South West,Rural
CUST00056,Birmingham,E58 1LY,Yorkshire,Urban
CUST00057,Sheffield,FK0E 4PQ,North West,Coastal
CUST00058,Glasgow,B18 6ST,Scotland,Rural
CUST00059,Newcastle,B2 9BD,Yorkshire,Coastal
CUST00060,Southampton,DN8 5SE,South West,Urban
CUST00061,Manchester,S90 3NH,Scotland,Suburban
CUST00062,Leeds,DD26 8XQ,Yorkshire,Urban
CUST00063,Birmingham,OX6 6NE,London,Urban
CUST00064,Birmingham,HX1P 3SY,London,Urban
CUST00065,Manchester,E81 5QF,North West,Coastal
CUST00066,Southampton,BS2X 7YY,South East,Urban
CUST00067,Liverpool,WN5 7DU,London,Coastal
CUST00068,Manchester,E4H 0BQ,Yorkshire,Urban
CUST00069,Bristol,S7K 7YH,Yorkshire,Urban
CUST00070,Birmingham,SP1 0JT,Midlands,Urban
CUST00071,Bristol,IP6 9BP,North East,Rural
CUST00072,Southampton,EN9 5DY,Scotland,Urban
CUST00073,Bristol,CO91 8RP,Scotland,Urban
CUST00074,Newcastle,N0F 2HP,Wales,Suburban
CUST00075,Sheffield,B5 9RF,Yorkshire,Rural
CUST00076,Liverpool,EC7W 7JX,North East,Suburban
CUST00077,Leeds,W7U 6WW,South West,Suburban
CUST00078,Birmingham,BL7 8EW,Yorkshire,Suburban
CUST00079,Leeds,G6B 7QA,Scotland,Suburban
CUST00080,Liverpool,N3 5EP,Scotland,Coastal
CUST00081,Sheffield,SN27 9AD,South East,Rural
CUST00082,London,PL8P 4JN,Yorkshire,Urban
CUST00083,Glasgow,PH80 2NS,Wales,Suburban
CUST00084,London,SG1V 1WX,Midlands,Coastal
CUST00085,London,BH65 0QD,North East,Suburban
CUST00086,London,SY5E 5XP,Yorkshire,Rural
CUST00087,Birmingham,W0 3BH,Wales,Coastal
CUST00088,Glasgow,EN03 5BP,Scotland,Coastal
CUST00089,Liverpool,HR27 5WL,Wales,Coastal
CUST00090,Liverpool,M51 5NN,South West,Rural
CUST00091,London,BH59 4BD,North East,Coastal
CUST00092,Bristol,W0C 3QQ,Wales,Urban
CUST00093,Newcastle,IG7 9FW,South East,Suburban
CUST00094,Sheffield,G7 8EL,Yorkshire,Urban
CUST00095,Newcastle,DH12 7GT,South East,Rural
CUST00096,Leeds,WD2 5WJ,Wales,Urban
CUST00097,Birmingham,N7U 9DD,North East,Urban
CUST00098,Sheffield,E2F 7TW,London,Urban
CUST00099,Sheffield,S80 8FN,North West,Suburban
CUST00100,London,M1E 8LF,South East,Urban
CUST00101,Sheffield,DA9W 2ZZ,North West,Rural
CUST00102,Leeds,TD9M 9SZ,North East,Suburban
CUST00103,Newcastle,GU7H 4TD,South East,Rural
CUST00104,Birmingham,N92 5QR,Wales,Coastal
CUST00105,Southampton,W14 3FE,London,Urban
CUST00106,London,N95 2UW,Yorkshire,Urban
CUST00107,Birmingham,W3D 0BN,South East,Coastal
CUST00108,London,M56 0RB,London,Suburban
CUST00109,Birmingham,S8 8LZ,Yorkshire,Rural
CUST00110,Manchester,NW5 3ZW,Yorkshire,Rural
CUST00111,London,TR7 2ZW,Wales,Rural
CUST00112,Newcastle,WC4W 8WX,Scotland,Coastal
CUST00113,Leeds,S9 0ZU,North West,Rural
CUST00114,Bristol,W2J 2JB,Scotland,Coastal
CUST00115,Glasgow,CV63 8ZU,Wales,Suburban
CUST00116,Manchester,LS8P 2TX,Yorkshire,Rural
CUST00117,Glasgow,EX9R 3LX,London,Urban
CUST00118,Birmingham,HD75 4EY,North West,Urban
CUST00119,Sheffield,M04 5TL,Wales,Rural
CUST00120,Southampton,M2B 3BW,North West,Suburban
CUST00121,London,LN1X 0XG,North West,Coastal
CUST00122,Southampton,HG4 1YJ,Midlands,Urban
CUST00123,Leeds,B67 4BA,South West,Coastal
CUST00124,Bristol,GL7 2WT,South East,Coastal
CUST00125,Leeds,DE0Y 4YH,Wales,Urban
CUST00126,Sheffield,SG12 7PJ,Wales,Rural
CUST00127,Manchester,GU9 4QJ,Scotland,Urban
CUST00128,Manchester,TD4Y 4QZ,Scotland,Suburban
CUST00129,Newcastle,PL5P 8HJ,Scotland,Coastal
CUST00130,London,BS9 0XW,Midlands,Suburban
CUST00131,Leeds,PA7B 0TF,Scotland,Suburban
CUST00132,Leeds,SK40 4AH,North West,Suburban
CUST00133,Newcastle,B1 0NS,London,Rural
CUST00134,Newcastle,IM18 5EG,London,Coastal
CUST00135,Manchester,B04 8SX,Scotland,Suburban
CUST00136,London,E06 3HD,Midlands,Suburban
CUST00137,Newcastle,L0 7JX,Scotland,Rural
CUST00138,Southampton,N99 3NF,North East,Coastal
CUST00139,Birmingham,G6 0QR,Midlands,Rural
CUST00140,Newcastle,W33 2TB,Wales,Coastal
CUST00141,London,N17 1XH,London,Coastal
CUST00142,London,L9 7HP,London,Coastal
CUST00143,Manchester,W3 6JX,South East,Suburban
CUST00144,Newcastle,EX5 7EU,Midlands,Suburban
CUST00145,London,G04 4FH,South West,Urban
CUST00146,Bristol,HR4R 7GQ,Wales,Rural
CUST00147,Glasgow,B8A 0AS,South West,Suburban
CUST00148,Leeds,W50 7AA,South East,Rural
CUST00149,Birmingham,NN4 8SG,Yorkshire,Urban
CUST00150,Birmingham,M5E 1QR,Yorkshire,Rural
CUST00151,Sheffield,B1 6RX,Scotland,Coastal
CUST00152,Manchester,TN5W 8BJ,Scotland,Suburban
CUST00153,Birmingham,M8 2PA,South East,Suburban
CUST00154,Newcastle,CW9 9RX,Midlands,Coastal
CUST00155,Southampton,N0B 3DP,Yorkshire,Suburban
CUST00156,Newcastle,LU35 6GY,Midlands,Rural
CUST00157,Newcastle,E14 6FR,Midlands,Coastal
CUST00158,Manchester,HX41 1GS,Wales,Coastal
