pay_id,shift_date,productivity
ENG001,2026-07-06,7.87
ENG001,2026-07-07,4.23
ENG001,2026-07-08,7.2
ENG001,2026-07-09,3.77
ENG001,2026-07-10,3.89
ENG001,2026-07-11,3.43
ENG001,2026-07-13,5.14
ENG001,2026-07-14,5.6
ENG001,2026-07-15,5.26
ENG001,2026-07-16,4.8
ENG001,2026-07-17,6.29
ENG001,2026-07-19,5.14
ENG001,2026-07-20,4.91
ENG001,2026-07-21,5.14
ENG001,2026-07-22,7.89
ENG001,2026-07-23,5.14
ENG001,2026-07-24,4.11
ENG001,2026-07-26,4.34
ENG001,2026-07-27,6.74
ENG001,2026-07-28,3.66
ENG001,2026-07-29,4.0
ENG001,2026-07-30,5.14
ENG001,2026-07-31,6.51
ENG001,2026-08-03,7.2
ENG001,2026-08-04,4.23
ENG002,2026-07-06,3.54
ENG002,2026-07-07,6.29
ENG002,2026-07-08,5.03
ENG002,2026-07-09,6.93
ENG002,2026-07-10,3.77
ENG002,2026-07-13,5.37
ENG002,2026-07-14,7.89
ENG002,2026-07-15,4.57
ENG002,2026-07-16,7.2
ENG002,2026-07-17,5.83
ENG002,2026-07-20,4.11
ENG002,2026-07-21,6.4
ENG002,2026-07-22,5.14
ENG002,2026-07-23,3.77
ENG002,2026-07-24,6.86
ENG002,2026-07-27,4.57
ENG002,2026-07-28,7.43
ENG002,2026-07-29,5.37
ENG002,2026-07-30,4.8
ENG002,2026-07-31,4.8
ENG002,2026-08-02,7.09
ENG002,2026-08-03,5.6
ENG002,2026-08-04,5.37
ENG003,2026-07-06,6.97
ENG003,2026-07-07,6.51
ENG003,2026-07-08,7.54
ENG003,2026-07-09,4.69
ENG003,2026-07-10,3.54
ENG003,2026-07-13,6.17
ENG003,2026-07-14,4.91
ENG003,2026-07-15,3.54
ENG003,2026-07-16,3.77
ENG003,2026-07-17,6.63
ENG003,2026-07-18,6.29
ENG003,2026-07-20,7.66
ENG003,2026-07-21,5.33
ENG003,2026-07-22,5.49
ENG003,2026-07-23,6.86
ENG003,2026-07-24,6.63
ENG003,2026-07-27,7.47
ENG003,2026-07-28,6.29
ENG003,2026-07-29,5.03
ENG003,2026-07-30,7.89
ENG003,2026-07-31,4.8
ENG003,2026-08-03,6.53
ENG003,2026-08-04,5.47
ENG004,2026-07-06,8.0
ENG004,2026-07-07,7.87
ENG004,2026-07-08,5.71
ENG004,2026-07-09,7.66
ENG004,2026-07-10,6.4
ENG004,2026-07-11,4.93
ENG004,2026-07-12,4.23
ENG004,2026-07-13,7.07
ENG004,2026-07-14,5.26
ENG004,2026-07-15,6.86
ENG004,2026-07-16,6.17
ENG004,2026-07-17,5.14
ENG004,2026-07-19,6.86
ENG004,2026-07-20,5.83
ENG004,2026-07-21,7.31
ENG004,2026-07-22,5.6
ENG004,2026-07-23,5.49
ENG004,2026-07-24,4.23
ENG004,2026-07-27,5.6
ENG004,2026-07-28,7.6
ENG004,2026-07-29,6.4
ENG004,2026-07-30,5.26
ENG004,2026-07-31,6.29
ENG004,2026-08-03,6.17
ENG004,2026-08-04,7.77
ENG005,2026-07-06,4.57
ENG005,2026-07-07,5.6
ENG005,2026-07-08,5.47
ENG005,2026-07-09,7.43
ENG005,2026-07-10,5.94
ENG005,2026-07-11,4.11
ENG005,2026-07-13,4.23
ENG005,2026-07-14,7.66
ENG005,2026-07-15,4.8
ENG005,2026-07-16,4.34
ENG005,2026-07-17,4.57
ENG005,2026-07-19,7.89
ENG005,2026-07-20,3.89
ENG005,2026-07-21,4.91
ENG005,2026-07-22,4.11
ENG005,2026-07-23,7.77
ENG005,2026-07-24,4.13
ENG005,2026-07-26,7.31
ENG005,2026-07-27,5.73
ENG005,2026-07-28,6.74
ENG005,2026-07-29,7.07
ENG005,2026-07-30,5.83
