pay_id,direct_labour_or_contractor,training_result,profiency,multi_skill_or_single_skill,primary_skill,secondary_skill
ENG001,Contractor,Merit,Beginner,Multi Skill,Repair,Service
ENG002,Direct Labour,Distinction,Expert,Multi Skill,Service,Repair
ENG003,Direct Labour,Merit,Intermediate,Single Skill,Service,None
ENG004,Direct Labour,Pass,Intermediate,Multi Skill,Repair,Installation
ENG005,Contractor,Merit,Intermediate,Single Skill,Service,Repair
ENG006,Contractor,Pass,Beginner,Multi Skill,Installation,Installation
ENG007,Direct Labour,Pass,Expert,Single Skill,Installation,Repair
ENG008,Direct Labour,Distinction,Beginner,Multi Skill,Service,Service
ENG009,Direct Labour,Merit,Beginner,Multi Skill,Installation,Service
ENG010,Direct Labour,Merit,Expert,Single Skill,Repair,Repair
ENG011,Contractor,Pass,Intermediate,Single Skill,Service,Installation
ENG012,Contractor,Merit,Beginner,Multi Skill,Repair,Service
ENG013,Direct Labour,Distinction,Beginner,Single Skill,Service,Installation
ENG014,Direct Labour,Pass,Intermediate,Single Skill,Service,None
ENG015,Contractor,Distinction,Expert,Multi Skill,Installation,Installation
ENG016,Direct Labour,Pass,Intermediate,Multi Skill,Service,Repair
ENG017,Contractor,Merit,Expert,Multi Skill,Installation,Installation
ENG018,Direct Labour,Distinction,Expert,Single Skill,Installation,None
ENG019,Contractor,Pass,Beginner,Single Skill,Repair,Service
ENG020,Direct Labour,Merit,Beginner,Single Skill,Service,None
ENG021,Contractor,Distinction,Beginner,Multi Skill,Service,Repair
ENG022,Direct Labour,Merit,Expert,Multi Skill,Repair,Repair
ENG023,Direct Labour,Merit,Intermediate,Multi Skill,Repair,Repair
ENG024,Direct Labour,Distinction,Beginner,Single Skill,Installation,None
ENG025,Direct Labour,Pass,Beginner,Multi Skill,Repair,Service
ENG026,Direct Labour,Distinction,Intermediate,Single Skill,Installation,Repair
ENG027,Contractor,Pass,Expert,Multi Skill,Repair,Service
ENG028,Contractor,Pass,Beginner,Single Skill,Repair,Installation
ENG029,Direct Labour,Pass,Beginner,Multi Skill,Repair,Installation
ENG030,Contractor,Pass,Intermediate,Single Skill,Installation,None
