pincode,customer_id,epc_rating,current_energy_efficiency,potential_energy_efficiency
G3C 1YH,CUST00001,D,45,96
SP1E 1YA,CUST00002,D,1,83
DH1W 1NZ,CUST00003,D,42,75
N0W 7ES,CUST00004,D,75,88
FK9V 7SY,CUST00005,A,37,82
EH79 5AU,CUST00006,D,79,99
HR4 8AW,CUST00007,F,1,98
LN7R 1NJ,CUST00008,E,72,88
N6T 5TL,CUST00009,C,97,65
CM8 3HU,CUST00010,C,70,55
M35 4AX,CUST00011,D,54,53
W10 7UT,CUST00012,B,35,77
BS90 2YN,CUST00013,G,60,61
L8G 7NY,CUST00014,G,54,66
CB3X 4DG,CUST00015,B,31,58
SM97 0JN,CUST00016,E,87,74
TN9 6EX,CUST00017,E,55,92
PH9 7ET,CUST00018,F,59,95
LA19 6PZ,CUST00019,G,32,55
B4K 2UW,CUST00020,C,36,88
CA75 5PE,CUST00021,D,83,95
TW80 1PL,CUST00022,F,75,73
W6 3WQ,CUST00023,B,16,96
M82 7UE,CUST00024,G,25,68
CA31 1FU,CUST00025,C,61,80
EH78 6HZ,CUST00026,B,73,69
HR84 4NY,CUST00027,G,76,77
HP8 7PH,CUST00028,D,89,88
LN6P 7BF,CUST00029,B,83,59
AL26 1UL,CUST00030,F,39,94
WF8P 7XB,CUST00031,F,42,88
DY1 1ET,CUST00032,E,84,78
M5 6FJ,CUST00033,C,86,56
G19 9JU,CUST00034,C,42,57
SG0 4XG,CUST00035,B,35,85
EN7M 6UE,CUST00036,E,2,85
IV4A 9UN,CUST00037,B,59,85
SK2 0NT,CUST00038,G,65,67
KT2H 8QW,CUST00039,C,25,94
TS45 7DF,CUST00040,A,17,82
E7F 9RQ,CUST00041,E,89,75
N9D 7NS,CUST00042,F,12,77
CH13 6TQ,CUST00043,C,48,77
PO64 5HT,CUST00044,C,59,66
HU0P 3ET,CUST00045,D,62,56
B5 2YH,CUST00046,G,30,88
N29 4FF,CUST00047,E,47,96
G0 3YP,CUST00048,E,35,60
E1H 5WY,CUST00049,G,51,50
M7 0UR,CUST00050,F,30,80
N9 1FL,CUST00051,A,39,81
M7J 1EX,CUST00052,E,53,67
JE61 6PL,CUST00053,B,16,79
E6 5FX,CUST00054,G,98,85
HU60 9NQ,CUST00055,A,46,100
E58 1LY,CUST00056,E,14,78
FK0E 4PQ,CUST00057,F,14,81
B18 6ST,CUST00058,G,90,57
B2 9BD,CUST00059,C,48,59
DN8 5SE,CUST00060,C,86,98
S90 3NH,CUST00061,G,72,73
DD26 8XQ,CUST00062,F,98,69
