fault_code,explanation_related_fault_codes,severity,repair_cost
F44,Ad eius dolore qui.,Low,144.94
F82,Assumenda in adipisci dolor magnam ad dicta.,High,145.68
F73,In ipsum eius sit quis cum in.,Critical,448.11
F92,Culpa vero excepturi at atque.,Critical,114.29
F27,Nobis rem quas modi voluptate fugiat.,Medium,385.25
F78,Eos occaecati suscipit facere deleniti architecto optio.,High,386.16
F64,Voluptates sequi sint fugit iste.,Critical,212.9
F27,Cum explicabo pariatur praesentium placeat architecto.,Critical,90.91
F16,Modi doloribus iure earum.,Low,118.78
F30,Dolor eveniet quisquam animi reprehenderit rem illo.,Critical,318.38
F59,Distinctio velit soluta et.,Critical,318.15
F69,Id totam itaque eaque doloribus natus ea.,High,486.99
F11,Incidunt nesciunt facere voluptatum consequuntur laudantium quidem similique.,Low,356.77
F78,Occaecati recusandae in aperiam.,High,395.87
F53,Nisi iusto dolorum mollitia velit perspiciatis.,Low,182.08
