customer_id,lead_id,lead_date,mode_of_conversation_with_customer,appointment_date,appointment_happened,sale_date,sale_happened,installation_date,installation_happened,insurance_purchased
CUST00003,LD00001,2026-06-26,App,2026-07-12,Yes,2026-07-13,Yes,2026-07-14,Yes,No
CUST00007,LD00002,2020-05-11,App,2020-05-24,Yes,2020-05-25,Yes,2020-05-29,Yes,No
CUST00011,LD00003,2026-01-13,Email,2026-02-03,Yes,2026-02-04,Yes,2026-02-05,Yes,Yes
CUST00012,LD00004,2020-06-04,App,2020-06-27,Yes,2020-06-28,Yes,2020-07-01,Yes,No
CUST00014,LD00005,2023-05-02,Visit,2023-05-29,Yes,2023-05-30,Yes,2023-05-30,Yes,No
CUST00015,LD00006,2026-04-20,Call,2026-05-08,Yes,2026-05-09,Yes,2026-05-10,Yes,No
CUST00019,LD00007,2021-12-09,App,2021-12-23,Yes,2021-12-24,Yes,2021-12-25,Yes,No
CUST00024,LD00008,2026-05-19,Email,2026-05-25,Yes,2026-05-26,Yes,2026-05-30,Yes,No
CUST00025,LD00009,2023-01-26,Email,2023-02-17,Yes,2023-02-18,Yes,2023-02-21,Yes,Yes
CUST00027,LD00010,2024-06-21,App,2024-07-06,Yes,2024-07-07,Yes,2024-07-11,Yes,Yes
CUST00028,LD00011,2025-05-24,Email,2025-05-31,Yes,2025-06-01,Yes,2025-06-05,Yes,Yes
CUST00034,LD00012,2024-03-07,App,2024-03-15,Yes,2024-03-16,Yes,2024-03-17,Yes,No
CUST00036,LD00013,2025-09-08,App,2025-09-18,Yes,2025-09-19,Yes,2025-09-22,Yes,No
CUST00038,LD00014,2025-01-07,Call,2025-01-13,Yes,2025-01-14,Yes,2025-01-18,Yes,No
CUST00040,LD00015,2024-07-26,App,2024-08-06,Yes,2024-08-07,Yes,2024-08-09,Yes,No
CUST00041,LD00016,2026-05-13,Visit,2026-06-04,Yes,2026-06-05,Yes,2026-06-07,Yes,No
CUST00043,LD00017,2025-03-28,Email,2025-04-12,Yes,2025-04-13,Yes,2025-04-15,Yes,Yes
CUST00044,LD00018,2025-12-13,Call,2026-01-06,Yes,2026-01-07,Yes,2026-01-11,Yes,Yes
CUST00045,LD00019,2025-07-16,Email,2025-07-27,Yes,2025-07-28,Yes,2025-07-30,Yes,Yes
CUST00048,LD00020,2022-04-07,Call,2022-05-02,Yes,2022-05-03,Yes,2022-05-03,Yes,Yes
CUST00051,LD00021,2023-09-26,App,2023-10-20,Yes,2023-10-21,Yes,2023-10-23,Yes,No
CUST00052,LD00022,2026-07-04,Email,2026-07-25,Yes,2026-07-26,Yes,2026-07-30,Yes,No
CUST00054,LD00023,2024-02-12,Visit,2024-02-29,Yes,2024-03-01,Yes,2024-03-05,Yes,Yes
CUST00055,LD00024,2026-06-03,Visit,2026-06-10,Yes,2026-06-11,Yes,2026-06-14,Yes,Yes
CUST00057,LD00025,2024-08-13,App,2024-08-25,Yes,2024-08-26,Yes,2024-08-29,Yes,Yes
CUST00058,LD00026,2020-04-23,Email,2020-05-11,Yes,2020-05-12,Yes,2020-05-14,Yes,Yes
CUST00059,LD00027,2024-09-10,App,2024-10-05,Yes,2024-10-06,Yes,2024-10-08,Yes,No
CUST00060,LD00028,2026-04-03,App,2026-04-25,Yes,2026-04-26,Yes,2026-04-29,Yes,No
CUST00062,LD00029,2024-03-25,Call,2024-04-19,Yes,2024-04-20,Yes,2024-04-24,Yes,No
CUST00063,LD00030,2017-08-03,Email,2017-08-25,Yes,2017-08-26,Yes,2017-08-30,Yes,No
CUST00064,LD00031,2026-07-13,Call,2026-07-25,Yes,2026-07-26,Yes,2026-07-28,Yes,Yes
CUST00065,LD00032,2019-08-15,App,2019-09-02,Yes,2019-09-03,Yes,2019-09-04,Yes,No
CUST00069,LD00033,2025-11-29,Call,2025-12-22,Yes,2025-12-23,Yes,2025-12-26,Yes,Yes
CUST00070,LD00034,2026-03-06,Visit,2026-03-22,Yes,2026-03-23,Yes,2026-03-27,Yes,No
CUST00073,LD00035,2024-08-16,Email,2024-09-07,Yes,2024-09-08,Yes,2024-09-10,Yes,No
CUST00074,LD00036,2025-09-14,Email,2025-09-25,Yes,2025-09-26,Yes,2025-09-30,Yes,Yes
CUST00075,LD00037,2021-12-14,Visit,2021-12-23,Yes,2021-12-24,Yes,2021-12-24,Yes,No
CUST00076,LD00038,2022-01-01,Email,2022-01-10,Yes,2022-01-11,Yes,2022-01-14,Yes,No
CUST00078,LD00039,2021-09-28,App,2021-10-06,Yes,2021-10-07,Yes,2021-10-08,Yes,No
CUST00082,LD00040,2021-04-24,Visit,2021-05-05,Yes,2021-05-06,Yes,2021-05-08,Yes,No
CUST00083,LD00041,2025-10-27,App,2025-11-12,Yes,2025-11-13,Yes,2025-11-16,Yes,Yes
CUST00084,LD00042,2025-11-27,App,2025-12-05,Yes,2025-12-06,Yes,2025-12-08,Yes,No
CUST00086,LD00043,2022-02-23,App,2022-03-02,Yes,2022-03-03,Yes,2022-03-07,Yes,No
CUST00088,LD00044,2022-12-16,App,2023-01-06,Yes,2023-01-07,Yes,2023-01-07,Yes,Yes
CUST00090,LD00045,2026-04-19,Email,2026-05-15,Yes,2026-05-16,Yes,2026-05-17,Yes,No
CUST00092,LD00046,2025-11-16,App,2025-11-27,Yes,2025-11-28,Yes,2025-11-30,Yes,Yes
CUST00094,LD00047,2026-04-29,Call,2026-05-08,Yes,2026-05-09,Yes,2026-05-10,Yes,Yes
CUST00095,LD00048,2025-06-18,App,2025-07-14,Yes,2025-07-15,Yes,2025-07-17,Yes,No
CUST00096,LD00049,2023-04-24,Visit,2023-05-06,Yes,2023-05-07,Yes,2023-05-10,Yes,Yes
CUST00098,LD00050,2023-11-10,Visit,2023-11-27,Yes,2023-11-28,Yes,2023-11-29,Yes,Yes
CUST00101,LD00051,2026-06-27,Call,2026-07-14,Yes,2026-07-15,Yes,2026-07-15,Yes,No
CUST00103,LD00052,2018-02-01,Visit,2018-02-13,Yes,2018-02-14,Yes,2018-02-15,Yes,No
CUST00105,LD00053,2024-02-01,App,2024-02-11,Yes,2024-02-12,Yes,2024-02-16,Yes,Yes
CUST00110,LD00054,2022-10-22,Call,2022-11-09,Yes,2022-11-10,Yes,2022-11-12,Yes,No
CUST00111,LD00055,2022-10-18,Email,2022-11-07,Yes,2022-11-08,Yes,2022-11-08,Yes,Yes
CUST00112,LD00056,2024-07-10,Email,2024-07-22,Yes,2024-07-23,Yes,2024-07-23,Yes,No
CUST00115,LD00057,2024-05-28,App,2024-06-15,Yes,2024-06-16,Yes,2024-06-17,Yes,No
CUST00116,LD00058,2023-07-14,App,2023-08-01,Yes,2023-08-02,Yes,2023-08-03,Yes,Yes
CUST00120,LD00059,2025-08-16,Call,2025-08-26,Yes,2025-08-27,Yes,2025-08-28,Yes,Yes
CUST00122,LD00060,2026-03-21,Email,2026-03-29,Yes,2026-03-30,Yes,2026-04-02,Yes,No
CUST00124,LD00061,2026-04-24,App,2026-05-07,Yes,2026-05-08,Yes,2026-05-10,Yes,Yes
CUST00127,LD00062,2021-12-24,Email,2022-01-08,Yes,2022-01-09,Yes,2022-01-12,Yes,No
CUST00129,LD00063,2025-04-29,Visit,2025-05-20,Yes,2025-05-21,Yes,2025-05-21,Yes,Yes
CUST00130,LD00064,2020-06-17,App,2020-07-10,Yes,2020-07-11,Yes,2020-07-13,Yes,No
CUST00133,LD00065,2020-01-26,App,2020-02-17,Yes,2020-02-18,Yes,2020-02-19,Yes,No
CUST00135,LD00066,2024-03-15,App,2024-03-31,Yes,2024-04-01,Yes,2024-04-02,Yes,No
CUST00141,LD00067,2024-09-09,Call,2024-10-01,Yes,2024-10-02,Yes,2024-10-02,Yes,Yes
CUST00146,LD00068,2021-08-12,Call,2021-09-06,Yes,2021-09-07,Yes,2021-09-10,Yes,Yes
CUST00147,LD00069,2026-07-03,Email,2026-07-21,Yes,2026-07-22,Yes,2026-07-23,Yes,No
CUST00148,LD00070,2025-03-02,Visit,2025-03-19,Yes,2025-03-20,Yes,2025-03-21,Yes,Yes
CUST00150,LD00071,2022-12-27,Call,2023-01-11,Yes,2023-01-12,Yes,2023-01-13,Yes,No
CUST00151,LD00072,2021-02-28,Visit,2021-03-15,Yes,2021-03-16,Yes,2021-03-16,Yes,No
CUST00157,LD00073,2024-07-20,Call,2024-07-30,Yes,2024-07-31,Yes,2024-08-03,Yes,Yes
CUST00159,LD00074,2025-12-31,App,2026-01-23,Yes,2026-01-24,Yes,2026-01-26,Yes,Yes
CUST00160,LD00075,2024-01-21,Visit,2024-02-07,Yes,2024-02-08,Yes,2024-02-12,Yes,No
CUST00162,LD00076,2025-08-22,Visit,2025-09-20,Yes,2025-09-21,Yes,2025-09-21,Yes,Yes
CUST00163,LD00077,2025-05-16,App,2025-06-06,Yes,2025-06-07,Yes,2025-06-08,Yes,No
CUST00164,LD00078,2026-07-10,Call,2026-07-29,Yes,2026-07-30,Yes,2026-08-01,Yes,No
CUST00166,LD00079,2026-01-17,Visit,2026-02-05,Yes,2026-02-06,Yes,2026-02-07,Yes,No
