part,replacement_cost,severity,average_life_span
Part_Cum,64.28,Low,6
Part_Vero,292.13,Medium,10
Part_Quidem,275.54,High,10
Part_Fugiat,190.51,Medium,7
Part_Temporibus,233.5,Low,7
Part_Laboriosam,156.81,Low,7
Part_Culpa,266.04,High,5
Part_Impedit,36.22,Low,3
Part_Nostrum,224.93,Low,10
Part_Dolore,234.43,Medium,9
Part_Odit,285.12,Medium,6
Part_A,167.75,Critical,5
Part_Fuga,280.1,Medium,6
Part_Provident,131.72,High,9
Part_Dolorum,271.89,Critical,3
Part_Quae,89.41,Low,7
Part_Corrupti,25.89,Medium,5
Part_Sunt,22.01,Low,5
Part_In,38.87,Low,7
Part_Tempore,39.84,Medium,6
