customer_id,property_type,number_of_floors,rooms,have_gas_pipeline,external_or_internal_electricity_source,property_built_date
CUST00001,Bungalow,3,2,Yes,Grid + Solar,2008-03-28
CUST00002,Flat,2,4,Yes,Grid + Solar,1997-10-27
CUST00003,Detached,3,6,No,Grid + Solar,1984-10-30
CUST00004,Bungalow,1,4,No,Company Provided,2001-03-29
CUST00005,Bungalow,4,8,Yes,Grid + Solar,1994-11-10
CUST00006,Semi-Detached,2,2,Yes,Company Provided,1998-09-17
CUST00007,Flat,4,3,Yes,Grid + Solar,1989-08-05
CUST00008,Flat,2,8,No,Grid + Solar,2004-02-11
CUST00009,Bungalow,4,3,No,Solar,1997-06-17
CUST00010,Detached,3,3,No,Solar,1995-05-30
CUST00011,Detached,4,5,No,Grid + Solar,1985-03-17
CUST00012,Flat,4,6,Yes,Solar,1999-10-12
CUST00013,Flat,1,2,No,Company Provided,1982-05-23
CUST00014,Terraced,3,8,No,Solar,2005-10-10
CUST00015,Semi-Detached,2,8,Yes,Grid + Solar,1992-11-30
CUST00016,Semi-Detached,3,2,Yes,Solar,2024-09-13
CUST00017,Terraced,1,8,Yes,Solar,1991-11-22
CUST00018,Flat,4,2,No,Solar,2023-06-17
CUST00019,Flat,4,8,No,Solar,1993-08-18
CUST00020,Semi-Detached,4,3,No,Solar,2020-12-05
CUST00021,Semi-Detached,4,5,Yes,Grid + Solar,1987-07-16
CUST00022,Semi-Detached,4,7,Yes,Solar,1998-08-05
CUST00023,Terraced,4,4,No,Solar,2018-12-18
CUST00024,Semi-Detached,4,4,No,Company Provided,1978-07-23
CUST00025,Semi-Detached,4,2,Yes,Grid + Solar,2025-05-11
CUST00026,Flat,1,6,Yes,Company Provided,2011-03-07
CUST00027,Bungalow,4,5,No,Solar,2016-01-22
CUST00028,Semi-Detached,1,3,Yes,Solar,2024-01-22
CUST00029,Terraced,2,5,Yes,Grid + Solar,2010-10-10
CUST00030,Terraced,3,5,Yes,Solar,1999-08-19
CUST00031,Flat,1,6,Yes,Solar,2018-08-12
CUST00032,Terraced,1,8,Yes,Solar,1987-12-01
CUST00033,Detached,4,4,No,Solar,2012-09-27
CUST00034,Bungalow,1,5,Yes,Solar,2016-04-11
CUST00035,Bungalow,4,7,No,Company Provided,1981-08-14
CUST00036,Bungalow,2,7,Yes,Solar,1992-09-25
CUST00037,Bungalow,3,5,No,Solar,1992-04-02
CUST00038,Detached,3,8,No,Solar,1978-11-12
CUST00039,Terraced,3,6,No,Solar,2010-09-28
CUST00040,Flat,4,5,Yes,Solar,1991-12-12
CUST00041,Detached,4,8,No,Solar,1983-12-19
CUST00042,Bungalow,1,3,No,Company Provided,1984-07-13
CUST00043,Detached,3,8,Yes,Solar,2022-03-22
CUST00044,Flat,2,3,No,Grid + Solar,2006-11-08
CUST00045,Terraced,4,8,No,Company Provided,1982-10-31
CUST00046,Detached,1,6,No,Solar,1981-04-06
CUST00047,Detached,1,4,No,Company Provided,2013-05-10
CUST00048,Semi-Detached,2,8,No,Grid + Solar,1977-09-01
CUST00049,Semi-Detached,4,8,No,Company Provided,1984-01-06
CUST00050,Bungalow,4,8,No,Company Provided,2005-08-08
CUST00051,Terraced,4,2,Yes,Company Provided,2019-01-29
CUST00052,Bungalow,2,5,Yes,Solar,1991-03-24
CUST00053,Bungalow,3,2,No,Solar,2002-01-24
CUST00054,Terraced,2,3,Yes,Company Provided,1980-09-03
CUST00055,Semi-Detached,1,7,Yes,Company Provided,1983-08-24
CUST00056,Detached,4,5,No,Grid + Solar,1991-12-26
CUST00057,Detached,1,5,No,Solar,1977-01-03
CUST00058,Flat,3,5,No,Company Provided,1999-10-17
CUST00059,Detached,3,5,No,Grid + Solar,1995-02-10
CUST00060,Bungalow,3,7,Yes,Solar,1995-11-14
CUST00061,Semi-Detached,4,3,Yes,Solar,1985-12-06
CUST00062,Bungalow,3,2,Yes,Solar,1981-07-01
CUST00063,Bungalow,2,5,No,Solar,2004-02-27
CUST00064,Terraced,4,7,No,Solar,2003-11-05
CUST00065,Bungalow,3,2,Yes,Solar,1992-09-02
CUST00066,Flat,4,3,Yes,Solar,2007-02-21
CUST00067,Detached,4,2,No,Grid + Solar,2006-09-08
CUST00068,Terraced,2,8,No,Grid + Solar,1996-02-17
CUST00069,Flat,3,7,No,Company Provided,1998-06-22
CUST00070,Semi-Detached,3,3,Yes,Grid + Solar,2006-06-30
CUST00071,Semi-Detached,4,2,No,Solar,1981-01-29
CUST00072,Terraced,4,5,Yes,Company Provided,2021-10-02
CUST00073,Flat,2,4,No,Grid + Solar,1985-04-16
CUST00074,Terraced,3,4,No,Solar,2009-09-07
CUST00075,Terraced,2,4,Yes,Grid + Solar,1987-08-20
CUST00076,Bungalow,1,7,No,Grid + Solar,1992-11-13
CUST00077,Detached,3,8,Yes,Grid + Solar,2005-01-30
CUST00078,Semi-Detached,2,8,Yes,Grid + Solar,1985-01-28
CUST00079,Terraced,4,8,Yes,Solar,2004-10-29
CUST00080,Semi-Detached,2,8,Yes,Solar,1986-07-14
CUST00081,Detached,2,4,No,Grid + Solar,1977-11-20
CUST00082,Flat,3,3,No,Company Provided,1984-11-19
CUST00083,Flat,4,6,Yes,Company Provided,1976-09-12
CUST00084,Bungalow,4,2,Yes,Solar,2011-02-12
CUST00085,Bungalow,4,3,Yes,Grid + Solar,2000-01-22
CUST00086,Terraced,1,4,Yes,Solar,2020-05-02
CUST00087,Semi-Detached,2,2,No,Company Provided,1979-06-12
CUST00088,Bungalow,4,4,Yes,Grid + Solar,1995-03-09
CUST00089,Terraced,2,5,No,Solar,1982-03-20
CUST00090,Terraced,1,2,No,Grid + Solar,2006-12-09
CUST00091,Terraced,1,2,No,Solar,2022-04-08
CUST00092,Semi-Detached,1,3,No,Solar,2002-08-24
CUST00093,Bungalow,3,5,No,Grid + Solar,2001-07-25
CUST00094,Terraced,3,7,No,Company Provided,1994-04-22
CUST00095,Terraced,1,6,No,Solar,1982-07-27
CUST00096,Terraced,3,5,Yes,Grid + Solar,1984-11-07
CUST00097,Flat,4,7,No,Company Provided,1997-08-22
CUST00098,Bungalow,2,4,Yes,Company Provided,2000-01-14
CUST00099,Terraced,1,6,Yes,Grid + Solar,1987-10-19
CUST00100,Bungalow,3,7,Yes,Grid + Solar,2019-02-16
CUST00101,Flat,2,8,No,Solar,1999-07-27
CUST00102,Terraced,3,7,No,Solar,2020-01-29
CUST00103,Flat,2,3,Yes,Company Provided,2023-06-15
CUST00104,Flat,3,5,Yes,Company Provided,1985-06-29
CUST00105,Terraced,4,6,No,Solar,1980-01-14
CUST00106,Bungalow,2,4,No,Company Provided,2008-05-11
CUST00107,Terraced,3,6,No,Company Provided,2010-04-09
CUST00108,Terraced,4,6,No,Company Provided,2015-05-27
CUST00109,Bungalow,3,6,No,Grid + Solar,2022-11-23
CUST00110,Detached,4,4,Yes,Grid + Solar,2003-11-28
CUST00111,Flat,2,5,Yes,Solar,1986-02-08
CUST00112,Terraced,2,5,No,Grid + Solar,2009-12-05
CUST00113,Semi-Detached,4,4,No,Solar,1994-08-30
CUST00114,Flat,3,8,Yes,Solar,2015-07-23
CUST00115,Semi-Detached,3,6,No,Company Provided,1980-10-31
CUST00116,Flat,1,7,Yes,Company Provided,1999-11-21
CUST00117,Bungalow,2,6,Yes,Company Provided,1996-11-27
CUST00118,Detached,3,6,Yes,Solar,2022-08-21
CUST00119,Semi-Detached,1,4,Yes,Grid + Solar,2009-03-12
CUST00120,Semi-Detached,4,8,No,Grid + Solar,1991-12-14
CUST00121,Semi-Detached,4,8,No,Solar,2004-04-13
CUST00122,Detached,4,4,Yes,Solar,2013-01-04
CUST00123,Semi-Detached,4,7,No,Solar,1996-11-24
CUST00124,Bungalow,3,2,Yes,Company Provided,1995-02-28
CUST00125,Bungalow,4,8,Yes,Solar,1988-07-14
CUST00126,Detached,4,4,Yes,Grid + Solar,1977-01-21
CUST00127,Detached,4,2,No,Solar,1980-10-27
CUST00128,Terraced,1,3,No,Grid + Solar,1991-08-16
