lead_id,primary_qutation,secondary_quotation,final_quotation
LD00001,2860.99,1680.53,2357.97
LD00002,1953.76,1713.11,1919.26
LD00003,2605.3,1838.66,2730.07
LD00004,2239.48,2299.59,2613.63
LD00005,2124.63,1299.89,2475.55
LD00006,1621.59,2279.91,2323.36
LD00007,2669.24,1570.42,2453.58
LD00008,2959.91,2079.37,2306.65
LD00009,2352.8,1916.29,2684.22
LD00010,2636.03,1784.93,2530.97
LD00011,2807.42,1338.23,2148.13
LD00012,2472.93,2044.66,2010.1
LD00013,2207.23,2317.74,2219.32
LD00014,2133.01,1610.61,1488.91
LD00015,2939.71,2283.0,2342.35
LD00016,1814.15,1261.16,1425.38
LD00017,2654.06,2201.12,2179.83
LD00018,2735.42,1254.56,1547.58
LD00019,2728.74,1359.88,1682.65
LD00020,2007.46,1722.15,2481.32
LD00021,2587.65,2162.07,1576.41
LD00022,2282.0,2184.16,1624.04
LD00023,1657.84,1871.39,1669.58
LD00024,2214.38,1780.01,1917.01
LD00025,1548.91,1403.89,2182.64
LD00026,1954.89,1831.7,2507.69
LD00027,2850.43,2215.75,2065.32
LD00028,2500.83,1393.68,2419.01
LD00029,1788.64,2004.32,2207.6
LD00030,2102.7,1258.48,2606.76
LD00031,1731.34,2437.81,2350.05
LD00032,2839.52,1535.31,2718.21
LD00033,2226.26,1729.74,1727.24
LD00034,2673.04,1898.8,1993.25
LD00035,2759.23,1694.2,1891.99
LD00036,2825.9,2429.03,2289.24
LD00037,2119.74,2363.85,2384.62
LD00038,2904.37,1777.95,1710.13
LD00039,1666.42,1560.55,2100.46
LD00040,2821.5,2147.57,1784.06
LD00041,1911.05,2084.23,2053.22
LD00042,2298.62,1611.11,1948.6
LD00043,2646.15,2012.95,2210.51
LD00044,1849.67,1979.45,2323.61
LD00045,2033.09,1825.82,2269.19
LD00046,2269.69,2047.22,1900.84
LD00047,2133.09,1454.03,1680.52
LD00048,1992.93,1336.3,2626.55
LD00049,2739.13,1208.74,1413.85
LD00050,2828.07,2134.49,1875.74
LD00051,2747.17,1378.42,2316.82
LD00052,1787.52,1691.65,1923.96
LD00053,2626.96,2038.59,2112.82
LD00054,1701.5,1309.24,2022.31
LD00055,2763.91,1866.63,2301.12
LD00056,1557.42,1460.4,1675.3
LD00057,2655.2,2107.32,1693.42
LD00058,2138.58,2178.41,2467.98
LD00059,2512.33,1430.93,2557.06
LD00060,1808.84,1578.44,2134.15
LD00061,2726.84,2064.23,1622.29
LD00062,2550.47,2125.14,1816.43
LD00063,2828.31,1405.31,2635.58
LD00064,2176.4,1528.6,2108.49
LD00065,2730.64,2294.03,1638.82
LD00066,2037.13,1481.67,1448.22
LD00067,2005.67,1449.8,2336.53
LD00068,2568.8,2228.64,2691.11
LD00069,2967.03,2066.28,1494.52
LD00070,2063.62,2034.65,1733.29
LD00071,2859.95,2064.51,1747.67
LD00072,2907.41,1363.23,1643.15
LD00073,2642.89,1755.62,1516.53
LD00074,2106.83,1740.57,1952.51
LD00075,1791.34,1767.19,1757.36
LD00076,1892.0,1792.11,2353.49
LD00077,1879.31,1592.89,2754.76
LD00078,2980.54,2261.31,1402.21
LD00079,1797.03,1436.58,2727.88
LD00080,2713.77,1449.45,2776.13
LD00081,1687.02,1283.54,1441.53
LD00082,2063.5,1876.1,2746.88
LD00083,2185.38,2107.8,2415.31
LD00084,1504.69,2029.5,2718.71
LD00085,1691.79,2235.87,1821.89
LD00086,1658.2,2491.37,1440.91
LD00087,2897.67,2196.24,2240.95
LD00088,1631.52,1315.88,2436.81
LD00089,2656.92,2236.77,2707.5
LD00090,2253.57,2095.18,1782.83
LD00091,2785.17,2145.61,1818.74
LD00092,2133.66,1815.45,1887.63
LD00093,2365.74,1774.45,2075.42
LD00094,2588.94,1948.39,2349.64
LD00095,1550.99,1513.11,2084.08
LD00096,2332.08,2240.67,1572.26
LD00097,1626.92,1362.13,1818.01
LD00098,2531.9,2061.4,1462.63
LD00099,2514.79,2422.26,1600.54
LD00100,1598.94,2032.23,1907.95
LD00101,2065.73,2459.41,1930.09
LD00102,1756.12,2430.46,1945.39
LD00103,1579.3,2143.05,2764.3
LD00104,2109.77,1606.56,1526.2
LD00105,2866.33,2169.69,2399.82
LD00106,2006.94,2082.78,2564.42
LD00107,2116.08,2387.04,1409.67
LD00108,1508.72,2348.65,2392.91
LD00109,2939.55,2477.81,1566.31
LD00110,2144.5,1976.21,1411.24
LD00111,2796.25,2492.53,1746.3
LD00112,2110.95,1598.38,2286.63
LD00113,2830.79,1369.63,2439.62
LD00114,2837.38,2187.16,2584.52
