date,region,job_type,detailed_category,number_of_jobs,jobs_hours
2026-07-06,London,Repair,Annual Service,38,30
2026-07-07,London,Service,Annual Service,25,29
2026-07-08,London,Service,Annual Service,14,21
2026-07-09,London,Service,Leak,50,78
2026-07-10,London,Service,Leak,18,45
2026-07-11,London,Service,Annual Service,37,49
2026-07-12,London,Service,Boiler Breakdown,22,83
2026-07-13,London,Service,Boiler Breakdown,21,84
2026-07-14,London,Service,Leak,46,44
2026-07-15,London,Repair,Annual Service,20,70
2026-07-16,London,Repair,Annual Service,37,52
2026-07-17,London,Repair,Boiler Breakdown,20,28
2026-07-18,London,Service,Leak,37,30
2026-07-19,London,Service,Boiler Breakdown,47,66
2026-07-20,London,Repair,Leak,30,77
2026-07-21,London,Repair,Boiler Breakdown,30,89
2026-07-22,London,Service,Leak,32,72
2026-07-23,London,Repair,Boiler Breakdown,19,38
2026-07-24,London,Service,Boiler Breakdown,34,100
2026-07-25,London,Service,Annual Service,47,43
2026-07-26,London,Service,Boiler Breakdown,31,45
2026-07-27,London,Repair,Annual Service,22,82
2026-07-28,London,Service,Boiler Breakdown,13,65
2026-07-29,London,Repair,Annual Service,25,86
2026-07-30,London,Repair,Leak,20,63
2026-07-31,London,Service,Leak,18,87
2026-08-01,London,Repair,Annual Service,11,77
2026-08-02,London,Service,Boiler Breakdown,50,80
2026-08-03,London,Service,Annual Service,30,100
2026-08-04,London,Service,Boiler Breakdown,46,80
2026-07-06,South East,Service,Leak,30,30
2026-07-07,South East,Repair,Annual Service,38,69
2026-07-08,South East,Service,Boiler Breakdown,25,48
2026-07-09,South East,Repair,Leak,19,54
2026-07-10,South East,Service,Leak,22,96
2026-07-11,South East,Service,Leak,42,56
2026-07-12,South East,Repair,Annual Service,19,57
2026-07-13,South East,Repair,Annual Service,33,79
2026-07-14,South East,Service,Leak,38,60
2026-07-15,South East,Repair,Boiler Breakdown,20,95
2026-07-16,South East,Repair,Leak,40,67
2026-07-17,South East,Repair,Leak,30,70
2026-07-18,South East,Repair,Boiler Breakdown,46,92
2026-07-19,South East,Service,Annual Service,18,39
2026-07-20,South East,Repair,Boiler Breakdown,31,30
2026-07-21,South East,Service,Leak,36,70
2026-07-22,South East,Repair,Annual Service,17,53
2026-07-23,South East,Service,Annual Service,24,81
2026-07-24,South East,Service,Leak,30,61
2026-07-25,South East,Repair,Boiler Breakdown,11,73
2026-07-26,South East,Service,Annual Service,24,94
2026-07-27,South East,Repair,Leak,20,70
2026-07-28,South East,Repair,Boiler Breakdown,45,67
2026-07-29,South East,Repair,Boiler Breakdown,22,61
2026-07-30,South East,Repair,Annual Service,38,97
2026-07-31,South East,Service,Annual Service,12,69
2026-08-01,South East,Repair,Leak,23,95
2026-08-02,South East,Service,Leak,26,47
2026-08-03,South East,Service,Boiler Breakdown,23,83
2026-08-04,South East,Service,Boiler Breakdown,40,91
2026-07-06,South West,Service,Annual Service,11,99
2026-07-07,South West,Repair,Boiler Breakdown,46,40
2026-07-08,South West,Service,Boiler Breakdown,33,29
2026-07-09,South West,Service,Annual Service,29,38
2026-07-10,South West,Service,Boiler Breakdown,21,21
2026-07-11,South West,Repair,Boiler Breakdown,11,92
2026-07-12,South West,Repair,Leak,34,23
2026-07-13,South West,Service,Annual Service,46,25
2026-07-14,South West,Repair,Annual Service,27,23
2026-07-15,South West,Repair,Annual Service,12,92
2026-07-16,South West,Service,Boiler Breakdown,33,31
2026-07-17,South West,Service,Boiler Breakdown,33,90
2026-07-18,South West,Repair,Annual Service,47,71
2026-07-19,South West,Repair,Leak,44,72
2026-07-20,South West,Service,Boiler Breakdown,32,79
2026-07-21,South West,Repair,Leak,50,38
2026-07-22,South West,Service,Leak,18,46
2026-07-23,South West,Service,Leak,16,93
2026-07-24,South West,Service,Leak,31,82
2026-07-25,South West,Repair,Annual Service,46,64
2026-07-26,South West,Repair,Annual Service,22,20
2026-07-27,South West,Repair,Annual Service,35,58
2026-07-28,South West,Service,Annual Service,11,57
2026-07-29,South West,Repair,Boiler Breakdown,17,74
2026-07-30,South West,Repair,Boiler Breakdown,34,67
2026-07-31,South West,Repair,Leak,49,95
2026-08-01,South West,Repair,Boiler Breakdown,11,52
2026-08-02,South West,Service,Boiler Breakdown,47,99
2026-08-03,South West,Service,Boiler Breakdown,15,80
2026-08-04,South West,Service,Boiler Breakdown,34,63
2026-07-06,Midlands,Repair,Leak,38,47
2026-07-07,Midlands,Service,Leak,11,84
2026-07-08,Midlands,Repair,Leak,46,69
2026-07-09,Midlands,Service,Leak,43,82
2026-07-10,Midlands,Repair,Leak,31,74
2026-07-11,Midlands,Repair,Boiler Breakdown,25,20
2026-07-12,Midlands,Repair,Annual Service,29,43
2026-07-13,Midlands,Repair,Leak,17,32
2026-07-14,Midlands,Service,Boiler Breakdown,41,66
