customer_id,repair_date,repair_type,parts_changed,fault_code,fault_reason
CUST00002,2026-05-15,Emergency,Part_Culpa,F69,Id totam itaque eaque doloribus natus ea.
CUST00003,2026-02-06,Emergency,Part_Odit,F73,In ipsum eius sit quis cum in.
CUST00004,2026-07-19,Emergency,Part_Tempore,F69,Id totam itaque eaque doloribus natus ea.
CUST00005,2025-08-19,Emergency,Part_Impedit,F53,Nisi iusto dolorum mollitia velit perspiciatis.
CUST00008,2025-09-27,Emergency,Part_Corrupti,F73,In ipsum eius sit quis cum in.
CUST00009,2026-04-24,Emergency,Part_Nostrum,F73,In ipsum eius sit quis cum in.
CUST00010,2026-03-05,Emergency,Part_Provident,F53,Nisi iusto dolorum mollitia velit perspiciatis.
CUST00011,2025-08-13,Emergency,Part_Dolorum,F73,In ipsum eius sit quis cum in.
CUST00013,2026-01-06,Emergency,Part_Laboriosam,F73,In ipsum eius sit quis cum in.
CUST00015,2025-10-28,Emergency,Part_In,F78,Eos occaecati suscipit facere deleniti architecto optio.
CUST00018,2026-01-24,Emergency,Part_Fuga,F82,Assumenda in adipisci dolor magnam ad dicta.
CUST00019,2025-12-20,Emergency,Part_Provident,F27,Cum explicabo pariatur praesentium placeat architecto.
CUST00021,2025-09-08,Emergency,Part_Culpa,F16,Modi doloribus iure earum.
CUST00023,2025-12-08,Emergency,Part_A,F11,Incidunt nesciunt facere voluptatum consequuntur laudantium quidem similique.
CUST00024,2026-03-28,Emergency,Part_Quae,F82,Assumenda in adipisci dolor magnam ad dicta.
CUST00026,2026-03-18,Emergency,Part_Laboriosam,F73,In ipsum eius sit quis cum in.
CUST00030,2026-02-24,Emergency,Part_Fuga,F27,Cum explicabo pariatur praesentium placeat architecto.
CUST00031,2025-10-29,Emergency,Part_Dolore,F11,Incidunt nesciunt facere voluptatum consequuntur laudantium quidem similique.
CUST00035,2026-06-03,Emergency,Part_Dolorum,F11,Incidunt nesciunt facere voluptatum consequuntur laudantium quidem similique.
CUST00036,2025-11-19,Emergency,Part_Quae,F44,Ad eius dolore qui.
CUST00038,2025-08-12,Emergency,Part_Provident,F69,Id totam itaque eaque doloribus natus ea.
CUST00039,2025-09-05,Emergency,Part_Impedit,F27,Cum explicabo pariatur praesentium placeat architecto.
CUST00040,2026-06-29,Emergency,Part_Laboriosam,F73,In ipsum eius sit quis cum in.
CUST00042,2026-04-23,Emergency,Part_Fugiat,F64,Voluptates sequi sint fugit iste.
CUST00044,2026-02-18,Emergency,Part_Dolore,F73,In ipsum eius sit quis cum in.
CUST00045,2026-01-04,Emergency,Part_Dolore,F78,Eos occaecati suscipit facere deleniti architecto optio.
CUST00046,2025-10-18,Emergency,Part_Impedit,F59,Distinctio velit soluta et.
CUST00047,2026-02-10,Emergency,Part_Dolorum,F53,Nisi iusto dolorum mollitia velit perspiciatis.
CUST00048,2026-03-26,Emergency,Part_Fuga,F64,Voluptates sequi sint fugit iste.
CUST00049,2026-03-26,Emergency,Part_Corrupti,F53,Nisi iusto dolorum mollitia velit perspiciatis.
CUST00050,2026-02-18,Emergency,Part_A,F69,Id totam itaque eaque doloribus natus ea.
CUST00052,2026-04-19,Emergency,Part_Vero,F82,Assumenda in adipisci dolor magnam ad dicta.
CUST00053,2025-12-22,Emergency,Part_Impedit,F78,Eos occaecati suscipit facere deleniti architecto optio.
CUST00055,2026-07-01,Emergency,Part_Laboriosam,F78,Occaecati recusandae in aperiam.
CUST00058,2025-12-26,Emergency,Part_Fugiat,F44,Ad eius dolore qui.
CUST00060,2025-12-15,Emergency,Part_Quidem,F59,Distinctio velit soluta et.
CUST00063,2026-07-09,Emergency,Part_Quidem,F27,Nobis rem quas modi voluptate fugiat.
CUST00068,2025-09-07,Emergency,Part_Corrupti,F16,Modi doloribus iure earum.
CUST00069,2026-05-13,Emergency,Part_Provident,F30,Dolor eveniet quisquam animi reprehenderit rem illo.
CUST00073,2026-01-12,Emergency,Part_Fugiat,F69,Id totam itaque eaque doloribus natus ea.
CUST00074,2026-01-22,Emergency,Part_Odit,F30,Dolor eveniet quisquam animi reprehenderit rem illo.
CUST00075,2026-06-12,Emergency,Part_Fuga,F78,Occaecati recusandae in aperiam.
CUST00077,2026-01-15,Emergency,Part_Vero,F78,Eos occaecati suscipit facere deleniti architecto optio.
CUST00082,2026-05-13,Emergency,Part_Sunt,F59,Distinctio velit soluta et.
CUST00084,2025-09-27,Emergency,Part_Fugiat,F82,Assumenda in adipisci dolor magnam ad dicta.
CUST00085,2026-06-24,Emergency,Part_Fugiat,F92,Culpa vero excepturi at atque.
CUST00086,2026-03-20,Emergency,Part_Quidem,F78,Eos occaecati suscipit facere deleniti architecto optio.
CUST00087,2026-03-24,Emergency,Part_Fugiat,F82,Assumenda in adipisci dolor magnam ad dicta.
CUST00088,2025-09-28,Emergency,Part_Odit,F16,Modi doloribus iure earum.
CUST00093,2025-10-23,Emergency,Part_Tempore,F27,Nobis rem quas modi voluptate fugiat.
CUST00094,2025-11-29,Emergency,Part_Quae,F92,Culpa vero excepturi at atque.
CUST00095,2026-07-06,Emergency,Part_Culpa,F30,Dolor eveniet quisquam animi reprehenderit rem illo.
CUST00101,2026-08-01,Emergency,Part_A,F11,Incidunt nesciunt facere voluptatum consequuntur laudantium quidem similique.
CUST00103,2025-12-27,Emergency,Part_Temporibus,F78,Occaecati recusandae in aperiam.
CUST00105,2025-08-06,Emergency,Part_Nostrum,F27,Cum explicabo pariatur praesentium placeat architecto.
CUST00109,2026-01-10,Emergency,Part_Impedit,F78,Occaecati recusandae in aperiam.
CUST00110,2025-11-18,Emergency,Part_Fuga,F27,Nobis rem quas modi voluptate fugiat.
CUST00112,2025-10-10,Emergency,Part_Dolore,F44,Ad eius dolore qui.
CUST00113,2026-03-07,Emergency,Part_Corrupti,F59,Distinctio velit soluta et.
CUST00114,2026-01-30,Emergency,Part_Corrupti,F92,Culpa vero excepturi at atque.
CUST00115,2026-05-06,Emergency,Part_In,F73,In ipsum eius sit quis cum in.
CUST00118,2026-05-24,Emergency,Part_Tempore,F30,Dolor eveniet quisquam animi reprehenderit rem illo.
CUST00119,2026-07-25,Emergency,Part_Quae,F92,Culpa vero excepturi at atque.
CUST00122,2025-10-20,Emergency,Part_Fugiat,F73,In ipsum eius sit quis cum in.
CUST00125,2025-12-30,Emergency,Part_In,F53,Nisi iusto dolorum mollitia velit perspiciatis.
CUST00130,2025-08-20,Emergency,Part_Odit,F64,Voluptates sequi sint fugit iste.
CUST00131,2026-06-19,Emergency,Part_Temporibus,F82,Assumenda in adipisci dolor magnam ad dicta.
CUST00134,2026-06-20,Emergency,Part_Sunt,F82,Assumenda in adipisci dolor magnam ad dicta.
CUST00135,2025-11-29,Emergency,Part_Vero,F69,Id totam itaque eaque doloribus natus ea.
CUST00139,2026-06-24,Emergency,Part_Culpa,F11,Incidunt nesciunt facere voluptatum consequuntur laudantium quidem similique.
CUST00142,2026-02-11,Emergency,Part_Fugiat,F64,Voluptates sequi sint fugit iste.
CUST00144,2026-03-09,Emergency,Part_Odit,F59,Distinctio velit soluta et.
CUST00145,2026-05-18,Emergency,Part_Tempore,F59,Distinctio velit soluta et.
CUST00147,2026-06-07,Emergency,Part_Impedit,F11,Incidunt nesciunt facere voluptatum consequuntur laudantium quidem similique.
CUST00149,2025-10-02,Emergency,Part_Dolore,F59,Distinctio velit soluta et.
CUST00152,2026-04-09,Emergency,Part_Dolorum,F69,Id totam itaque eaque doloribus natus ea.
CUST00155,2026-06-23,Emergency,Part_In,F27,Nobis rem quas modi voluptate fugiat.
CUST00156,2026-04-08,Emergency,Part_Laboriosam,F64,Voluptates sequi sint fugit iste.
CUST00157,2026-04-14,Emergency,Part_Odit,F82,Assumenda in adipisci dolor magnam ad dicta.
CUST00161,2025-11-23,Emergency,Part_Provident,F53,Nisi iusto dolorum mollitia velit perspiciatis.
CUST00171,2025-09-19,Emergency,Part_Impedit,F78,Eos occaecati suscipit facere deleniti architecto optio.
CUST00173,2026-05-27,Emergency,Part_Impedit,F69,Id totam itaque eaque doloribus natus ea.
CUST00174,2025-08-29,Emergency,Part_Quae,F64,Voluptates sequi sint fugit iste.
CUST00176,2025-12-22,Emergency,Part_Fugiat,F53,Nisi iusto dolorum mollitia velit perspiciatis.
CUST00180,2025-11-12,Emergency,Part_Impedit,F78,Occaecati recusandae in aperiam.
CUST00184,2026-02-04,Emergency,Part_Culpa,F27,Nobis rem quas modi voluptate fugiat.
CUST00187,2026-06-17,Emergency,Part_Laboriosam,F27,Cum explicabo pariatur praesentium placeat architecto.
CUST00188,2025-09-19,Emergency,Part_Quidem,F11,Incidunt nesciunt facere voluptatum consequuntur laudantium quidem similique.
CUST00189,2025-12-26,Emergency,Part_Fugiat,F44,Ad eius dolore qui.
CUST00191,2026-02-19,Emergency,Part_Fugiat,F27,Nobis rem quas modi voluptate fugiat.
CUST00192,2026-05-15,Emergency,Part_Temporibus,F30,Dolor eveniet quisquam animi reprehenderit rem illo.
CUST00193,2026-03-15,Emergency,Part_Cum,F78,Occaecati recusandae in aperiam.
CUST00199,2026-06-28,Emergency,Part_Sunt,F59,Distinctio velit soluta et.
