customer_id,service_date,service_type,parts_serviced
CUST00011,2024-11-02,Annual Maintenance,"Burner, Heat Exchanger"
CUST00011,2025-03-31,Annual Maintenance,"Burner, Heat Exchanger"
CUST00014,2025-11-26,Annual Maintenance,"Burner, Heat Exchanger"
CUST00015,2026-05-19,Annual Maintenance,"Burner, Heat Exchanger"
CUST00024,2024-09-15,Annual Maintenance,"Burner, Heat Exchanger"
CUST00025,2025-12-15,Annual Maintenance,"Burner, Heat Exchanger"
CUST00025,2025-01-02,Annual Maintenance,"Burner, Heat Exchanger"
CUST00036,2026-07-31,Annual Maintenance,"Burner, Heat Exchanger"
CUST00036,2026-03-22,Annual Maintenance,"Burner, Heat Exchanger"
CUST00038,2025-01-03,Annual Maintenance,"Burner, Heat Exchanger"
CUST00040,2025-09-26,Annual Maintenance,"Burner, Heat Exchanger"
CUST00041,2025-07-15,Annual Maintenance,"Burner, Heat Exchanger"
CUST00043,2026-01-07,Annual Maintenance,"Burner, Heat Exchanger"
CUST00043,2024-10-10,Annual Maintenance,"Burner, Heat Exchanger"
CUST00048,2025-04-07,Annual Maintenance,"Burner, Heat Exchanger"
CUST00052,2024-09-16,Annual Maintenance,"Burner, Heat Exchanger"
CUST00052,2026-07-10,Annual Maintenance,"Burner, Heat Exchanger"
CUST00054,2025-06-08,Annual Maintenance,"Burner, Heat Exchanger"
CUST00055,2024-11-26,Annual Maintenance,"Burner, Heat Exchanger"
CUST00055,2026-02-11,Annual Maintenance,"Burner, Heat Exchanger"
CUST00057,2025-07-02,Annual Maintenance,"Burner, Heat Exchanger"
CUST00057,2025-05-18,Annual Maintenance,"Burner, Heat Exchanger"
CUST00058,2025-05-30,Annual Maintenance,"Burner, Heat Exchanger"
CUST00060,2024-08-13,Annual Maintenance,"Burner, Heat Exchanger"
CUST00060,2025-03-13,Annual Maintenance,"Burner, Heat Exchanger"
CUST00062,2025-05-03,Annual Maintenance,"Burner, Heat Exchanger"
CUST00062,2025-03-31,Annual Maintenance,"Burner, Heat Exchanger"
CUST00063,2025-07-16,Annual Maintenance,"Burner, Heat Exchanger"
CUST00064,2025-10-13,Annual Maintenance,"Burner, Heat Exchanger"
CUST00069,2025-01-18,Annual Maintenance,"Burner, Heat Exchanger"
CUST00070,2026-06-24,Annual Maintenance,"Burner, Heat Exchanger"
CUST00073,2025-07-15,Annual Maintenance,"Burner, Heat Exchanger"
CUST00073,2026-03-02,Annual Maintenance,"Burner, Heat Exchanger"
CUST00074,2026-04-20,Annual Maintenance,"Burner, Heat Exchanger"
CUST00075,2025-03-16,Annual Maintenance,"Burner, Heat Exchanger"
CUST00075,2024-12-09,Annual Maintenance,"Burner, Heat Exchanger"
CUST00076,2026-02-20,Annual Maintenance,"Burner, Heat Exchanger"
CUST00076,2026-07-02,Annual Maintenance,"Burner, Heat Exchanger"
CUST00084,2026-07-01,Annual Maintenance,"Burner, Heat Exchanger"
CUST00084,2025-06-21,Annual Maintenance,"Burner, Heat Exchanger"
CUST00088,2024-10-09,Annual Maintenance,"Burner, Heat Exchanger"
CUST00095,2025-08-07,Annual Maintenance,"Burner, Heat Exchanger"
CUST00096,2025-09-16,Annual Maintenance,"Burner, Heat Exchanger"
CUST00096,2025-04-21,Annual Maintenance,"Burner, Heat Exchanger"
CUST00101,2024-09-24,Annual Maintenance,"Burner, Heat Exchanger"
CUST00103,2025-11-05,Annual Maintenance,"Burner, Heat Exchanger"
CUST00103,2026-03-14,Annual Maintenance,"Burner, Heat Exchanger"
CUST00105,2024-10-11,Annual Maintenance,"Burner, Heat Exchanger"
CUST00110,2025-12-13,Annual Maintenance,"Burner, Heat Exchanger"
CUST00110,2026-07-15,Annual Maintenance,"Burner, Heat Exchanger"
