customer_id,visit_date,visit_status,customer_feedback
CUST00002,2026-05-15,Completed,Average
CUST00003,2026-07-14,Completed,Excellent
CUST00003,2026-02-06,Parts Required,Poor
CUST00004,2026-07-19,Completed,Good
CUST00005,2025-08-19,Parts Required,Poor
CUST00007,2020-05-29,Completed,Average
CUST00008,2025-09-27,Parts Required,Average
CUST00009,2026-04-24,Parts Required,Good
CUST00010,2026-03-05,Parts Required,Poor
CUST00011,2026-02-05,Completed,Average
CUST00011,2024-11-02,Completed,Average
CUST00011,2025-03-31,Completed,Good
CUST00011,2025-08-13,Completed,Average
CUST00012,2020-07-01,Completed,Good
CUST00013,2026-01-06,Parts Required,Poor
CUST00014,2023-05-30,Completed,Excellent
CUST00014,2025-11-26,Completed,Average
CUST00015,2026-05-10,Completed,Average
CUST00015,2026-05-19,Completed,Poor
CUST00015,2025-10-28,Completed,Good
CUST00018,2026-01-24,Completed,Good
CUST00019,2021-12-25,Completed,Excellent
CUST00019,2025-12-20,Parts Required,Poor
CUST00021,2025-09-08,Parts Required,Average
CUST00023,2025-12-08,Completed,Average
CUST00024,2026-05-30,Completed,Excellent
CUST00024,2024-09-15,Completed,Poor
CUST00024,2026-03-28,Completed,Good
CUST00025,2023-02-21,Completed,Excellent
CUST00025,2025-12-15,Completed,Average
CUST00025,2025-01-02,Completed,Average
CUST00026,2026-03-18,Parts Required,Good
CUST00027,2024-07-11,Completed,Excellent
CUST00028,2025-06-05,Completed,Good
CUST00030,2026-02-24,Parts Required,Average
CUST00031,2025-10-29,Completed,Good
CUST00034,2024-03-17,Completed,Average
CUST00035,2026-06-03,Parts Required,Average
CUST00036,2025-09-22,Completed,Good
CUST00036,2026-07-31,Completed,Average
CUST00036,2026-03-22,Completed,Poor
CUST00036,2025-11-19,Parts Required,Poor
CUST00038,2025-01-18,Completed,Average
CUST00038,2025-01-03,Completed,Average
CUST00038,2025-08-12,Completed,Average
CUST00039,2025-09-05,Completed,Poor
CUST00040,2024-08-09,Completed,Good
CUST00040,2025-09-26,Completed,Good
CUST00040,2026-06-29,Completed,Poor
CUST00041,2026-06-07,Completed,Good
CUST00041,2025-07-15,Completed,Good
CUST00042,2026-04-23,Completed,Good
CUST00043,2025-04-15,Completed,Excellent
CUST00043,2026-01-07,Completed,Poor
CUST00043,2024-10-10,Completed,Average
CUST00044,2026-01-11,Completed,Excellent
CUST00044,2026-02-18,Parts Required,Poor
CUST00045,2025-07-30,Completed,Excellent
CUST00045,2026-01-04,Completed,Good
CUST00046,2025-10-18,Parts Required,Good
CUST00047,2026-02-10,Parts Required,Good
CUST00048,2022-05-03,Completed,Excellent
CUST00048,2025-04-07,Completed,Good
CUST00048,2026-03-26,Parts Required,Poor
CUST00049,2026-03-26,Completed,Poor
CUST00050,2026-02-18,Parts Required,Good
CUST00051,2023-10-23,Completed,Good
CUST00052,2026-07-30,Completed,Average
CUST00052,2024-09-16,Completed,Good
CUST00052,2026-07-10,Completed,Good
CUST00052,2026-04-19,Completed,Average
CUST00053,2025-12-22,Completed,Average
CUST00054,2024-03-05,Completed,Good
CUST00054,2025-06-08,Completed,Good
CUST00055,2026-06-14,Completed,Good
CUST00055,2024-11-26,Completed,Poor
CUST00055,2026-02-11,Completed,Average
CUST00055,2026-07-01,Completed,Average
CUST00057,2024-08-29,Completed,Excellent
CUST00057,2025-07-02,Completed,Average
CUST00057,2025-05-18,Completed,Average
CUST00058,2020-05-14,Completed,Average
CUST00058,2025-05-30,Completed,Average
CUST00058,2025-12-26,Parts Required,Good
CUST00059,2024-10-08,Completed,Average
CUST00060,2026-04-29,Completed,Average
CUST00060,2024-08-13,Completed,Average
CUST00060,2025-03-13,Completed,Poor
CUST00060,2025-12-15,Completed,Poor
CUST00062,2024-04-24,Completed,Average
CUST00062,2025-05-03,Completed,Average
CUST00062,2025-03-31,Completed,Average
CUST00063,2017-08-30,Completed,Good
CUST00063,2025-07-16,Completed,Average
CUST00063,2026-07-09,Completed,Poor
CUST00064,2026-07-28,Completed,Average
CUST00064,2025-10-13,Completed,Good
CUST00065,2019-09-04,Completed,Excellent
CUST00068,2025-09-07,Completed,Average
CUST00069,2025-12-26,Completed,Excellent
CUST00069,2025-01-18,Completed,Poor
CUST00069,2026-05-13,Completed,Poor
CUST00070,2026-03-27,Completed,Average
CUST00070,2026-06-24,Completed,Good
CUST00073,2024-09-10,Completed,Excellent
CUST00073,2025-07-15,Completed,Poor
CUST00073,2026-03-02,Completed,Poor
CUST00073,2026-01-12,Completed,Poor
CUST00074,2025-09-30,Completed,Average
CUST00074,2026-04-20,Completed,Good
CUST00074,2026-01-22,Completed,Poor
CUST00075,2021-12-24,Completed,Good
CUST00075,2025-03-16,Completed,Poor
CUST00075,2024-12-09,Completed,Poor
CUST00075,2026-06-12,Parts Required,Average
CUST00076,2022-01-14,Completed,Good
CUST00076,2026-02-20,Completed,Poor
CUST00076,2026-07-02,Completed,Poor
CUST00077,2026-01-15,Parts Required,Poor
CUST00078,2021-10-08,Completed,Average
CUST00082,2021-05-08,Completed,Average
CUST00082,2026-05-13,Parts Required,Good
CUST00083,2025-11-16,Completed,Average
CUST00084,2025-12-08,Completed,Excellent
CUST00084,2026-07-01,Completed,Good
CUST00084,2025-06-21,Completed,Good
CUST00084,2025-09-27,Parts Required,Average
CUST00085,2026-06-24,Completed,Average
CUST00086,2022-03-07,Completed,Excellent
CUST00086,2026-03-20,Completed,Good
CUST00087,2026-03-24,Completed,Poor
CUST00088,2023-01-07,Completed,Good
