pincode,date,temperature,humidity,rain,wind,solar_radiation,atmospheric_pressure
G3C 1YH,2026-07-06,16.7,58,14.5,23.3,760,1022
G3C 1YH,2026-07-07,18.3,59,8.2,10.6,348,1006
G3C 1YH,2026-07-08,21.5,48,7.4,30.4,641,1007
G3C 1YH,2026-07-09,2.5,59,19.2,13.8,573,982
G3C 1YH,2026-07-10,23.8,58,18.9,27.1,260,1002
G3C 1YH,2026-07-11,28.1,63,15.2,35.3,143,991
G3C 1YH,2026-07-12,9.1,54,14.4,17.9,656,1023
G3C 1YH,2026-07-13,1.5,52,19.2,36.9,123,1022
G3C 1YH,2026-07-14,-2.0,64,6.2,32.7,397,1012
G3C 1YH,2026-07-15,15.1,92,10.6,37.1,123,1029
SP1E 1YA,2026-07-06,2.9,46,7.4,24.5,612,1013
SP1E 1YA,2026-07-07,1.2,57,6.6,39.0,576,1019
SP1E 1YA,2026-07-08,24.1,43,13.5,16.9,396,1023
SP1E 1YA,2026-07-09,17.4,94,5.8,12.2,321,993
SP1E 1YA,2026-07-10,28.9,92,7.1,34.0,363,1017
SP1E 1YA,2026-07-11,6.0,85,2.4,30.5,244,986
SP1E 1YA,2026-07-12,-1.8,85,12.0,23.4,226,1014
SP1E 1YA,2026-07-13,-3.3,52,4.8,8.2,795,992
SP1E 1YA,2026-07-14,12.2,48,8.1,16.3,331,982
SP1E 1YA,2026-07-15,25.9,94,0.7,7.7,185,1028
DH1W 1NZ,2026-07-06,16.4,72,9.9,38.7,498,986
DH1W 1NZ,2026-07-07,11.2,72,17.2,32.3,637,980
DH1W 1NZ,2026-07-08,-4.6,51,4.2,5.9,130,1017
DH1W 1NZ,2026-07-09,-1.3,89,8.3,24.2,711,1013
DH1W 1NZ,2026-07-10,27.4,55,13.8,16.7,752,1024
DH1W 1NZ,2026-07-11,12.4,86,5.7,39.3,222,1026
DH1W 1NZ,2026-07-12,26.8,40,17.6,28.8,501,1003
DH1W 1NZ,2026-07-13,16.3,62,2.7,7.0,418,1018
DH1W 1NZ,2026-07-14,-2.5,47,17.4,27.4,688,998
DH1W 1NZ,2026-07-15,-1.2,58,4.5,18.9,588,1001
N0W 7ES,2026-07-06,24.3,77,2.8,39.9,299,990
N0W 7ES,2026-07-07,23.5,50,18.8,26.2,617,989
N0W 7ES,2026-07-08,-2.4,68,5.5,16.8,178,985
N0W 7ES,2026-07-09,3.9,42,13.9,35.0,401,988
N0W 7ES,2026-07-10,13.2,66,18.8,6.5,475,1020
N0W 7ES,2026-07-11,-4.3,90,6.7,22.2,504,1007
N0W 7ES,2026-07-12,10.2,90,14.9,23.2,198,987
N0W 7ES,2026-07-13,21.1,67,15.6,5.6,143,992
N0W 7ES,2026-07-14,25.6,43,10.4,12.1,499,1005
N0W 7ES,2026-07-15,26.0,45,16.4,31.7,495,989
FK9V 7SY,2026-07-06,19.0,44,6.4,31.1,202,991
FK9V 7SY,2026-07-07,21.9,56,17.9,17.5,540,1012
