customer_id,boiler_id,installation_date,boiler_type,boiler_manufacturer,model,energy_rating,voltage,have_insurance,last_service_date,fault_history
CUST00063341,PROD007,2020-03-29,Conventional,Worcester Bosch,Model X,C,230V,Yes,,Ignition Failure
CUST00225891,PROD008,2024-01-17,System,Worcester Bosch,Model X,B,230V,No,,Ignition Failure
CUST00020295,PROD007,2022-05-22,Combi,Ideal,Model X,B,230V,Yes,,Ignition Failure
CUST00165673,PROD010,2024-02-08,Combi,Vaillant,Model X,A,230V,Yes,,F75
CUST00119452,PROD007,2025-06-06,Combi,Vaillant,Model X,C,230V,Yes,,EA
CUST00113870,PROD009,2019-02-22,Combi,Worcester Bosch,Model X,B,230V,No,,F22
CUST00067198,PROD006,2025-10-27,Combi,Glow-worm,Model X,D,230V,Yes,,None
CUST00116256,PROD009,2020-08-19,Combi,Baxi,Model X,A,230V,Yes,,EA
CUST00228260,PROD007,2021-12-29,Combi,Glow-worm,Model X,B,230V,No,,F22
CUST00069535,PROD005,2021-06-28,System,Viessmann,Model X,C,230V,No,,Ignition Failure
CUST00220754,PROD007,2024-09-14,System,Ideal,Model X,B,230V,Yes,,EA
CUST00050531,PROD002,2020-03-05,Combi,Viessmann,Model X,B,230V,No,,F75
CUST00186055,PROD002,2025-07-23,System,Glow-worm,Model X,D,230V,No,,EA
CUST00197918,PROD002,2023-09-14,System,Vaillant,Model X,B,230V,Yes,,F75
CUST00013911,PROD008,2018-07-07,Combi,Glow-worm,Model X,B,230V,No,,F22
CUST00247675,PROD002,2025-12-14,Combi,Baxi,Model X,C,230V,Yes,,None
CUST00106307,PROD003,2023-12-03,System,Ideal,Model X,C,230V,No,,EA
CUST00213468,PROD004,2023-03-07,Combi,Baxi,Model X,B,230V,No,,F22
CUST00235662,PROD009,2019-02-13,System,Viessmann,Model X,A,230V,Yes,,F75
CUST00145272,PROD008,2018-03-23,Combi,Baxi,Model X,B,230V,No,,F22
CUST00038232,PROD004,2024-03-16,Conventional,Vaillant,Model X,C,230V,No,,F22
CUST00043466,PROD003,2025-12-27,Conventional,Worcester Bosch,Model X,C,230V,Yes,,F22
CUST00087821,PROD002,2020-10-03,System,Baxi,Model X,C,230V,Yes,,F22
CUST00075565,PROD002,2021-12-28,Combi,Glow-worm,Model X,C,230V,Yes,,None
CUST00035334,PROD006,2020-04-01,Combi,Glow-worm,Model X,B,230V,Yes,,F22
CUST00162732,PROD006,2023-08-17,System,Ideal,Model X,B,230V,No,,F75
CUST00124253,PROD006,2025-06-02,Combi,Vaillant,Model X,A,230V,No,,EA
CUST00076427,PROD003,2024-11-13,System,Glow-worm,Model X,B,230V,Yes,,EA
CUST00060417,PROD005,2023-12-24,Combi,Ideal,Model X,C,230V,No,,None
CUST00176417,PROD003,2018-05-25,System,Vaillant,Model X,A,230V,No,,EA
CUST00194057,PROD008,2025-04-21,Combi,Vaillant,Model X,B,230V,Yes,,Ignition Failure
CUST00110120,PROD005,2022-06-05,Combi,Viessmann,Model X,D,230V,No,,EA
CUST00215610,PROD004,2024-10-10,Conventional,Vaillant,Model X,A,230V,Yes,,F75
CUST00170665,PROD008,2026-05-19,Conventional,Ideal,Model X,C,230V,No,,None
CUST00164450,PROD002,2019-11-24,Conventional,Baxi,Model X,B,230V,Yes,,None
CUST00047596,PROD005,2025-11-17,Combi,Ideal,Model X,C,230V,Yes,,F75
CUST00258795,PROD005,2021-01-05,Combi,Worcester Bosch,Model X,C,230V,Yes,,EA
CUST00005591,PROD002,2020-08-12,Combi,Ideal,Model X,A,230V,Yes,,None
CUST00082774,PROD004,2026-05-31,Conventional,Ideal,Model X,C,230V,No,,F75
CUST00139303,PROD003,2023-11-29,Conventional,Ideal,Model X,D,230V,Yes,,None
CUST00042502,PROD008,2025-03-14,Conventional,Glow-worm,Model X,D,230V,No,,None
CUST00117386,PROD002,2021-11-25,System,Ideal,Model X,B,230V,Yes,,EA
CUST00205016,PROD006,2024-07-16,Combi,Viessmann,Model X,B,230V,No,,Ignition Failure
CUST00117709,PROD009,2026-01-16,System,Ideal,Model X,D,230V,Yes,,EA
CUST00244419,PROD004,2023-09-05,Conventional,Ideal,Model X,A,230V,Yes,,F75
CUST00131785,PROD004,2026-04-28,Combi,Viessmann,Model X,A,230V,Yes,,F22
CUST00250804,PROD006,2025-08-29,System,Ideal,Model X,D,230V,No,,F22
CUST00157742,PROD007,2025-10-10,Combi,Ideal,Model X,A,230V,No,,EA
CUST00197184,PROD005,2018-04-25,System,Viessmann,Model X,B,230V,Yes,,F75
CUST00227038,PROD001,2025-01-07,Combi,Vaillant,Model X,D,230V,Yes,,F22
CUST00208886,PROD009,2022-09-05,Conventional,Worcester Bosch,Model X,C,230V,No,,None
CUST00236122,PROD003,2021-11-14,Combi,Baxi,Model X,C,230V,Yes,,None
CUST00152230,PROD007,2020-08-03,Combi,Viessmann,Model X,A,230V,No,,Ignition Failure
CUST00064832,PROD005,2023-06-10,Combi,Vaillant,Model X,C,230V,No,,EA
CUST00132342,PROD006,2019-08-08,System,Worcester Bosch,Model X,B,230V,Yes,,None
CUST00158784,PROD005,2025-02-25,Conventional,Ideal,Model X,B,230V,No,,F22
CUST00185131,PROD004,2019-12-23,System,Ideal,Model X,D,230V,Yes,,F75
CUST00184309,PROD010,2019-06-07,Combi,Viessmann,Model X,D,230V,No,,EA
CUST00026594,PROD001,2018-12-24,Conventional,Glow-worm,Model X,A,230V,No,,Ignition Failure
CUST00251648,PROD009,2024-12-17,Conventional,Vaillant,Model X,C,230V,Yes,,Ignition Failure
CUST00207757,PROD008,2023-05-23,Combi,Ideal,Model X,D,230V,No,,None
CUST00151654,PROD005,2023-10-21,System,Worcester Bosch,Model X,C,230V,No,,EA
CUST00177855,PROD002,2021-07-21,Conventional,Ideal,Model X,A,230V,Yes,,EA
CUST00123977,PROD005,2024-09-21,Conventional,Glow-worm,Model X,C,230V,No,,EA
CUST00062017,PROD008,2019-11-22,System,Ideal,Model X,A,230V,Yes,,EA
CUST00196992,PROD008,2024-10-30,Conventional,Viessmann,Model X,B,230V,No,,F22
CUST00119114,PROD006,2026-04-18,Combi,Glow-worm,Model X,B,230V,Yes,,None
CUST00226263,PROD008,2018-09-01,System,Baxi,Model X,C,230V,No,,F22
CUST00070528,PROD006,2023-06-23,System,Ideal,Model X,C,230V,No,,Ignition Failure
CUST00015454,PROD008,2020-01-16,Combi,Worcester Bosch,Model X,D,230V,Yes,,EA
CUST00044134,PROD007,2019-01-07,System,Glow-worm,Model X,A,230V,No,,EA
CUST00103127,PROD003,2020-05-27,Conventional,Ideal,Model X,C,230V,Yes,,None
CUST00036634,PROD001,2023-03-14,Conventional,Vaillant,Model X,A,230V,No,,None
CUST00213518,PROD004,2020-04-08,Conventional,Viessmann,Model X,A,230V,No,,EA
CUST00129124,PROD007,2023-02-14,System,Glow-worm,Model X,A,230V,Yes,,F22
CUST00265334,PROD009,2021-11-14,Conventional,Glow-worm,Model X,B,230V,No,,None
