customer_id,city,pincode,region,terrian
CUST00063341,Bristol,PC5887,North East,Coastal
CUST00225891,London,PC4773,London,Urban
CUST00020295,Liverpool,PC7281,Yorkshire,Suburban
CUST00165673,Birmingham,PC4592,South West,Rural
CUST00119452,Birmingham,PC7775,North East,Suburban
CUST00113870,Glasgow,PC9710,North East,Coastal
CUST00067198,Leeds,PC7714,London,Urban
CUST00116256,Birmingham,PC3596,London,Suburban
CUST00228260,Glasgow,PC2747,Scotland,Suburban
CUST00069535,London,PC4493,Midlands,Rural
CUST00220754,Birmingham,PC6082,London,Urban
CUST00050531,Glasgow,PC8511,North West,Coastal
CUST00186055,London,PC7721,London,Rural
CUST00197918,Glasgow,PC3973,North West,Urban
CUST00013911,Liverpool,PC7215,Yorkshire,Rural
CUST00247675,Birmingham,PC8032,North West,Rural
CUST00106307,Sheffield,PC6567,Midlands,Urban
CUST00213468,Leeds,PC4960,Scotland,Suburban
CUST00235662,Leeds,PC5147,South West,Urban
CUST00145272,Manchester,PC5074,South East,Coastal
CUST00038232,Sheffield,PC1084,London,Rural
CUST00043466,Glasgow,PC2194,Midlands,Coastal
CUST00087821,Manchester,PC7006,North West,Coastal
CUST00075565,Manchester,PC9029,London,Urban
CUST00035334,Liverpool,PC7757,London,Suburban
CUST00162732,Southampton,PC8257,London,Coastal
CUST00124253,Leeds,PC2833,Scotland,Urban
CUST00076427,Southampton,PC9503,South East,Coastal
CUST00060417,Birmingham,PC4527,North East,Coastal
CUST00176417,Birmingham,PC1634,Midlands,Rural
CUST00194057,Leeds,PC1516,Midlands,Rural
CUST00110120,Manchester,PC7261,London,Suburban
CUST00215610,Southampton,PC2216,Midlands,Suburban
CUST00170665,London,PC3170,North West,Rural
CUST00164450,Liverpool,PC1939,North East,Coastal
CUST00047596,Southampton,PC4806,Yorkshire,Suburban
CUST00258795,Leeds,PC2249,London,Rural
CUST00005591,Birmingham,PC7338,North West,Rural
CUST00082774,London,PC9806,North East,Rural
CUST00139303,Liverpool,PC2915,Wales,Suburban
CUST00042502,Birmingham,PC2555,Midlands,Rural
CUST00117386,London,PC4250,Scotland,Coastal
CUST00205016,Bristol,PC7065,South West,Suburban
CUST00117709,Southampton,PC2429,South East,Rural
CUST00244419,Manchester,PC3399,North East,Urban
CUST00131785,Liverpool,PC9604,South East,Urban
CUST00250804,Newcastle,PC4718,Midlands,Urban
CUST00157742,Southampton,PC7105,South East,Suburban
CUST00197184,Bristol,PC4426,Wales,Coastal
CUST00227038,Bristol,PC4587,Midlands,Suburban
CUST00208886,Glasgow,PC1890,Wales,Urban
CUST00236122,Leeds,PC1383,Midlands,Coastal
CUST00152230,Glasgow,PC8149,North West,Coastal
CUST00064832,Glasgow,PC4994,Yorkshire,Urban
CUST00132342,Leeds,PC8000,Yorkshire,Suburban
CUST00158784,Liverpool,PC6485,London,Suburban
CUST00185131,Southampton,PC5382,Midlands,Suburban
CUST00184309,Glasgow,PC1232,Wales,Coastal
CUST00026594,London,PC1903,London,Suburban
CUST00251648,Liverpool,PC9442,Midlands,Coastal
CUST00207757,Leeds,PC5047,Wales,Suburban
CUST00151654,London,PC6997,London,Rural
CUST00177855,London,PC3319,North East,Rural
CUST00123977,Southampton,PC3371,London,Suburban
CUST00062017,Bristol,PC5621,North East,Urban
CUST00196992,Glasgow,PC4442,Wales,Urban
CUST00119114,Liverpool,PC1757,South East,Coastal
CUST00226263,Bristol,PC2592,Yorkshire,Urban
CUST00070528,Birmingham,PC6418,South East,Urban
CUST00015454,Liverpool,PC3548,North East,Urban
CUST00044134,London,PC5563,South East,Urban
CUST00103127,London,PC7792,North West,Urban
CUST00036634,Liverpool,PC6393,South East,Coastal
CUST00213518,Newcastle,PC7876,Midlands,Urban
CUST00129124,Sheffield,PC4324,South East,Rural
CUST00265334,Sheffield,PC6944,South East,Rural
CUST00211420,Bristol,PC8581,Scotland,Urban
CUST00201655,Bristol,PC2751,North East,Suburban
CUST00137300,Manchester,PC3653,Wales,Urban
CUST00047615,Manchester,PC5914,Scotland,Coastal
CUST00236630,Southampton,PC1178,South West,Coastal
CUST00111162,London,PC5665,Midlands,Rural
CUST00234176,Liverpool,PC4836,Midlands,Rural
CUST00193984,Leeds,PC3202,Yorkshire,Suburban
CUST00202528,Manchester,PC9442,London,Rural
CUST00019327,Liverpool,PC5842,Scotland,Suburban
CUST00003209,Glasgow,PC1000,Midlands,Coastal
CUST00110584,Glasgow,PC4803,London,Suburban
CUST00228272,Southampton,PC1223,Yorkshire,Urban
CUST00005119,Liverpool,PC9947,Yorkshire,Coastal
CUST00252596,Birmingham,PC2500,London,Rural
CUST00110003,London,PC5916,Wales,Suburban
CUST00171151,Manchester,PC9464,North West,Suburban
CUST00211355,Sheffield,PC5669,South West,Coastal
CUST00242419,Birmingham,PC8390,North West,Rural
CUST00252934,Sheffield,PC1701,Wales,Suburban
CUST00198811,Newcastle,PC8828,Scotland,Coastal
CUST00176495,Leeds,PC8103,Scotland,Suburban
CUST00096792,Southampton,PC8847,Yorkshire,Suburban
CUST00077135,Newcastle,PC3811,South West,Coastal
CUST00016517,Sheffield,PC8693,South East,Rural
CUST00030724,Sheffield,PC6140,Yorkshire,Rural
CUST00222201,Bristol,PC2624,South East,Suburban
CUST00183244,Sheffield,PC9234,Scotland,Coastal
CUST00132835,Bristol,PC3672,North West,Rural
CUST00188137,Leeds,PC5214,South East,Coastal
CUST00258591,London,PC1984,Wales,Urban
CUST00086114,Southampton,PC8407,South West,Urban
CUST00233421,Glasgow,PC9313,London,Coastal
CUST00115110,Manchester,PC2514,London,Urban
CUST00086649,Leeds,PC4157,Yorkshire,Urban
CUST00104908,Bristol,PC4456,South East,Coastal
CUST00231151,Glasgow,PC2122,South West,Rural
CUST00263381,Birmingham,PC5291,South West,Coastal
CUST00058629,Leeds,PC3284,South West,Rural
CUST00095105,Newcastle,PC6285,Wales,Coastal
CUST00201281,London,PC8708,South West,Coastal
CUST00113647,Birmingham,PC1359,Scotland,Suburban
CUST00241999,Sheffield,PC8469,North West,Rural
CUST00056660,Birmingham,PC7346,Scotland,Suburban
CUST00121865,Sheffield,PC4850,North East,Coastal
CUST00132080,Manchester,PC1195,Midlands,Rural
CUST00163552,London,PC1499,North East,Coastal
CUST00126041,Bristol,PC5009,North East,Rural
CUST00016906,London,PC6857,Midlands,Urban
CUST00023616,Sheffield,PC2170,North East,Suburban
CUST00046997,Sheffield,PC5790,South East,Coastal
CUST00146043,Sheffield,PC5110,North East,Coastal
CUST00138632,Southampton,PC5013,South West,Coastal
CUST00058837,Sheffield,PC5554,North West,Coastal
CUST00222067,Birmingham,PC2748,Midlands,Rural
CUST00033035,Leeds,PC3438,Midlands,Urban
CUST00099811,Bristol,PC1157,London,Suburban
CUST00209786,Sheffield,PC8949,Wales,Rural
CUST00141328,Liverpool,PC2565,North East,Suburban
CUST00269025,Southampton,PC2434,North East,Coastal
CUST00107922,Manchester,PC6058,North West,Suburban
CUST00135508,Birmingham,PC8715,Midlands,Rural
CUST00036712,Glasgow,PC7862,South East,Coastal
CUST00123470,Manchester,PC1988,North East,Suburban
CUST00232117,Liverpool,PC1524,London,Suburban
CUST00084933,Birmingham,PC4423,North West,Urban
CUST00037141,Manchester,PC4335,Scotland,Rural
CUST00244517,Bristol,PC2188,Wales,Rural
CUST00088964,Sheffield,PC6453,South East,Coastal
CUST00243998,London,PC4442,North East,Suburban
CUST00179411,Glasgow,PC7084,Scotland,Rural
CUST00249238,London,PC3289,North West,Coastal
CUST00169658,London,PC7672,South West,Urban
CUST00053344,Birmingham,PC3247,North West,Rural
CUST00131557,Glasgow,PC4429,London,Urban
CUST00260090,Birmingham,PC5291,Wales,Urban
CUST00106720,Newcastle,PC3971,South East,Urban
CUST00254828,Southampton,PC5645,South West,Coastal
CUST00185127,London,PC8938,South East,Coastal
CUST00199846,Manchester,PC7796,North West,Suburban
CUST00197631,Southampton,PC8670,South West,Urban
CUST00072403,Birmingham,PC6234,Scotland,Coastal
CUST00237096,Liverpool,PC1687,North East,Rural
CUST00242506,Sheffield,PC3485,North East,Coastal
CUST00035201,Birmingham,PC2587,Scotland,Coastal
CUST00161066,London,PC9513,Yorkshire,Rural
CUST00175752,Birmingham,PC4255,North East,Coastal
CUST00246584,Sheffield,PC6476,Scotland,Coastal
CUST00142202,Southampton,PC8256,North West,Coastal
CUST00048344,Liverpool,PC9464,South East,Coastal
CUST00026627,Newcastle,PC8652,South East,Rural
CUST00041135,Liverpool,PC2624,South West,Suburban
CUST00063860,Leeds,PC7912,Scotland,Coastal
CUST00013949,Bristol,PC8337,Midlands,Suburban
CUST00174671,London,PC4717,London,Coastal
CUST00269136,Glasgow,PC8857,Midlands,Coastal
CUST00061746,Birmingham,PC1216,North West,Urban
CUST00128253,Newcastle,PC7446,Scotland,Suburban
CUST00149702,Southampton,PC1833,Scotland,Coastal
CUST00120673,Glasgow,PC6041,South East,Suburban
CUST00204432,Glasgow,PC6881,North West,Coastal
CUST00164198,Newcastle,PC5670,South West,Urban
CUST00095934,Birmingham,PC4032,Wales,Rural
CUST00212781,Bristol,PC4288,South West,Rural
CUST00233445,Liverpool,PC1207,North West,Suburban
CUST00207108,Liverpool,PC7414,Yorkshire,Coastal
CUST00132981,Newcastle,PC6097,Yorkshire,Suburban
CUST00145352,Liverpool,PC6807,Wales,Coastal
CUST00013346,Birmingham,PC5625,London,Rural
CUST00110960,Liverpool,PC6728,North West,Rural
CUST00014383,Glasgow,PC6004,Midlands,Urban
CUST00168809,Southampton,PC9702,Scotland,Coastal
CUST00018724,London,PC8610,Yorkshire,Suburban
CUST00002367,Liverpool,PC4263,Scotland,Suburban
CUST00104385,Bristol,PC9188,Yorkshire,Coastal
CUST00231481,Birmingham,PC4200,South West,Urban
CUST00243868,Glasgow,PC6342,Scotland,Coastal
CUST00136605,Manchester,PC6016,Wales,Urban
CUST00153729,Birmingham,PC9824,South West,Urban
CUST00036700,Manchester,PC8676,Yorkshire,Coastal
CUST00146659,Leeds,PC7908,North West,Suburban
CUST00256821,Manchester,PC1403,Scotland,Rural
CUST00221339,Bristol,PC9204,Yorkshire,Rural
CUST00194041,Birmingham,PC2798,Midlands,Suburban
CUST00012990,Sheffield,PC9840,Yorkshire,Rural
CUST00007004,Birmingham,PC6232,South East,Rural
CUST00247344,Leeds,PC7985,Scotland,Coastal
CUST00123884,Glasgow,PC3949,North West,Coastal
CUST00011165,London,PC4918,South West,Coastal
CUST00132305,Leeds,PC2213,London,Coastal
CUST00004991,Glasgow,PC3899,North West,Rural
CUST00097178,Sheffield,PC9822,South East,Urban
CUST00064321,Manchester,PC1202,North West,Urban
CUST00168153,Bristol,PC4270,South West,Urban
CUST00231517,Manchester,PC3210,Yorkshire,Coastal
CUST00152283,Glasgow,PC7001,North East,Suburban
CUST00118205,London,PC6420,Scotland,Coastal
CUST00085582,Sheffield,PC2982,North East,Rural
CUST00033150,Liverpool,PC7452,North West,Coastal
CUST00176507,Newcastle,PC4880,Wales,Urban
CUST00211401,Southampton,PC3174,South East,Urban
CUST00241384,London,PC8128,Scotland,Urban
CUST00188793,Southampton,PC6286,Wales,Suburban
CUST00072433,Sheffield,PC4207,North West,Coastal
CUST00128110,Liverpool,PC3675,London,Rural
CUST00126319,Leeds,PC3089,London,Suburban
CUST00246915,Birmingham,PC5300,London,Coastal
CUST00123690,Manchester,PC1789,Midlands,Coastal
CUST00254357,Liverpool,PC1863,North West,Coastal
CUST00158455,Southampton,PC7373,North West,Urban
CUST00069527,Liverpool,PC4017,London,Coastal
CUST00143989,Birmingham,PC4538,Yorkshire,Rural
CUST00149465,Manchester,PC2902,Scotland,Rural
CUST00246207,Leeds,PC6251,Midlands,Urban
CUST00173064,Newcastle,PC4893,South East,Urban
CUST00058302,Liverpool,PC8232,London,Suburban
CUST00016332,London,PC5549,Yorkshire,Suburban
CUST00163431,Bristol,PC1606,North East,Suburban
CUST00128466,Liverpool,PC4108,Midlands,Suburban
CUST00087264,Birmingham,PC2204,London,Suburban
CUST00142059,Liverpool,PC9022,South West,Rural
CUST00205868,Glasgow,PC9240,North West,Rural
CUST00146206,Manchester,PC5168,Midlands,Coastal
CUST00127369,Leeds,PC1283,North East,Rural
CUST00068739,Southampton,PC6623,North West,Rural
CUST00236220,Sheffield,PC6100,London,Suburban
CUST00242813,Manchester,PC2846,London,Urban
CUST00253335,Birmingham,PC1989,London,Suburban
CUST00036604,Leeds,PC4572,South East,Suburban
CUST00069662,Birmingham,PC2344,London,Rural
CUST00249176,Leeds,PC5209,Scotland,Suburban
CUST00171204,Glasgow,PC1981,Yorkshire,Urban
CUST00018240,Glasgow,PC9412,London,Urban
CUST00039487,Leeds,PC1908,North East,Rural
CUST00227311,Southampton,PC6686,South West,Coastal
CUST00179446,Liverpool,PC5156,South West,Rural
CUST00205864,Newcastle,PC8841,South East,Coastal
CUST00160511,Sheffield,PC4742,Yorkshire,Rural
CUST00203380,Southampton,PC2097,North West,Urban
CUST00057042,Bristol,PC5903,South West,Coastal
CUST00008560,Newcastle,PC9265,South East,Suburban
CUST00091108,Liverpool,PC8020,South West,Coastal
CUST00148433,Southampton,PC4285,Midlands,Urban
CUST00209039,Bristol,PC6327,Yorkshire,Suburban
CUST00192494,Newcastle,PC4125,South East,Rural
CUST00028146,Manchester,PC8952,South West,Coastal
CUST00103282,Bristol,PC9405,Scotland,Suburban
CUST00214687,Birmingham,PC4235,London,Suburban
CUST00228722,Leeds,PC7598,South West,Rural
CUST00236885,Liverpool,PC2893,London,Coastal
CUST00140515,Sheffield,PC5913,London,Coastal
CUST00031560,London,PC9107,South East,Urban
CUST00260002,Bristol,PC5095,Wales,Suburban
CUST00090138,Leeds,PC9423,Scotland,Rural
CUST00261224,Birmingham,PC8981,South East,Rural
CUST00089322,Liverpool,PC5153,Midlands,Rural
CUST00081773,Sheffield,PC8789,London,Rural
CUST00236441,Sheffield,PC5297,London,Suburban
CUST00134928,Southampton,PC1343,Midlands,Rural
CUST00009753,Southampton,PC1068,Scotland,Coastal
CUST00169720,Liverpool,PC6755,Wales,Suburban
CUST00020171,Birmingham,PC3330,Scotland,Coastal
CUST00053433,Southampton,PC4909,Scotland,Rural
CUST00063926,Manchester,PC8884,North East,Coastal
CUST00008773,Leeds,PC5086,Scotland,Suburban
CUST00112023,Manchester,PC9834,Yorkshire,Coastal
CUST00253326,Glasgow,PC7000,Yorkshire,Suburban
CUST00043315,Southampton,PC8169,North West,Urban
CUST00045653,Liverpool,PC5731,Wales,Suburban
