pincode,customer_id,epc_rating,current_energy_efficiency,potential_energy_efficiency
PC5887,CUST00063341,B,87,97
PC4773,CUST00225891,B,35,88
PC7281,CUST00020295,G,54,72
PC4592,CUST00165673,D,77,80
PC7775,CUST00119452,F,72,62
PC9710,CUST00113870,E,63,59
PC7714,CUST00067198,E,10,56
PC3596,CUST00116256,C,11,99
PC2747,CUST00228260,B,94,62
PC4493,CUST00069535,B,25,95
PC6082,CUST00220754,B,24,83
PC8511,CUST00050531,C,55,79
PC7721,CUST00186055,G,49,95
PC3973,CUST00197918,E,53,84
PC7215,CUST00013911,D,95,83
PC8032,CUST00247675,B,87,71
PC6567,CUST00106307,D,97,91
PC4960,CUST00213468,F,42,60
PC5147,CUST00235662,F,67,84
PC5074,CUST00145272,C,54,88
PC1084,CUST00038232,B,2,91
PC2194,CUST00043466,C,21,83
PC7006,CUST00087821,D,81,64
PC9029,CUST00075565,B,3,81
PC7757,CUST00035334,A,84,79
PC8257,CUST00162732,C,70,58
PC2833,CUST00124253,B,45,57
PC9503,CUST00076427,G,66,84
PC4527,CUST00060417,C,31,77
PC1634,CUST00176417,B,6,54
PC1516,CUST00194057,B,33,98
PC7261,CUST00110120,A,56,67
PC2216,CUST00215610,G,80,70
PC3170,CUST00170665,C,58,95
PC1939,CUST00164450,D,95,83
PC4806,CUST00047596,C,87,78
PC2249,CUST00258795,E,50,83
PC7338,CUST00005591,A,33,95
PC9806,CUST00082774,B,65,78
PC2915,CUST00139303,F,85,98
PC2555,CUST00042502,B,79,78
PC4250,CUST00117386,F,50,66
PC7065,CUST00205016,F,42,89
PC2429,CUST00117709,F,82,58
PC3399,CUST00244419,C,82,80
PC9604,CUST00131785,B,20,86
PC4718,CUST00250804,G,26,65
PC7105,CUST00157742,B,60,80
PC4426,CUST00197184,C,51,96
PC4587,CUST00227038,B,84,73
PC1890,CUST00208886,B,13,97
PC1383,CUST00236122,A,1,93
PC8149,CUST00152230,A,39,51
PC4994,CUST00064832,G,15,82
PC8000,CUST00132342,A,96,79
PC6485,CUST00158784,G,18,59
PC5382,CUST00185131,A,95,79
PC1232,CUST00184309,D,67,94
PC1903,CUST00026594,F,31,98
PC9442,CUST00251648,B,46,61
PC5047,CUST00207757,F,63,64
PC6997,CUST00151654,E,8,55
PC3319,CUST00177855,G,39,78
PC3371,CUST00123977,G,22,94
PC5621,CUST00062017,C,18,99
PC4442,CUST00196992,D,98,54
PC1757,CUST00119114,B,75,88
PC2592,CUST00226263,A,71,86
PC6418,CUST00070528,E,66,69
PC3548,CUST00015454,G,20,70
PC5563,CUST00044134,A,10,56
PC7792,CUST00103127,D,47,93
PC6393,CUST00036634,G,4,79
PC7876,CUST00213518,E,80,62
PC4324,CUST00129124,G,62,68
PC6944,CUST00265334,E,64,99
PC8581,CUST00211420,D,10,59
PC2751,CUST00201655,G,7,63
PC3653,CUST00137300,C,85,93
PC5914,CUST00047615,F,93,98
PC1178,CUST00236630,C,64,95
PC5665,CUST00111162,D,92,96
PC4836,CUST00234176,C,12,85
PC3202,CUST00193984,B,44,92
PC9442,CUST00202528,E,86,93
PC5842,CUST00019327,C,98,73
PC1000,CUST00003209,E,41,83
PC4803,CUST00110584,G,73,78
PC1223,CUST00228272,B,25,53
PC9947,CUST00005119,G,52,93
PC2500,CUST00252596,G,52,56
PC5916,CUST00110003,C,43,60
PC9464,CUST00171151,C,28,60
PC5669,CUST00211355,C,44,96
PC8390,CUST00242419,G,44,76
PC1701,CUST00252934,A,35,59
PC8828,CUST00198811,G,86,74
PC8103,CUST00176495,F,33,51
PC8847,CUST00096792,B,66,70
PC3811,CUST00077135,F,91,63
PC8693,CUST00016517,A,30,63
PC6140,CUST00030724,E,3,90
PC2624,CUST00222201,E,96,59
PC9234,CUST00183244,E,9,51
PC3672,CUST00132835,F,80,70
PC5214,CUST00188137,F,81,69
PC1984,CUST00258591,B,3,97
PC8407,CUST00086114,G,21,61
PC9313,CUST00233421,C,88,53
PC2514,CUST00115110,F,43,95
PC4157,CUST00086649,B,99,63
PC4456,CUST00104908,B,8,68
PC2122,CUST00231151,G,72,73
PC5291,CUST00263381,C,68,72
PC3284,CUST00058629,E,94,52
PC6285,CUST00095105,A,17,51
PC8708,CUST00201281,B,99,85
PC1359,CUST00113647,G,80,95
PC8469,CUST00241999,G,28,66
PC7346,CUST00056660,C,61,54
PC4850,CUST00121865,D,30,67
PC1195,CUST00132080,B,99,95
PC1499,CUST00163552,B,20,65
PC5009,CUST00126041,F,71,67
PC6857,CUST00016906,B,48,89
PC2170,CUST00023616,B,62,81
PC5790,CUST00046997,F,16,83
PC5110,CUST00146043,F,95,78
PC5013,CUST00138632,F,10,90
PC5554,CUST00058837,A,41,98
PC2748,CUST00222067,G,8,75
PC3438,CUST00033035,A,27,88
PC1157,CUST00099811,F,96,56
PC8949,CUST00209786,B,1,86
PC2565,CUST00141328,F,63,88
PC2434,CUST00269025,B,50,55
PC6058,CUST00107922,A,52,55
PC8715,CUST00135508,G,56,83
PC7862,CUST00036712,G,26,69
PC1988,CUST00123470,G,82,89
PC1524,CUST00232117,E,19,94
PC4423,CUST00084933,C,93,89
PC4335,CUST00037141,A,80,72
PC2188,CUST00244517,A,78,81
PC6453,CUST00088964,C,24,72
PC4442,CUST00243998,C,60,50
PC7084,CUST00179411,B,21,72
PC3289,CUST00249238,B,87,84
PC7672,CUST00169658,G,96,73
PC3247,CUST00053344,G,92,84
PC4429,CUST00131557,B,20,52
PC5291,CUST00260090,A,94,91
PC3971,CUST00106720,D,35,89
PC5645,CUST00254828,D,71,79
PC8938,CUST00185127,A,89,75
PC7796,CUST00199846,G,41,62
PC8670,CUST00197631,D,52,81
PC6234,CUST00072403,G,13,64
PC1687,CUST00237096,B,77,52
PC3485,CUST00242506,E,27,62
PC2587,CUST00035201,B,91,77
PC9513,CUST00161066,C,76,65
PC4255,CUST00175752,D,91,85
PC6476,CUST00246584,C,56,93
PC8256,CUST00142202,F,9,70
PC9464,CUST00048344,B,96,79
PC8652,CUST00026627,F,59,89
PC2624,CUST00041135,F,31,87
PC7912,CUST00063860,E,70,73
PC8337,CUST00013949,F,20,73
PC4717,CUST00174671,D,61,82
PC8857,CUST00269136,D,3,77
PC1216,CUST00061746,E,65,97
PC7446,CUST00128253,E,6,87
PC1833,CUST00149702,G,75,52
PC6041,CUST00120673,A,67,91
PC6881,CUST00204432,B,72,85
PC5670,CUST00164198,G,29,71
PC4032,CUST00095934,D,12,81
PC4288,CUST00212781,A,47,72
PC1207,CUST00233445,B,25,63
PC7414,CUST00207108,G,61,58
PC6097,CUST00132981,C,85,72
PC6807,CUST00145352,B,6,53
PC5625,CUST00013346,A,13,87
PC6728,CUST00110960,G,79,95
PC6004,CUST00014383,C,77,76
PC9702,CUST00168809,F,27,59
PC8610,CUST00018724,C,15,76
PC4263,CUST00002367,B,31,50
PC9188,CUST00104385,A,9,71
PC4200,CUST00231481,F,8,96
PC6342,CUST00243868,G,9,96
PC6016,CUST00136605,E,28,77
PC9824,CUST00153729,E,56,99
PC8676,CUST00036700,G,30,99
PC7908,CUST00146659,F,30,89
PC1403,CUST00256821,F,53,54
PC9204,CUST00221339,E,54,93
PC2798,CUST00194041,A,87,50
PC9840,CUST00012990,G,25,98
PC6232,CUST00007004,A,30,70
PC7985,CUST00247344,E,45,68
PC3949,CUST00123884,D,84,99
PC4918,CUST00011165,E,41,92
PC2213,CUST00132305,F,37,51
PC3899,CUST00004991,E,27,57
PC9822,CUST00097178,D,3,95
PC1202,CUST00064321,G,88,64
PC4270,CUST00168153,B,70,95
PC3210,CUST00231517,G,81,70
PC7001,CUST00152283,C,27,82
PC6420,CUST00118205,A,53,56
PC2982,CUST00085582,D,57,82
PC7452,CUST00033150,E,18,84
PC4880,CUST00176507,A,59,92
PC3174,CUST00211401,E,7,68
PC8128,CUST00241384,C,53,87
PC6286,CUST00188793,A,6,71
PC4207,CUST00072433,E,40,57
PC3675,CUST00128110,C,7,61
PC3089,CUST00126319,A,37,89
PC5300,CUST00246915,E,22,86
PC1789,CUST00123690,G,2,59
PC1863,CUST00254357,G,21,72
PC7373,CUST00158455,F,8,87
PC4017,CUST00069527,F,2,75
PC4538,CUST00143989,G,41,80
PC2902,CUST00149465,B,20,65
PC6251,CUST00246207,G,70,61
PC4893,CUST00173064,E,15,61
PC8232,CUST00058302,E,19,74
PC5549,CUST00016332,B,83,96
PC1606,CUST00163431,B,3,96
PC4108,CUST00128466,C,76,60
PC2204,CUST00087264,B,9,99
PC9022,CUST00142059,F,52,50
PC9240,CUST00205868,B,5,80
PC5168,CUST00146206,D,11,51
PC1283,CUST00127369,D,43,67
PC6623,CUST00068739,G,20,70
PC6100,CUST00236220,B,87,64
PC2846,CUST00242813,D,69,60
PC1989,CUST00253335,D,96,99
PC4572,CUST00036604,D,83,78
PC2344,CUST00069662,D,83,70
PC5209,CUST00249176,F,25,92
PC1981,CUST00171204,B,56,65
PC9412,CUST00018240,B,45,79
PC1908,CUST00039487,F,12,87
PC6686,CUST00227311,E,75,59
PC5156,CUST00179446,C,71,57
PC8841,CUST00205864,E,78,91
PC4742,CUST00160511,B,74,69
PC2097,CUST00203380,A,33,87
PC5903,CUST00057042,B,45,85
PC9265,CUST00008560,B,20,66
PC8020,CUST00091108,D,92,96
PC4285,CUST00148433,A,97,58
PC6327,CUST00209039,A,25,72
PC4125,CUST00192494,B,26,59
PC8952,CUST00028146,A,6,87
PC9405,CUST00103282,G,69,86
PC4235,CUST00214687,B,85,50
PC7598,CUST00228722,B,74,51
PC2893,CUST00236885,A,40,80
PC5913,CUST00140515,B,84,88
PC9107,CUST00031560,C,83,96
PC5095,CUST00260002,A,90,54
PC9423,CUST00090138,D,86,66
PC8981,CUST00261224,A,36,80
PC5153,CUST00089322,E,19,58
PC8789,CUST00081773,G,17,78
PC5297,CUST00236441,G,39,67
PC1343,CUST00134928,A,74,78
PC1068,CUST00009753,B,5,88
PC6755,CUST00169720,G,91,58
PC3330,CUST00020171,A,90,50
PC4909,CUST00053433,D,71,91
PC8884,CUST00063926,F,23,93
PC5086,CUST00008773,D,49,78
PC9834,CUST00112023,A,27,90
PC7000,CUST00253326,F,83,72
PC8169,CUST00043315,C,10,92
PC5731,CUST00045653,E,22,58
PC5468,CUST00103229,C,47,75
PC7148,CUST00212272,A,21,99
PC3448,CUST00221067,D,25,85
PC4007,CUST00176721,B,78,90
PC7171,CUST00231317,A,25,82
PC2706,CUST00259542,E,92,89
PC6997,CUST00222711,B,98,84
PC9184,CUST00233376,B,47,94
PC6194,CUST00094348,F,70,57
PC2985,CUST00012383,D,32,87
PC2729,CUST00095304,E,27,80
PC1679,CUST00251543,D,97,89
PC2226,CUST00166023,C,71,82
PC2650,CUST00259933,F,71,87
PC5011,CUST00026909,G,4,74
PC6198,CUST00075325,F,50,51
PC3332,CUST00132147,C,36,81
PC9629,CUST00035877,B,98,57
PC2950,CUST00053488,E,88,61
PC9529,CUST00088208,A,99,70
PC4598,CUST00048374,G,55,99
PC9410,CUST00149815,E,93,67
PC1547,CUST00255565,B,71,73
PC6234,CUST00186890,E,69,83
PC7300,CUST00023164,F,30,51
PC3649,CUST00206989,C,33,85
PC7117,CUST00046831,B,6,50
PC1863,CUST00035272,C,65,61
PC7721,CUST00093927,G,37,78
PC8211,CUST00080273,B,16,60
PC1100,CUST00050153,G,84,66
PC5991,CUST00164865,G,86,86
PC8983,CUST00268188,E,54,82
PC8694,CUST00062897,D,33,86
PC3736,CUST00222578,B,78,99
PC7643,CUST00072293,G,81,75
PC5697,CUST00236284,E,6,81
PC8945,CUST00107430,D,73,55
PC3767,CUST00063307,G,84,81
PC6648,CUST00027150,A,76,69
PC9838,CUST00014300,E,12,71
PC6750,CUST00022898,E,79,84
PC4494,CUST00114769,A,81,88
PC8833,CUST00096062,A,31,66
PC8040,CUST00033674,F,15,72
