part,replacement_cost,severity,average_life_span
Part_F0,147.04,High,10
Part_Y1,70.02,Low,6
Part_U2,162.15,Medium,4
Part_L3,233.5,Low,7
Part_P4,25.45,High,6
Part_H5,36.22,Low,3
Part_X6,156.08,Low,10
Part_Y7,55.21,Critical,10
Part_F8,94.22,Critical,5
Part_R9,231.47,Medium,6
Part_M10,298.64,High,9
Part_Q11,146.42,Medium,5
Part_C12,114.66,Medium,5
Part_A13,39.88,Low,5
Part_C14,273.52,High,3
Part_Q15,86.64,Critical,5
Part_R16,57.05,Critical,5
Part_Z17,152.43,Critical,5
Part_D18,47.14,Critical,7
Part_N19,135.11,Low,3
