customer_id,property_type,number_of_floors,rooms,have_gas_pipeline,external_or_internal_electricity_source,property_built_date
CUST00063341,Terraced,3,4,No,Company Provided,2003-01-16
CUST00225891,Terraced,1,7,No,Grid + Solar,2013-06-17
CUST00020295,Semi-Detached,3,7,No,Company Provided,2011-12-03
CUST00165673,Semi-Detached,1,7,Yes,Company Provided,2013-10-02
CUST00119452,Terraced,3,3,Yes,Company Provided,1997-12-17
CUST00113870,Bungalow,2,2,Yes,Company Provided,1989-09-29
CUST00067198,Terraced,1,4,Yes,Company Provided,2004-04-21
CUST00116256,Detached,2,7,No,Company Provided,1981-08-09
CUST00228260,Flat,1,5,Yes,Company Provided,1981-08-11
CUST00069535,Bungalow,1,4,No,Grid + Solar,1972-08-04
CUST00220754,Flat,1,4,No,Grid + Solar,2015-04-01
CUST00050531,Bungalow,2,3,No,Grid + Solar,1998-03-17
CUST00186055,Detached,2,3,No,Solar,2006-12-01
CUST00197918,Bungalow,3,3,No,Company Provided,2000-12-14
CUST00013911,Terraced,1,3,No,Company Provided,1978-01-26
CUST00247675,Flat,1,3,Yes,Company Provided,2012-05-03
CUST00106307,Bungalow,2,6,Yes,Solar,1994-03-13
CUST00213468,Detached,2,3,Yes,Grid + Solar,1984-10-29
CUST00235662,Detached,3,5,No,Solar,2006-03-02
CUST00145272,Flat,3,4,No,Company Provided,1982-09-04
CUST00038232,Detached,1,6,Yes,Solar,2006-07-12
CUST00043466,Semi-Detached,3,7,Yes,Grid + Solar,1997-09-27
CUST00087821,Detached,1,4,No,Company Provided,2012-12-10
CUST00075565,Flat,2,4,Yes,Grid + Solar,1992-11-22
CUST00035334,Terraced,1,2,Yes,Solar,1998-05-17
CUST00162732,Terraced,3,6,Yes,Company Provided,2005-08-21
CUST00124253,Detached,2,5,No,Grid + Solar,2018-10-01
CUST00076427,Bungalow,1,3,Yes,Grid + Solar,2011-12-31
CUST00060417,Detached,2,7,Yes,Solar,1997-10-15
CUST00176417,Terraced,2,2,Yes,Solar,2000-06-02
CUST00194057,Semi-Detached,3,7,Yes,Company Provided,2010-04-01
CUST00110120,Terraced,3,7,Yes,Grid + Solar,1991-10-02
CUST00215610,Semi-Detached,3,7,No,Company Provided,1990-07-15
CUST00170665,Semi-Detached,1,4,Yes,Company Provided,1997-12-18
CUST00164450,Terraced,3,2,Yes,Grid + Solar,1988-12-24
CUST00047596,Flat,1,4,No,Grid + Solar,1991-09-12
CUST00258795,Detached,1,7,Yes,Solar,2009-04-24
CUST00005591,Detached,1,7,Yes,Company Provided,2018-05-18
CUST00082774,Semi-Detached,2,3,Yes,Grid + Solar,2018-05-13
CUST00139303,Detached,1,6,No,Solar,1995-12-26
CUST00042502,Detached,1,3,No,Company Provided,2002-04-14
CUST00117386,Flat,3,2,No,Solar,1988-04-24
CUST00205016,Detached,3,5,Yes,Solar,1993-11-11
CUST00117709,Terraced,3,3,No,Grid + Solar,2011-10-31
CUST00244419,Flat,2,3,No,Grid + Solar,1984-08-09
CUST00131785,Bungalow,2,2,No,Grid + Solar,1999-07-31
CUST00250804,Detached,1,5,No,Grid + Solar,2014-03-04
CUST00157742,Terraced,1,4,Yes,Company Provided,1979-04-25
CUST00197184,Bungalow,2,7,No,Solar,1970-10-26
CUST00227038,Semi-Detached,3,7,Yes,Company Provided,2004-01-13
CUST00208886,Flat,3,3,Yes,Solar,1995-08-27
CUST00236122,Semi-Detached,1,7,No,Grid + Solar,1994-07-11
CUST00152230,Detached,2,2,Yes,Solar,1988-06-26
CUST00064832,Terraced,3,7,No,Grid + Solar,2018-12-27
CUST00132342,Terraced,3,5,Yes,Solar,2004-09-30
CUST00158784,Semi-Detached,1,6,No,Company Provided,2002-11-07
CUST00185131,Terraced,1,4,Yes,Solar,1978-02-25
CUST00184309,Bungalow,1,6,No,Grid + Solar,1970-05-16
CUST00026594,Flat,3,2,Yes,Grid + Solar,1985-06-12
CUST00251648,Flat,1,2,No,Solar,1986-07-08
CUST00207757,Semi-Detached,1,6,No,Grid + Solar,2010-09-07
CUST00151654,Detached,2,5,Yes,Solar,2013-11-25
CUST00177855,Bungalow,1,4,No,Company Provided,1987-01-29
CUST00123977,Detached,2,3,No,Solar,2013-05-26
CUST00062017,Terraced,2,6,No,Solar,1987-10-11
CUST00196992,Detached,2,5,No,Grid + Solar,2013-01-24
CUST00119114,Flat,3,3,Yes,Grid + Solar,2001-08-01
CUST00226263,Bungalow,2,4,Yes,Company Provided,1995-08-03
CUST00070528,Terraced,3,7,Yes,Company Provided,1970-03-12
CUST00015454,Flat,1,2,Yes,Grid + Solar,1994-01-09
CUST00044134,Terraced,1,6,No,Grid + Solar,1989-04-23
CUST00103127,Bungalow,2,4,Yes,Grid + Solar,2005-07-21
CUST00036634,Terraced,3,5,No,Grid + Solar,1976-02-13
CUST00213518,Detached,1,6,Yes,Solar,1997-11-29
CUST00129124,Flat,3,7,Yes,Solar,2007-03-16
CUST00265334,Semi-Detached,2,4,Yes,Solar,2000-06-10
CUST00211420,Detached,3,3,Yes,Grid + Solar,1975-02-22
CUST00201655,Bungalow,2,6,No,Grid + Solar,2016-10-17
CUST00137300,Bungalow,2,6,No,Grid + Solar,1999-04-07
CUST00047615,Detached,1,5,No,Company Provided,1997-04-13
CUST00236630,Terraced,3,4,No,Company Provided,2000-11-13
CUST00111162,Flat,3,5,Yes,Grid + Solar,2008-08-24
CUST00234176,Semi-Detached,1,5,No,Grid + Solar,2008-09-15
CUST00193984,Detached,1,3,No,Company Provided,1980-09-17
CUST00202528,Flat,2,2,No,Solar,2004-11-08
CUST00019327,Terraced,1,7,No,Grid + Solar,1993-02-27
