job_id,customer_id,repair_date,repair_type,parts_changed,fault_code,fault_reason
JOB00046132,CUST00050028,2026-07-12,Emergency,Part_Y1,F73,System error occurred due to component failure
JOB00046133,CUST00050029,2026-07-11,Emergency,Part_M10,F11,System error occurred due to component failure
JOB00046134,CUST00050030,2026-07-13,Emergency,Part_C14,F16,System error occurred due to component failure
JOB00046135,CUST00050031,2026-07-12,Emergency,Part_C14,F27,System error occurred due to component failure
JOB00046136,CUST00050032,2026-07-14,Emergency,Part_R9,F27,System error occurred due to component failure
JOB00046137,CUST00050033,2026-07-11,Emergency,Part_U2,F69,System error occurred due to component failure
JOB00046138,CUST00050034,2026-07-11,Emergency,Part_F0,F44,System error occurred due to component failure
JOB00046139,CUST00050035,2026-07-09,Emergency,Part_F8,F53,System error occurred due to component failure
JOB00046140,CUST00050036,2026-07-15,Emergency,Part_P4,F69,System error occurred due to component failure
JOB00046141,CUST00050037,2026-07-15,Emergency,Part_F8,F16,System error occurred due to component failure
JOB00046142,CUST00050038,2026-07-09,Emergency,Part_Q15,F73,System error occurred due to component failure
JOB00046143,CUST00050039,2026-07-10,Emergency,Part_R9,F27,System error occurred due to component failure
JOB00046144,CUST00050040,2026-07-11,Emergency,Part_D18,F92,System error occurred due to component failure
JOB00046145,CUST00050041,2026-07-13,Emergency,Part_F8,F44,System error occurred due to component failure
JOB00046146,CUST00050042,2026-07-09,Emergency,Part_Q11,F73,System error occurred due to component failure
JOB00046147,CUST00050043,2026-07-09,Emergency,Part_D18,F44,System error occurred due to component failure
JOB00046148,CUST00050044,2026-07-12,Emergency,Part_H5,F92,System error occurred due to component failure
JOB00046149,CUST00050045,2026-07-12,Emergency,Part_A13,F53,System error occurred due to component failure
JOB00046150,CUST00050046,2026-07-10,Emergency,Part_H5,F82,System error occurred due to component failure
JOB00046151,CUST00050047,2026-07-13,Emergency,Part_R9,F64,System error occurred due to component failure
JOB00046152,CUST00050048,2026-07-13,Emergency,Part_H5,F27,System error occurred due to component failure
JOB00046153,CUST00050049,2026-07-11,Emergency,Part_M10,F64,System error occurred due to component failure
JOB00046154,CUST00050050,2026-07-15,Emergency,Part_F8,F64,System error occurred due to component failure
JOB00046155,CUST00050051,2026-07-14,Emergency,Part_F0,F59,System error occurred due to component failure
JOB00046156,CUST00050052,2026-07-10,Emergency,Part_R9,F30,System error occurred due to component failure
JOB00046157,CUST00050053,2026-07-10,Emergency,Part_D18,F73,System error occurred due to component failure
JOB00046158,CUST00050054,2026-07-11,Emergency,Part_R9,F82,System error occurred due to component failure
JOB00046159,CUST00050055,2026-07-15,Emergency,Part_N19,F44,System error occurred due to component failure
JOB00046160,CUST00050056,2026-07-13,Emergency,Part_P4,F44,System error occurred due to component failure
