pincode,date,temperature,humidity,rain,wind,solar_radiation,atmospheric_pressure
ALL,2026-07-09,10.1,69,4.7,10.7,544,998
ALL,2026-07-10,3.9,56,12.9,31.1,307,1012
ALL,2026-07-11,25.1,72,4.9,22.6,256,1006
ALL,2026-07-12,6.4,90,2.2,24.2,178,995
ALL,2026-07-13,0.4,82,15.4,33.4,781,997
ALL,2026-07-14,-3.0,43,9.1,28.8,241,982
ALL,2026-07-15,20.7,95,0.8,6.7,386,996
ALL,2026-07-16,13.3,88,9.8,23.1,772,1025
ALL,2026-07-17,17.3,63,18.3,35.9,317,993
ALL,2026-07-18,15.4,79,7.6,24.9,703,989
ALL,2026-07-19,-4.4,83,14.1,6.7,295,1028
ALL,2026-07-20,29.4,49,7.4,30.4,260,992
ALL,2026-07-21,26.0,61,6.3,9.1,256,1017
ALL,2026-07-22,25.4,86,3.0,27.5,163,1003
ALL,2026-07-23,3.9,84,11.5,13.0,689,981
ALL,2026-07-24,14.5,87,0.1,39.0,174,981
ALL,2026-07-25,18.3,81,2.4,19.9,369,990
ALL,2026-07-26,0.6,64,16.2,37.7,312,998
ALL,2026-07-27,-3.3,52,2.9,38.1,726,986
ALL,2026-07-28,27.6,64,5.2,25.7,134,1027
ALL,2026-07-29,28.2,47,5.6,9.6,125,1027
ALL,2026-07-30,13.1,59,19.5,21.9,505,1029
ALL,2026-07-31,-2.5,74,18.9,36.8,223,1014
ALL,2026-08-01,0.6,89,8.7,31.4,598,1028
ALL,2026-08-02,27.2,55,5.9,26.5,140,984
ALL,2026-08-03,-0.3,85,1.5,18.0,496,1015
ALL,2026-08-04,13.2,53,10.5,25.1,232,1028
ALL,2026-08-05,27.4,82,4.9,23.2,714,1001
