customer_id,boiler_id,installation_date,boiler_type,boiler_manufacturer,model,energy_rating,voltage,have_insurance,last_service_date,fault_history
CUST00074568,PROD007,2020-03-29,Conventional,Worcester Bosch,Model X,C,230V,Yes,,Ignition Failure
CUST00207376,PROD008,2024-01-17,System,Worcester Bosch,Model X,B,230V,No,,Ignition Failure
CUST00119135,PROD007,2022-05-22,Combi,Ideal,Model X,B,230V,Yes,,Ignition Failure
CUST00071189,PROD010,2024-02-08,Combi,Vaillant,Model X,A,230V,Yes,,F75
CUST00005180,PROD007,2025-06-06,Combi,Vaillant,Model X,C,230V,Yes,,EA
CUST00106464,PROD009,2019-02-22,Combi,Worcester Bosch,Model X,B,230V,No,,F22
CUST00088514,PROD006,2025-10-27,Combi,Glow-worm,Model X,D,230V,Yes,,None
CUST00133673,PROD009,2020-08-19,Combi,Baxi,Model X,A,230V,Yes,,EA
CUST00073718,PROD007,2021-12-29,Combi,Glow-worm,Model X,B,230V,No,,F22
CUST00264946,PROD005,2021-06-28,System,Viessmann,Model X,C,230V,No,,Ignition Failure
CUST00187124,PROD007,2024-09-14,System,Ideal,Model X,B,230V,Yes,,EA
CUST00152385,PROD002,2020-03-05,Combi,Viessmann,Model X,B,230V,No,,F75
CUST00046830,PROD002,2025-07-23,System,Glow-worm,Model X,D,230V,No,,EA
CUST00175341,PROD002,2023-09-14,System,Vaillant,Model X,B,230V,Yes,,F75
CUST00122313,PROD008,2018-07-07,Combi,Glow-worm,Model X,B,230V,No,,F22
CUST00137270,PROD002,2025-12-14,Combi,Baxi,Model X,C,230V,Yes,,None
CUST00159925,PROD003,2023-12-03,System,Ideal,Model X,C,230V,No,,EA
CUST00270497,PROD004,2023-03-07,Combi,Baxi,Model X,B,230V,No,,F22
CUST00006242,PROD009,2019-02-13,System,Viessmann,Model X,A,230V,Yes,,F75
CUST00047291,PROD008,2018-03-23,Combi,Baxi,Model X,B,230V,No,,F22
CUST00010331,PROD004,2024-03-16,Conventional,Vaillant,Model X,C,230V,No,,F22
CUST00144186,PROD003,2025-12-27,Conventional,Worcester Bosch,Model X,C,230V,Yes,,F22
CUST00131570,PROD002,2020-10-03,System,Baxi,Model X,C,230V,Yes,,F22
CUST00243840,PROD002,2021-12-28,Combi,Glow-worm,Model X,C,230V,Yes,,None
CUST00184224,PROD006,2020-04-01,Combi,Glow-worm,Model X,B,230V,Yes,,F22
CUST00119378,PROD006,2023-08-17,System,Ideal,Model X,B,230V,No,,F75
CUST00150680,PROD006,2025-06-02,Combi,Vaillant,Model X,A,230V,No,,EA
CUST00267978,PROD003,2024-11-13,System,Glow-worm,Model X,B,230V,Yes,,EA
CUST00135801,PROD005,2023-12-24,Combi,Ideal,Model X,C,230V,No,,None
CUST00208420,PROD003,2018-05-25,System,Vaillant,Model X,A,230V,No,,EA
CUST00147651,PROD008,2025-04-21,Combi,Vaillant,Model X,B,230V,Yes,,Ignition Failure
CUST00240324,PROD005,2022-06-05,Combi,Viessmann,Model X,D,230V,No,,EA
CUST00268781,PROD004,2024-10-10,Conventional,Vaillant,Model X,A,230V,Yes,,F75
CUST00263968,PROD008,2026-05-19,Conventional,Ideal,Model X,C,230V,No,,None
CUST00058090,PROD002,2019-11-24,Conventional,Baxi,Model X,B,230V,Yes,,None
CUST00272013,PROD005,2025-11-17,Combi,Ideal,Model X,C,230V,Yes,,F75
CUST00204303,PROD005,2021-01-05,Combi,Worcester Bosch,Model X,C,230V,Yes,,EA
CUST00266702,PROD002,2020-08-12,Combi,Ideal,Model X,A,230V,Yes,,None
CUST00013056,PROD004,2026-05-31,Conventional,Ideal,Model X,C,230V,No,,F75
CUST00029407,PROD003,2023-11-29,Conventional,Ideal,Model X,D,230V,Yes,,None
CUST00168085,PROD008,2025-03-14,Conventional,Glow-worm,Model X,D,230V,No,,None
CUST00049931,PROD002,2021-11-25,System,Ideal,Model X,B,230V,Yes,,EA
CUST00217077,PROD006,2024-07-16,Combi,Viessmann,Model X,B,230V,No,,Ignition Failure
CUST00139199,PROD009,2026-01-16,System,Ideal,Model X,D,230V,Yes,,EA
CUST00224764,PROD004,2023-09-05,Conventional,Ideal,Model X,A,230V,Yes,,F75
CUST00157169,PROD004,2026-04-28,Combi,Viessmann,Model X,A,230V,Yes,,F22
CUST00047750,PROD006,2025-08-29,System,Ideal,Model X,D,230V,No,,F22
CUST00069680,PROD007,2025-10-10,Combi,Ideal,Model X,A,230V,No,,EA
CUST00210613,PROD005,2018-04-25,System,Viessmann,Model X,B,230V,Yes,,F75
CUST00160546,PROD001,2025-01-07,Combi,Vaillant,Model X,D,230V,Yes,,F22
CUST00263283,PROD009,2022-09-05,Conventional,Worcester Bosch,Model X,C,230V,No,,None
CUST00181349,PROD003,2021-11-14,Combi,Baxi,Model X,C,230V,Yes,,None
CUST00248342,PROD007,2020-08-03,Combi,Viessmann,Model X,A,230V,No,,Ignition Failure
CUST00006418,PROD005,2023-06-10,Combi,Vaillant,Model X,C,230V,No,,EA
CUST00007093,PROD006,2019-08-08,System,Worcester Bosch,Model X,B,230V,Yes,,None
CUST00013541,PROD005,2025-02-25,Conventional,Ideal,Model X,B,230V,No,,F22
CUST00019109,PROD004,2019-12-23,System,Ideal,Model X,D,230V,Yes,,F75
CUST00079492,PROD010,2019-06-07,Combi,Viessmann,Model X,D,230V,No,,EA
CUST00203356,PROD001,2018-12-24,Conventional,Glow-worm,Model X,A,230V,No,,Ignition Failure
CUST00202939,PROD009,2024-12-17,Conventional,Vaillant,Model X,C,230V,Yes,,Ignition Failure
CUST00191543,PROD008,2023-05-23,Combi,Ideal,Model X,D,230V,No,,None
CUST00224193,PROD005,2023-10-21,System,Worcester Bosch,Model X,C,230V,No,,EA
CUST00183240,PROD002,2021-07-21,Conventional,Ideal,Model X,A,230V,Yes,,EA
CUST00242486,PROD005,2024-09-21,Conventional,Glow-worm,Model X,C,230V,No,,EA
CUST00148054,PROD008,2019-11-22,System,Ideal,Model X,A,230V,Yes,,EA
CUST00089305,PROD008,2024-10-30,Conventional,Viessmann,Model X,B,230V,No,,F22
CUST00204722,PROD006,2026-04-18,Combi,Glow-worm,Model X,B,230V,Yes,,None
CUST00146977,PROD008,2018-09-01,System,Baxi,Model X,C,230V,No,,F22
CUST00060625,PROD006,2023-06-23,System,Ideal,Model X,C,230V,No,,Ignition Failure
CUST00019660,PROD008,2020-01-16,Combi,Worcester Bosch,Model X,D,230V,Yes,,EA
CUST00190340,PROD007,2019-01-07,System,Glow-worm,Model X,A,230V,No,,EA
CUST00140998,PROD003,2020-05-27,Conventional,Ideal,Model X,C,230V,Yes,,None
CUST00135990,PROD001,2023-03-14,Conventional,Vaillant,Model X,A,230V,No,,None
CUST00080036,PROD004,2020-04-08,Conventional,Viessmann,Model X,A,230V,No,,EA
CUST00143850,PROD007,2023-02-14,System,Glow-worm,Model X,A,230V,Yes,,F22
CUST00237931,PROD009,2021-11-14,Conventional,Glow-worm,Model X,B,230V,No,,None
CUST00263617,PROD009,2018-06-06,Combi,Baxi,Model X,D,230V,No,,EA
CUST00121179,PROD004,2020-06-08,Combi,Ideal,Model X,B,230V,Yes,,F75
CUST00237109,PROD008,2025-05-16,Combi,Vaillant,Model X,B,230V,No,,Ignition Failure
CUST00143089,PROD005,2021-10-25,Combi,Ideal,Model X,C,230V,Yes,,EA
CUST00028920,PROD008,2024-12-20,Combi,Ideal,Model X,C,230V,No,,None
CUST00189815,PROD001,2021-09-28,Combi,Glow-worm,Model X,B,230V,Yes,,F22
CUST00000728,PROD010,2020-01-02,Combi,Baxi,Model X,D,230V,No,,Ignition Failure
CUST00072421,PROD005,2021-05-12,System,Glow-worm,Model X,C,230V,Yes,,EA
CUST00248391,PROD005,2024-12-20,System,Baxi,Model X,A,230V,Yes,,EA
CUST00253569,PROD005,2020-01-03,Combi,Vaillant,Model X,B,230V,No,,F22
CUST00098599,PROD004,2018-01-07,System,Viessmann,Model X,C,230V,Yes,,Ignition Failure
CUST00136973,PROD010,2022-10-16,Conventional,Ideal,Model X,D,230V,No,,F75
CUST00101496,PROD010,2024-01-11,Conventional,Viessmann,Model X,C,230V,Yes,,F22
CUST00031302,PROD006,2018-07-30,System,Vaillant,Model X,A,230V,Yes,,EA
CUST00182031,PROD009,2019-08-16,Combi,Ideal,Model X,D,230V,No,,None
CUST00164556,PROD005,2025-01-01,System,Viessmann,Model X,D,230V,No,,EA
CUST00223205,PROD008,2019-05-21,System,Glow-worm,Model X,A,230V,Yes,,None
CUST00078441,PROD006,2018-10-07,Combi,Worcester Bosch,Model X,C,230V,Yes,,EA
CUST00266084,PROD001,2022-08-07,System,Ideal,Model X,C,230V,No,,EA
CUST00011634,PROD004,2018-12-31,System,Baxi,Model X,C,230V,Yes,,EA
CUST00072006,PROD004,2021-01-16,Conventional,Viessmann,Model X,D,230V,Yes,,F22
CUST00081755,PROD008,2025-10-19,System,Glow-worm,Model X,A,230V,Yes,,None
CUST00208227,PROD003,2019-05-03,Conventional,Baxi,Model X,A,230V,Yes,,None
CUST00081752,PROD003,2025-08-19,Conventional,Vaillant,Model X,D,230V,No,,F22
CUST00245086,PROD002,2023-10-24,System,Ideal,Model X,B,230V,Yes,,EA
CUST00024129,PROD002,2023-05-09,Combi,Worcester Bosch,Model X,A,230V,No,,None
CUST00146557,PROD005,2020-04-03,Combi,Viessmann,Model X,A,230V,No,,Ignition Failure
CUST00122703,PROD004,2024-03-01,System,Worcester Bosch,Model X,C,230V,No,,Ignition Failure
CUST00074659,PROD003,2025-07-25,Combi,Viessmann,Model X,B,230V,Yes,,EA
CUST00048081,PROD010,2023-03-16,Conventional,Vaillant,Model X,C,230V,No,,F22
CUST00132279,PROD001,2019-08-21,Combi,Worcester Bosch,Model X,C,230V,Yes,,F22
CUST00004276,PROD005,2022-10-02,System,Viessmann,Model X,B,230V,Yes,,F22
CUST00083150,PROD009,2023-10-01,System,Glow-worm,Model X,D,230V,No,,F22
CUST00228184,PROD005,2020-02-19,Conventional,Worcester Bosch,Model X,D,230V,No,,Ignition Failure
CUST00127950,PROD007,2018-10-23,System,Glow-worm,Model X,B,230V,Yes,,None
CUST00042351,PROD008,2025-03-07,Conventional,Vaillant,Model X,D,230V,No,,EA
CUST00050004,PROD010,2024-06-03,Conventional,Worcester Bosch,Model X,C,230V,Yes,,Ignition Failure
CUST00239741,PROD007,2021-03-16,Combi,Ideal,Model X,C,230V,No,,EA
CUST00249289,PROD001,2019-08-11,Conventional,Viessmann,Model X,C,230V,Yes,,F22
CUST00052191,PROD006,2024-03-02,Conventional,Worcester Bosch,Model X,C,230V,Yes,,F22
CUST00035568,PROD003,2024-01-20,System,Glow-worm,Model X,D,230V,Yes,,None
CUST00018814,PROD008,2019-07-19,Combi,Vaillant,Model X,D,230V,No,,F22
CUST00110949,PROD003,2024-06-22,Combi,Ideal,Model X,D,230V,Yes,,EA
CUST00000833,PROD002,2023-11-24,Combi,Worcester Bosch,Model X,D,230V,Yes,,F75
CUST00220251,PROD005,2019-08-03,System,Ideal,Model X,C,230V,No,,EA
CUST00038462,PROD002,2021-10-18,Conventional,Glow-worm,Model X,C,230V,No,,F22
CUST00124457,PROD009,2024-11-14,Combi,Worcester Bosch,Model X,C,230V,No,,Ignition Failure
CUST00270885,PROD009,2025-07-24,Combi,Glow-worm,Model X,A,230V,Yes,,EA
CUST00105624,PROD008,2020-05-05,Conventional,Viessmann,Model X,A,230V,No,,None
CUST00232229,PROD004,2024-07-12,System,Vaillant,Model X,C,230V,Yes,,F75
CUST00043842,PROD004,2023-03-01,Combi,Baxi,Model X,B,230V,No,,F75
CUST00122934,PROD010,2019-07-19,Combi,Vaillant,Model X,C,230V,No,,Ignition Failure
CUST00122259,PROD001,2021-11-26,System,Vaillant,Model X,A,230V,Yes,,F22
CUST00266364,PROD001,2019-02-07,Conventional,Worcester Bosch,Model X,B,230V,No,,None
CUST00253018,PROD009,2023-01-09,Combi,Viessmann,Model X,C,230V,No,,None
CUST00025904,PROD003,2021-05-09,Conventional,Vaillant,Model X,D,230V,No,,EA
CUST00109652,PROD010,2021-09-02,Combi,Ideal,Model X,C,230V,Yes,,F22
CUST00027310,PROD008,2018-08-13,Conventional,Glow-worm,Model X,D,230V,Yes,,Ignition Failure
CUST00222395,PROD010,2026-04-24,Combi,Vaillant,Model X,D,230V,No,,Ignition Failure
CUST00268628,PROD010,2022-06-02,System,Worcester Bosch,Model X,A,230V,No,,EA
CUST00072606,PROD003,2026-06-03,Combi,Baxi,Model X,A,230V,No,,Ignition Failure
CUST00136784,PROD004,2021-01-08,System,Viessmann,Model X,C,230V,Yes,,EA
CUST00076374,PROD006,2024-09-25,Conventional,Baxi,Model X,D,230V,No,,F22
CUST00189287,PROD002,2023-02-26,Combi,Vaillant,Model X,B,230V,No,,EA
CUST00107207,PROD009,2025-08-07,System,Ideal,Model X,D,230V,Yes,,EA
CUST00069676,PROD002,2022-11-07,Conventional,Ideal,Model X,B,230V,No,,F75
CUST00043937,PROD004,2021-04-21,Conventional,Glow-worm,Model X,D,230V,Yes,,F22
CUST00148075,PROD006,2022-04-17,Combi,Baxi,Model X,C,230V,No,,Ignition Failure
CUST00211330,PROD003,2023-10-14,Conventional,Viessmann,Model X,C,230V,No,,F75
CUST00104871,PROD010,2023-02-21,Combi,Worcester Bosch,Model X,A,230V,No,,F75
CUST00025472,PROD006,2019-06-23,Conventional,Ideal,Model X,C,230V,No,,F22
CUST00243816,PROD005,2024-10-08,Combi,Ideal,Model X,D,230V,Yes,,F75
CUST00097802,PROD001,2025-04-06,System,Baxi,Model X,C,230V,No,,F75
CUST00270736,PROD008,2026-03-19,Conventional,Vaillant,Model X,D,230V,No,,F75
CUST00120486,PROD002,2024-03-09,System,Baxi,Model X,B,230V,No,,None
CUST00038415,PROD006,2019-07-04,Combi,Worcester Bosch,Model X,A,230V,No,,F75
CUST00072827,PROD002,2022-01-30,System,Worcester Bosch,Model X,C,230V,Yes,,EA
CUST00166612,PROD001,2018-04-24,Conventional,Worcester Bosch,Model X,A,230V,No,,None
CUST00266329,PROD003,2025-10-25,Conventional,Glow-worm,Model X,C,230V,Yes,,None
CUST00165228,PROD009,2021-09-12,Conventional,Glow-worm,Model X,B,230V,Yes,,F75
CUST00213696,PROD008,2022-01-18,Conventional,Glow-worm,Model X,C,230V,No,,None
CUST00242229,PROD009,2018-08-04,Combi,Ideal,Model X,A,230V,No,,Ignition Failure
CUST00036112,PROD005,2022-11-27,Conventional,Worcester Bosch,Model X,D,230V,No,,EA
CUST00195362,PROD003,2024-04-06,Combi,Viessmann,Model X,B,230V,Yes,,Ignition Failure
CUST00062514,PROD009,2020-03-23,System,Ideal,Model X,A,230V,Yes,,F22
CUST00243730,PROD002,2021-07-24,Combi,Glow-worm,Model X,C,230V,No,,F75
CUST00035881,PROD002,2019-07-04,Combi,Viessmann,Model X,A,230V,No,,None
CUST00194926,PROD003,2026-02-07,Conventional,Ideal,Model X,B,230V,Yes,,Ignition Failure
CUST00077265,PROD002,2019-01-25,System,Baxi,Model X,B,230V,No,,None
CUST00108606,PROD002,2022-06-10,Conventional,Viessmann,Model X,D,230V,Yes,,None
CUST00133701,PROD009,2024-08-04,Combi,Viessmann,Model X,A,230V,No,,F22
CUST00160572,PROD001,2025-10-24,Combi,Viessmann,Model X,B,230V,No,,F22
CUST00238491,PROD005,2022-03-05,System,Worcester Bosch,Model X,A,230V,No,,Ignition Failure
CUST00104331,PROD006,2023-05-31,Combi,Vaillant,Model X,A,230V,Yes,,F22
CUST00112868,PROD002,2021-09-30,System,Baxi,Model X,B,230V,No,,F75
CUST00103577,PROD010,2019-03-04,System,Baxi,Model X,C,230V,No,,EA
CUST00208932,PROD007,2022-09-01,Combi,Ideal,Model X,D,230V,No,,EA
CUST00046515,PROD003,2023-09-25,System,Viessmann,Model X,D,230V,Yes,,Ignition Failure
CUST00002336,PROD004,2026-01-03,Combi,Viessmann,Model X,D,230V,No,,Ignition Failure
CUST00011108,PROD001,2025-09-12,Combi,Viessmann,Model X,A,230V,No,,EA
CUST00033902,PROD001,2025-02-01,System,Ideal,Model X,B,230V,Yes,,F22
CUST00043166,PROD009,2025-07-30,Combi,Glow-worm,Model X,D,230V,No,,F75
CUST00078670,PROD010,2025-10-18,Conventional,Baxi,Model X,B,230V,Yes,,Ignition Failure
CUST00256009,PROD002,2021-08-09,System,Baxi,Model X,B,230V,No,,F22
CUST00196119,PROD004,2022-09-06,System,Worcester Bosch,Model X,D,230V,Yes,,None
CUST00256225,PROD006,2019-02-13,System,Vaillant,Model X,A,230V,No,,F75
CUST00111465,PROD004,2019-02-08,System,Worcester Bosch,Model X,A,230V,Yes,,F75
CUST00229407,PROD005,2025-07-10,Conventional,Baxi,Model X,C,230V,No,,EA
CUST00229829,PROD001,2018-07-05,Conventional,Worcester Bosch,Model X,B,230V,Yes,,F22
CUST00091758,PROD004,2026-07-01,Combi,Glow-worm,Model X,D,230V,No,,EA
CUST00164960,PROD005,2019-01-12,System,Worcester Bosch,Model X,B,230V,No,,Ignition Failure
CUST00244633,PROD008,2019-05-19,System,Viessmann,Model X,D,230V,Yes,,Ignition Failure
CUST00144590,PROD006,2026-05-14,System,Ideal,Model X,A,230V,No,,F22
CUST00182289,PROD005,2020-01-08,Conventional,Ideal,Model X,A,230V,No,,Ignition Failure
CUST00166915,PROD002,2019-12-21,Combi,Baxi,Model X,A,230V,No,,F22
CUST00014745,PROD006,2021-04-24,Conventional,Glow-worm,Model X,B,230V,Yes,,None
CUST00158571,PROD001,2026-06-11,Conventional,Viessmann,Model X,C,230V,Yes,,F22
CUST00023595,PROD004,2023-01-01,Conventional,Ideal,Model X,C,230V,No,,Ignition Failure
CUST00031284,PROD008,2023-06-19,System,Viessmann,Model X,A,230V,No,,F75
CUST00067850,PROD001,2026-06-24,System,Worcester Bosch,Model X,A,230V,Yes,,EA
CUST00029975,PROD007,2021-10-29,Conventional,Vaillant,Model X,C,230V,No,,F75
CUST00142811,PROD001,2023-01-22,System,Vaillant,Model X,D,230V,Yes,,F22
CUST00212307,PROD006,2019-01-09,Combi,Ideal,Model X,B,230V,Yes,,None
CUST00062361,PROD001,2019-10-01,Combi,Vaillant,Model X,D,230V,No,,Ignition Failure
CUST00172987,PROD010,2026-03-20,Combi,Glow-worm,Model X,D,230V,No,,F75
CUST00165812,PROD003,2025-09-07,System,Baxi,Model X,B,230V,Yes,,Ignition Failure
CUST00250069,PROD008,2018-02-25,Conventional,Worcester Bosch,Model X,A,230V,No,,F75
CUST00121046,PROD006,2019-04-10,Combi,Baxi,Model X,B,230V,Yes,,Ignition Failure
CUST00271242,PROD006,2024-06-23,System,Glow-worm,Model X,D,230V,No,,F75
CUST00251678,PROD008,2025-07-22,System,Baxi,Model X,A,230V,Yes,,Ignition Failure
CUST00035874,PROD004,2024-06-29,System,Glow-worm,Model X,D,230V,No,,F75
CUST00230381,PROD009,2019-05-28,System,Vaillant,Model X,D,230V,Yes,,F22
CUST00064940,PROD008,2025-11-08,Combi,Glow-worm,Model X,D,230V,No,,None
CUST00138874,PROD001,2026-01-29,Conventional,Glow-worm,Model X,A,230V,No,,Ignition Failure
CUST00225765,PROD001,2025-08-14,Combi,Worcester Bosch,Model X,C,230V,No,,F22
CUST00238930,PROD009,2026-03-10,Conventional,Ideal,Model X,C,230V,No,,F22
CUST00160191,PROD006,2023-05-18,System,Baxi,Model X,D,230V,No,,None
CUST00134623,PROD002,2019-04-05,System,Vaillant,Model X,D,230V,Yes,,None
CUST00215812,PROD007,2024-07-20,System,Ideal,Model X,B,230V,Yes,,EA
CUST00051862,PROD004,2024-11-30,Combi,Baxi,Model X,C,230V,Yes,,F75
CUST00013062,PROD009,2024-10-29,System,Ideal,Model X,B,230V,No,,EA
CUST00262664,PROD005,2018-06-28,Combi,Viessmann,Model X,C,230V,No,,F22
CUST00025064,PROD007,2019-12-26,Conventional,Baxi,Model X,B,230V,No,,EA
CUST00013085,PROD008,2022-01-10,System,Glow-worm,Model X,D,230V,No,,EA
CUST00042452,PROD001,2019-12-12,Conventional,Worcester Bosch,Model X,A,230V,Yes,,F75
CUST00048824,PROD008,2018-09-05,Combi,Glow-worm,Model X,B,230V,Yes,,F75
CUST00171406,PROD005,2024-07-27,System,Baxi,Model X,A,230V,Yes,,F22
CUST00072023,PROD004,2021-06-15,System,Worcester Bosch,Model X,A,230V,No,,F22
CUST00025786,PROD006,2022-10-29,Conventional,Ideal,Model X,C,230V,No,,None
CUST00034672,PROD002,2026-03-06,Conventional,Baxi,Model X,B,230V,Yes,,F22
CUST00145717,PROD007,2022-07-20,Conventional,Worcester Bosch,Model X,A,230V,No,,F22
CUST00125750,PROD006,2022-07-07,System,Worcester Bosch,Model X,C,230V,No,,F75
CUST00118651,PROD005,2025-08-27,System,Viessmann,Model X,B,230V,No,,F75
CUST00045541,PROD002,2024-04-21,Conventional,Ideal,Model X,D,230V,Yes,,EA
CUST00219056,PROD010,2018-10-17,System,Vaillant,Model X,D,230V,No,,Ignition Failure
CUST00016714,PROD008,2025-05-22,Conventional,Vaillant,Model X,D,230V,No,,Ignition Failure
CUST00127058,PROD009,2020-10-01,Conventional,Viessmann,Model X,A,230V,No,,EA
CUST00255942,PROD005,2019-07-23,Combi,Viessmann,Model X,C,230V,No,,EA
CUST00033992,PROD007,2018-03-10,System,Glow-worm,Model X,B,230V,No,,None
CUST00050147,PROD004,2019-03-02,System,Glow-worm,Model X,A,230V,Yes,,None
CUST00176498,PROD004,2021-12-05,Conventional,Glow-worm,Model X,D,230V,Yes,,F22
CUST00213967,PROD005,2023-07-01,Conventional,Ideal,Model X,B,230V,No,,EA
CUST00187998,PROD007,2020-10-07,Combi,Worcester Bosch,Model X,B,230V,No,,F75
CUST00162225,PROD001,2024-06-22,Combi,Glow-worm,Model X,C,230V,Yes,,F75
CUST00265574,PROD008,2019-07-08,Combi,Vaillant,Model X,B,230V,No,,None
CUST00146936,PROD009,2018-11-30,Combi,Ideal,Model X,B,230V,Yes,,EA
CUST00163709,PROD005,2022-09-07,Conventional,Worcester Bosch,Model X,C,230V,Yes,,F22
CUST00229717,PROD008,2022-10-04,Combi,Glow-worm,Model X,C,230V,Yes,,F22
