job_id,job_registration_datetime,contact_center_agent_id,mode_of_contact
JOB00001554,2026-07-11 09:00:00,CCA148,Email
JOB00001555,2026-07-10 09:00:00,CCA134,App
JOB00001556,2026-07-12 09:00:00,CCA128,App
JOB00001557,2026-07-12 09:00:00,CCA119,Visit
JOB00001558,2026-07-13 09:00:00,CCA112,App
JOB00001559,2026-07-14 09:00:00,CCA127,App
JOB00001560,2026-07-12 09:00:00,CCA103,App
JOB00001561,2026-07-12 09:00:00,CCA104,Call
JOB00001562,2026-07-12 09:00:00,CCA121,Visit
JOB00001563,2026-07-15 09:00:00,CCA144,Call
JOB00001564,2026-07-09 09:00:00,CCA113,Call
JOB00001565,2026-07-15 09:00:00,CCA104,Call
JOB00001566,2026-07-14 09:00:00,CCA148,App
JOB00001567,2026-07-10 09:00:00,CCA129,Visit
JOB00001568,2026-07-11 09:00:00,CCA111,App
JOB00001569,2026-07-11 09:00:00,CCA104,App
JOB00001570,2026-07-14 09:00:00,CCA134,Visit
JOB00001571,2026-07-13 09:00:00,CCA131,App
JOB00001572,2026-07-15 09:00:00,CCA148,Visit
JOB00001573,2026-07-13 09:00:00,CCA120,Visit
JOB00001574,2026-07-10 09:00:00,CCA142,Call
JOB00001575,2026-07-15 09:00:00,CCA110,Visit
JOB00001576,2026-07-12 09:00:00,CCA112,Visit
JOB00001577,2026-07-15 09:00:00,CCA135,App
JOB00001578,2026-07-13 09:00:00,CCA130,Call
JOB00001579,2026-07-11 09:00:00,CCA141,Visit
JOB00001580,2026-07-11 09:00:00,CCA149,Visit
JOB00001581,2026-07-09 09:00:00,CCA139,Email
JOB00001582,2026-07-13 09:00:00,CCA104,Call
JOB00001583,2026-07-14 09:00:00,CCA143,Visit
JOB00001584,2026-07-14 09:00:00,CCA141,Visit
JOB00001585,2026-07-11 09:00:00,CCA119,App
JOB00001586,2026-07-14 09:00:00,CCA122,Call
JOB00001587,2026-07-15 09:00:00,CCA141,Call
JOB00001588,2026-07-12 09:00:00,CCA123,Call
JOB00001589,2026-07-14 09:00:00,CCA135,Email
JOB00001590,2026-07-13 09:00:00,CCA142,App
JOB00001591,2026-07-10 09:00:00,CCA129,App
JOB00001592,2026-07-13 09:00:00,CCA145,App
JOB00001593,2026-07-10 09:00:00,CCA115,Call
JOB00001594,2026-07-15 09:00:00,CCA137,Email
JOB00001595,2026-07-09 09:00:00,CCA149,Email
JOB00001596,2026-07-13 09:00:00,CCA147,Email
JOB00001597,2026-07-11 09:00:00,CCA110,Visit
JOB00001598,2026-07-11 09:00:00,CCA121,Email
JOB00001599,2026-07-09 09:00:00,CCA112,Call
JOB00001600,2026-07-14 09:00:00,CCA139,Call
JOB00001601,2026-07-11 09:00:00,CCA106,App
JOB00001602,2026-07-10 09:00:00,CCA144,Email
JOB00001603,2026-07-09 09:00:00,CCA145,Call
JOB00001604,2026-07-09 09:00:00,CCA126,App
JOB00001605,2026-07-11 09:00:00,CCA106,Visit
JOB00001606,2026-07-15 09:00:00,CCA114,App
JOB00001607,2026-07-15 09:00:00,CCA146,Call
JOB00001608,2026-07-15 09:00:00,CCA146,Call
JOB00001609,2026-07-11 09:00:00,CCA131,Visit
JOB00001610,2026-07-12 09:00:00,CCA109,Visit
JOB00001611,2026-07-11 09:00:00,CCA126,App
JOB00001612,2026-07-15 09:00:00,CCA150,App
JOB00001613,2026-07-15 09:00:00,CCA145,Visit
JOB00001614,2026-07-15 09:00:00,CCA111,Visit
JOB00001615,2026-07-14 09:00:00,CCA107,Visit
JOB00001616,2026-07-13 09:00:00,CCA128,Call
JOB00001617,2026-07-15 09:00:00,CCA139,Visit
JOB00001618,2026-07-11 09:00:00,CCA143,App
JOB00001619,2026-07-14 09:00:00,CCA147,Email
JOB00001620,2026-07-10 09:00:00,CCA104,Visit
JOB00001621,2026-07-12 09:00:00,CCA120,App
JOB00001622,2026-07-10 09:00:00,CCA113,Call
JOB00001623,2026-07-09 09:00:00,CCA138,Visit
JOB00001624,2026-07-10 09:00:00,CCA101,App
JOB00001625,2026-07-10 09:00:00,CCA103,App
JOB00001626,2026-07-14 09:00:00,CCA150,Email
JOB00001627,2026-07-14 09:00:00,CCA101,Visit
JOB00001628,2026-07-15 09:00:00,CCA106,Call
JOB00001629,2026-07-10 09:00:00,CCA126,Email
JOB00001630,2026-07-13 09:00:00,CCA145,Call
JOB00001631,2026-07-14 09:00:00,CCA102,Visit
JOB00001632,2026-07-09 09:00:00,CCA109,Email
JOB00001633,2026-07-09 09:00:00,CCA116,Call
JOB00001634,2026-07-13 09:00:00,CCA128,Call
JOB00001635,2026-07-10 09:00:00,CCA116,App
JOB00001636,2026-07-09 09:00:00,CCA140,App
JOB00001637,2026-07-13 09:00:00,CCA141,Visit
JOB00001638,2026-07-10 09:00:00,CCA118,App
JOB00001639,2026-07-15 09:00:00,CCA113,Visit
JOB00001640,2026-07-09 09:00:00,CCA112,Email
JOB00001641,2026-07-14 09:00:00,CCA116,Visit
JOB00001642,2026-07-14 09:00:00,CCA119,Email
JOB00001643,2026-07-10 09:00:00,CCA102,App
JOB00001644,2026-07-11 09:00:00,CCA102,Call
JOB00001645,2026-07-11 09:00:00,CCA100,Call
JOB00001646,2026-07-09 09:00:00,CCA118,Call
JOB00001647,2026-07-10 09:00:00,CCA115,Email
JOB00001648,2026-07-11 09:00:00,CCA147,App
JOB00001649,2026-07-13 09:00:00,CCA108,Call
JOB00001650,2026-07-14 09:00:00,CCA148,Visit
JOB00001651,2026-07-14 09:00:00,CCA108,Visit
JOB00001652,2026-07-13 09:00:00,CCA127,App
JOB00001653,2026-07-10 09:00:00,CCA105,App
JOB00001654,2026-07-12 09:00:00,CCA145,App
JOB00001655,2026-07-14 09:00:00,CCA129,App
JOB00001656,2026-07-12 09:00:00,CCA147,App
JOB00001657,2026-07-11 09:00:00,CCA113,App
JOB00001658,2026-07-12 09:00:00,CCA104,Visit
JOB00001659,2026-07-15 09:00:00,CCA138,Call
JOB00001660,2026-07-13 09:00:00,CCA114,App
JOB00001661,2026-07-14 09:00:00,CCA110,Call
JOB00001662,2026-07-11 09:00:00,CCA130,Visit
JOB00001663,2026-07-09 09:00:00,CCA123,Call
JOB00001664,2026-07-13 09:00:00,CCA120,Email
JOB00001665,2026-07-14 09:00:00,CCA126,Call
JOB00001666,2026-07-14 09:00:00,CCA150,App
JOB00001667,2026-07-15 09:00:00,CCA114,Email
JOB00001668,2026-07-09 09:00:00,CCA135,Call
JOB00001669,2026-07-12 09:00:00,CCA142,App
JOB00001670,2026-07-15 09:00:00,CCA146,Call
JOB00001671,2026-07-10 09:00:00,CCA140,Call
JOB00001672,2026-07-11 09:00:00,CCA120,Email
JOB00001673,2026-07-13 09:00:00,CCA136,Call
JOB00001674,2026-07-15 09:00:00,CCA140,Email
JOB00001675,2026-07-10 09:00:00,CCA125,Visit
JOB00001676,2026-07-09 09:00:00,CCA117,Email
JOB00001677,2026-07-13 09:00:00,CCA149,Visit
