customer_id,city,pincode,region,terrian
CUST00074568,Bristol,PC5887,North East,Coastal
CUST00207376,London,PC4773,London,Urban
CUST00119135,Liverpool,PC7281,Yorkshire,Suburban
CUST00071189,Birmingham,PC4592,South West,Rural
CUST00005180,Birmingham,PC7775,North East,Suburban
CUST00106464,Glasgow,PC9710,North East,Coastal
CUST00088514,Leeds,PC7714,London,Urban
CUST00133673,Birmingham,PC3596,London,Suburban
CUST00073718,Glasgow,PC2747,Scotland,Suburban
CUST00264946,London,PC4493,Midlands,Rural
CUST00187124,Birmingham,PC6082,London,Urban
CUST00152385,Glasgow,PC8511,North West,Coastal
CUST00046830,London,PC7721,London,Rural
CUST00175341,Glasgow,PC3973,North West,Urban
CUST00122313,Liverpool,PC7215,Yorkshire,Rural
CUST00137270,Birmingham,PC8032,North West,Rural
CUST00159925,Sheffield,PC6567,Midlands,Urban
CUST00270497,Leeds,PC4960,Scotland,Suburban
CUST00006242,Leeds,PC5147,South West,Urban
CUST00047291,Manchester,PC5074,South East,Coastal
CUST00010331,Sheffield,PC1084,London,Rural
CUST00144186,Glasgow,PC2194,Midlands,Coastal
CUST00131570,Manchester,PC7006,North West,Coastal
CUST00243840,Manchester,PC9029,London,Urban
CUST00184224,Liverpool,PC7757,London,Suburban
CUST00119378,Southampton,PC8257,London,Coastal
CUST00150680,Leeds,PC2833,Scotland,Urban
CUST00267978,Southampton,PC9503,South East,Coastal
CUST00135801,Birmingham,PC4527,North East,Coastal
CUST00208420,Birmingham,PC1634,Midlands,Rural
CUST00147651,Leeds,PC1516,Midlands,Rural
CUST00240324,Manchester,PC7261,London,Suburban
CUST00268781,Southampton,PC2216,Midlands,Suburban
CUST00263968,London,PC3170,North West,Rural
CUST00058090,Liverpool,PC1939,North East,Coastal
CUST00272013,Southampton,PC4806,Yorkshire,Suburban
CUST00204303,Leeds,PC2249,London,Rural
CUST00266702,Birmingham,PC7338,North West,Rural
CUST00013056,London,PC9806,North East,Rural
CUST00029407,Liverpool,PC2915,Wales,Suburban
CUST00168085,Birmingham,PC2555,Midlands,Rural
CUST00049931,London,PC4250,Scotland,Coastal
CUST00217077,Bristol,PC7065,South West,Suburban
CUST00139199,Southampton,PC2429,South East,Rural
CUST00224764,Manchester,PC3399,North East,Urban
CUST00157169,Liverpool,PC9604,South East,Urban
CUST00047750,Newcastle,PC4718,Midlands,Urban
CUST00069680,Southampton,PC7105,South East,Suburban
CUST00210613,Bristol,PC4426,Wales,Coastal
CUST00160546,Bristol,PC4587,Midlands,Suburban
CUST00263283,Glasgow,PC1890,Wales,Urban
CUST00181349,Leeds,PC1383,Midlands,Coastal
CUST00248342,Glasgow,PC8149,North West,Coastal
CUST00006418,Glasgow,PC4994,Yorkshire,Urban
CUST00007093,Leeds,PC8000,Yorkshire,Suburban
CUST00013541,Liverpool,PC6485,London,Suburban
CUST00019109,Southampton,PC5382,Midlands,Suburban
CUST00079492,Glasgow,PC1232,Wales,Coastal
CUST00203356,London,PC1903,London,Suburban
CUST00202939,Liverpool,PC9442,Midlands,Coastal
CUST00191543,Leeds,PC5047,Wales,Suburban
CUST00224193,London,PC6997,London,Rural
CUST00183240,London,PC3319,North East,Rural
CUST00242486,Southampton,PC3371,London,Suburban
CUST00148054,Bristol,PC5621,North East,Urban
CUST00089305,Glasgow,PC4442,Wales,Urban
CUST00204722,Liverpool,PC1757,South East,Coastal
CUST00146977,Bristol,PC2592,Yorkshire,Urban
CUST00060625,Birmingham,PC6418,South East,Urban
CUST00019660,Liverpool,PC3548,North East,Urban
CUST00190340,London,PC5563,South East,Urban
CUST00140998,London,PC7792,North West,Urban
CUST00135990,Liverpool,PC6393,South East,Coastal
CUST00080036,Newcastle,PC7876,Midlands,Urban
CUST00143850,Sheffield,PC4324,South East,Rural
CUST00237931,Sheffield,PC6944,South East,Rural
CUST00263617,Bristol,PC8581,Scotland,Urban
CUST00121179,Bristol,PC2751,North East,Suburban
CUST00237109,Manchester,PC3653,Wales,Urban
CUST00143089,Manchester,PC5914,Scotland,Coastal
CUST00028920,Southampton,PC1178,South West,Coastal
CUST00189815,London,PC5665,Midlands,Rural
CUST00000728,Liverpool,PC4836,Midlands,Rural
CUST00072421,Leeds,PC3202,Yorkshire,Suburban
CUST00248391,Manchester,PC9442,London,Rural
CUST00253569,Liverpool,PC5842,Scotland,Suburban
CUST00098599,Glasgow,PC1000,Midlands,Coastal
CUST00136973,Glasgow,PC4803,London,Suburban
CUST00101496,Southampton,PC1223,Yorkshire,Urban
CUST00031302,Liverpool,PC9947,Yorkshire,Coastal
CUST00182031,Birmingham,PC2500,London,Rural
CUST00164556,London,PC5916,Wales,Suburban
CUST00223205,Manchester,PC9464,North West,Suburban
CUST00078441,Sheffield,PC5669,South West,Coastal
CUST00266084,Birmingham,PC8390,North West,Rural
CUST00011634,Sheffield,PC1701,Wales,Suburban
CUST00072006,Newcastle,PC8828,Scotland,Coastal
CUST00081755,Leeds,PC8103,Scotland,Suburban
CUST00208227,Southampton,PC8847,Yorkshire,Suburban
CUST00081752,Newcastle,PC3811,South West,Coastal
CUST00245086,Sheffield,PC8693,South East,Rural
CUST00024129,Sheffield,PC6140,Yorkshire,Rural
CUST00146557,Bristol,PC2624,South East,Suburban
CUST00122703,Sheffield,PC9234,Scotland,Coastal
CUST00074659,Bristol,PC3672,North West,Rural
CUST00048081,Leeds,PC5214,South East,Coastal
CUST00132279,London,PC1984,Wales,Urban
CUST00004276,Southampton,PC8407,South West,Urban
CUST00083150,Glasgow,PC9313,London,Coastal
CUST00228184,Manchester,PC2514,London,Urban
CUST00127950,Leeds,PC4157,Yorkshire,Urban
CUST00042351,Bristol,PC4456,South East,Coastal
CUST00050004,Glasgow,PC2122,South West,Rural
CUST00239741,Birmingham,PC5291,South West,Coastal
CUST00249289,Leeds,PC3284,South West,Rural
CUST00052191,Newcastle,PC6285,Wales,Coastal
CUST00035568,London,PC8708,South West,Coastal
CUST00018814,Birmingham,PC1359,Scotland,Suburban
CUST00110949,Sheffield,PC8469,North West,Rural
CUST00000833,Birmingham,PC7346,Scotland,Suburban
CUST00220251,Sheffield,PC4850,North East,Coastal
CUST00038462,Manchester,PC1195,Midlands,Rural
CUST00124457,London,PC1499,North East,Coastal
CUST00270885,Bristol,PC5009,North East,Rural
CUST00105624,London,PC6857,Midlands,Urban
CUST00232229,Sheffield,PC2170,North East,Suburban
CUST00043842,Sheffield,PC5790,South East,Coastal
CUST00122934,Sheffield,PC5110,North East,Coastal
CUST00122259,Southampton,PC5013,South West,Coastal
CUST00266364,Sheffield,PC5554,North West,Coastal
CUST00253018,Birmingham,PC2748,Midlands,Rural
CUST00025904,Leeds,PC3438,Midlands,Urban
CUST00109652,Bristol,PC1157,London,Suburban
CUST00027310,Sheffield,PC8949,Wales,Rural
CUST00222395,Liverpool,PC2565,North East,Suburban
CUST00268628,Southampton,PC2434,North East,Coastal
CUST00072606,Manchester,PC6058,North West,Suburban
CUST00136784,Birmingham,PC8715,Midlands,Rural
CUST00076374,Glasgow,PC7862,South East,Coastal
CUST00189287,Manchester,PC1988,North East,Suburban
CUST00107207,Liverpool,PC1524,London,Suburban
CUST00069676,Birmingham,PC4423,North West,Urban
CUST00043937,Manchester,PC4335,Scotland,Rural
CUST00148075,Bristol,PC2188,Wales,Rural
CUST00211330,Sheffield,PC6453,South East,Coastal
CUST00104871,London,PC4442,North East,Suburban
CUST00025472,Glasgow,PC7084,Scotland,Rural
CUST00243816,London,PC3289,North West,Coastal
CUST00097802,London,PC7672,South West,Urban
CUST00270736,Birmingham,PC3247,North West,Rural
CUST00120486,Glasgow,PC4429,London,Urban
CUST00038415,Birmingham,PC5291,Wales,Urban
CUST00072827,Newcastle,PC3971,South East,Urban
CUST00166612,Southampton,PC5645,South West,Coastal
CUST00266329,London,PC8938,South East,Coastal
CUST00165228,Manchester,PC7796,North West,Suburban
CUST00213696,Southampton,PC8670,South West,Urban
CUST00242229,Birmingham,PC6234,Scotland,Coastal
CUST00036112,Liverpool,PC1687,North East,Rural
CUST00195362,Sheffield,PC3485,North East,Coastal
CUST00062514,Birmingham,PC2587,Scotland,Coastal
CUST00243730,London,PC9513,Yorkshire,Rural
CUST00035881,Birmingham,PC4255,North East,Coastal
CUST00194926,Sheffield,PC6476,Scotland,Coastal
CUST00077265,Southampton,PC8256,North West,Coastal
CUST00108606,Liverpool,PC9464,South East,Coastal
CUST00133701,Newcastle,PC8652,South East,Rural
CUST00160572,Liverpool,PC2624,South West,Suburban
CUST00238491,Leeds,PC7912,Scotland,Coastal
CUST00104331,Bristol,PC8337,Midlands,Suburban
CUST00112868,London,PC4717,London,Coastal
CUST00103577,Glasgow,PC8857,Midlands,Coastal
CUST00208932,Birmingham,PC1216,North West,Urban
CUST00046515,Newcastle,PC7446,Scotland,Suburban
CUST00002336,Southampton,PC1833,Scotland,Coastal
CUST00011108,Glasgow,PC6041,South East,Suburban
CUST00033902,Glasgow,PC6881,North West,Coastal
CUST00043166,Newcastle,PC5670,South West,Urban
CUST00078670,Birmingham,PC4032,Wales,Rural
CUST00256009,Bristol,PC4288,South West,Rural
CUST00196119,Liverpool,PC1207,North West,Suburban
CUST00256225,Liverpool,PC7414,Yorkshire,Coastal
CUST00111465,Newcastle,PC6097,Yorkshire,Suburban
CUST00229407,Liverpool,PC6807,Wales,Coastal
CUST00229829,Birmingham,PC5625,London,Rural
CUST00091758,Liverpool,PC6728,North West,Rural
CUST00164960,Glasgow,PC6004,Midlands,Urban
CUST00244633,Southampton,PC9702,Scotland,Coastal
CUST00144590,London,PC8610,Yorkshire,Suburban
CUST00182289,Liverpool,PC4263,Scotland,Suburban
CUST00166915,Bristol,PC9188,Yorkshire,Coastal
CUST00014745,Birmingham,PC4200,South West,Urban
CUST00158571,Glasgow,PC6342,Scotland,Coastal
CUST00023595,Manchester,PC6016,Wales,Urban
CUST00031284,Birmingham,PC9824,South West,Urban
CUST00067850,Manchester,PC8676,Yorkshire,Coastal
CUST00029975,Leeds,PC7908,North West,Suburban
CUST00142811,Manchester,PC1403,Scotland,Rural
CUST00212307,Bristol,PC9204,Yorkshire,Rural
CUST00062361,Birmingham,PC2798,Midlands,Suburban
CUST00172987,Sheffield,PC9840,Yorkshire,Rural
CUST00165812,Birmingham,PC6232,South East,Rural
CUST00250069,Leeds,PC7985,Scotland,Coastal
CUST00121046,Glasgow,PC3949,North West,Coastal
CUST00271242,London,PC4918,South West,Coastal
CUST00251678,Leeds,PC2213,London,Coastal
CUST00035874,Glasgow,PC3899,North West,Rural
CUST00230381,Sheffield,PC9822,South East,Urban
CUST00064940,Manchester,PC1202,North West,Urban
CUST00138874,Bristol,PC4270,South West,Urban
CUST00225765,Manchester,PC3210,Yorkshire,Coastal
CUST00238930,Glasgow,PC7001,North East,Suburban
CUST00160191,London,PC6420,Scotland,Coastal
CUST00134623,Sheffield,PC2982,North East,Rural
