pay_id,shift_date,productivity
ENG00001,2026-07-09,7.42
ENG00001,2026-07-10,4.33
ENG00001,2026-07-11,7.08
ENG00001,2026-07-12,5.91
ENG00001,2026-07-13,6.79
ENG00001,2026-07-14,7.68
ENG00001,2026-07-15,4.69
ENG00001,2026-07-16,6.6
ENG00001,2026-07-17,7.09
ENG00001,2026-07-18,6.97
ENG00001,2026-07-19,6.92
ENG00001,2026-07-20,6.93
ENG00001,2026-07-21,7.31
ENG00001,2026-07-22,7.35
ENG00001,2026-07-23,6.8
ENG00001,2026-07-24,6.63
ENG00001,2026-07-25,6.68
ENG00001,2026-07-26,4.02
ENG00001,2026-07-27,6.63
ENG00001,2026-07-28,6.66
ENG00001,2026-07-29,5.73
ENG00001,2026-07-30,4.7
ENG00001,2026-07-31,5.6
ENG00001,2026-08-01,4.94
ENG00001,2026-08-02,5.16
ENG00001,2026-08-03,5.17
ENG00001,2026-08-04,7.2
ENG00001,2026-08-05,7.03
ENG00002,2026-07-09,4.21
ENG00002,2026-07-10,4.65
ENG00002,2026-07-11,5.54
ENG00002,2026-07-12,6.84
ENG00002,2026-07-13,4.51
ENG00002,2026-07-14,7.61
ENG00002,2026-07-15,4.72
ENG00002,2026-07-16,4.63
ENG00002,2026-07-17,6.16
ENG00002,2026-07-18,7.58
ENG00002,2026-07-19,7.12
ENG00002,2026-07-20,7.22
ENG00002,2026-07-21,6.04
ENG00002,2026-07-22,4.79
ENG00002,2026-07-23,7.1
ENG00002,2026-07-24,5.29
ENG00002,2026-07-25,4.05
ENG00002,2026-07-26,7.98
ENG00002,2026-07-27,5.94
ENG00002,2026-07-28,7.59
ENG00002,2026-07-29,5.02
ENG00002,2026-07-30,6.98
ENG00002,2026-07-31,7.48
ENG00002,2026-08-01,4.65
ENG00002,2026-08-02,5.99
ENG00002,2026-08-03,6.75
ENG00002,2026-08-04,7.72
ENG00002,2026-08-05,6.6
ENG00003,2026-07-09,7.85
ENG00003,2026-07-10,7.55
ENG00003,2026-07-11,5.61
ENG00003,2026-07-12,5.58
ENG00003,2026-07-13,7.73
ENG00003,2026-07-14,6.83
ENG00003,2026-07-15,7.32
ENG00003,2026-07-16,6.92
ENG00003,2026-07-17,5.88
ENG00003,2026-07-18,4.85
ENG00003,2026-07-19,4.72
ENG00003,2026-07-20,7.49
ENG00003,2026-07-21,6.85
ENG00003,2026-07-22,7.01
ENG00003,2026-07-23,6.01
ENG00003,2026-07-24,6.9
