pay_id,direct_labour_or_contractor,training_result,proficiency,multi_skill_or_single_skill,primary_skill,secondary_skill
ENG00001,Direct Labour,Pass,Beginner,Multi Skill,Repair,Service
ENG00002,Contractor,Distinction,Expert,Single Skill,Repair,Service
ENG00003,Direct Labour,Pass,Beginner,Single Skill,Installation,Repair
ENG00004,Contractor,Merit,Intermediate,Multi Skill,Service,Service
ENG00005,Direct Labour,Pass,Expert,Single Skill,Service,Installation
ENG00006,Direct Labour,Pass,Intermediate,Multi Skill,Service,Service
ENG00007,Direct Labour,Distinction,Intermediate,Single Skill,Service,None
ENG00008,Direct Labour,Distinction,Intermediate,Multi Skill,Service,Installation
ENG00009,Direct Labour,Merit,Beginner,Multi Skill,Repair,None
ENG00010,Direct Labour,Pass,Expert,Multi Skill,Repair,Service
ENG00011,Direct Labour,Distinction,Expert,Single Skill,Repair,Repair
ENG00012,Direct Labour,Pass,Beginner,Single Skill,Installation,Installation
ENG00013,Direct Labour,Pass,Expert,Multi Skill,Repair,None
ENG00014,Direct Labour,Distinction,Expert,Single Skill,Service,Service
ENG00015,Direct Labour,Pass,Expert,Single Skill,Service,Service
ENG00016,Contractor,Distinction,Beginner,Single Skill,Repair,Service
ENG00017,Contractor,Pass,Beginner,Single Skill,Installation,Repair
ENG00018,Direct Labour,Distinction,Expert,Single Skill,Repair,None
ENG00019,Direct Labour,Merit,Expert,Single Skill,Service,Installation
ENG00020,Direct Labour,Pass,Intermediate,Multi Skill,Service,Repair
ENG00021,Contractor,Distinction,Beginner,Single Skill,Repair,Installation
ENG00022,Direct Labour,Distinction,Expert,Single Skill,Installation,None
ENG00023,Direct Labour,Pass,Beginner,Multi Skill,Installation,Repair
ENG00024,Contractor,Pass,Beginner,Multi Skill,Installation,None
ENG00025,Contractor,Pass,Expert,Multi Skill,Repair,Installation
ENG00026,Contractor,Merit,Beginner,Single Skill,Service,None
ENG00027,Contractor,Distinction,Intermediate,Multi Skill,Repair,Repair
ENG00028,Direct Labour,Distinction,Beginner,Single Skill,Installation,Repair
ENG00029,Direct Labour,Merit,Beginner,Single Skill,Service,Service
ENG00030,Direct Labour,Distinction,Intermediate,Single Skill,Installation,Installation
ENG00031,Contractor,Distinction,Beginner,Multi Skill,Installation,Installation
ENG00032,Direct Labour,Pass,Expert,Multi Skill,Service,Installation
ENG00033,Contractor,Pass,Expert,Single Skill,Service,None
ENG00034,Contractor,Merit,Beginner,Single Skill,Installation,Repair
ENG00035,Direct Labour,Merit,Beginner,Single Skill,Repair,None
ENG00036,Direct Labour,Distinction,Intermediate,Single Skill,Installation,Service
ENG00037,Contractor,Pass,Beginner,Multi Skill,Service,Installation
ENG00038,Contractor,Distinction,Expert,Multi Skill,Repair,Installation
ENG00039,Direct Labour,Distinction,Intermediate,Multi Skill,Repair,Installation
ENG00040,Contractor,Distinction,Intermediate,Single Skill,Repair,None
ENG00041,Contractor,Pass,Expert,Single Skill,Service,Installation
ENG00042,Direct Labour,Pass,Intermediate,Multi Skill,Service,Repair
ENG00043,Contractor,Distinction,Intermediate,Single Skill,Installation,None
ENG00044,Direct Labour,Pass,Intermediate,Single Skill,Repair,Service
ENG00045,Contractor,Pass,Beginner,Multi Skill,Service,Service
ENG00046,Direct Labour,Distinction,Intermediate,Multi Skill,Repair,Repair
ENG00047,Direct Labour,Pass,Beginner,Single Skill,Repair,Repair
ENG00048,Direct Labour,Distinction,Beginner,Multi Skill,Installation,Installation
ENG00049,Contractor,Merit,Beginner,Multi Skill,Service,Repair
ENG00050,Direct Labour,Pass,Beginner,Single Skill,Service,Installation
ENG00051,Contractor,Merit,Beginner,Single Skill,Repair,Installation
ENG00052,Contractor,Distinction,Beginner,Single Skill,Repair,Repair
ENG00053,Contractor,Pass,Expert,Multi Skill,Repair,Repair
ENG00054,Direct Labour,Distinction,Beginner,Single Skill,Installation,Repair
ENG00055,Direct Labour,Distinction,Expert,Multi Skill,Service,Service
ENG00056,Direct Labour,Distinction,Expert,Single Skill,Service,Service
ENG00057,Contractor,Merit,Expert,Single Skill,Service,Installation
ENG00058,Contractor,Pass,Intermediate,Single Skill,Repair,Service
ENG00059,Direct Labour,Pass,Intermediate,Single Skill,Service,Installation
ENG00060,Direct Labour,Pass,Beginner,Multi Skill,Repair,Repair
ENG00061,Direct Labour,Distinction,Expert,Single Skill,Installation,None
