pincode,customer_id,epc_rating,current_energy_efficiency,potential_energy_efficiency
PC5887,CUST00074568,B,87,97
PC4773,CUST00207376,B,35,88
PC7281,CUST00119135,G,54,72
PC4592,CUST00071189,D,77,80
PC7775,CUST00005180,F,72,62
PC9710,CUST00106464,E,63,59
PC7714,CUST00088514,E,10,56
PC3596,CUST00133673,C,11,99
PC2747,CUST00073718,B,94,62
PC4493,CUST00264946,B,25,95
PC6082,CUST00187124,B,24,83
PC8511,CUST00152385,C,55,79
PC7721,CUST00046830,G,49,95
PC3973,CUST00175341,E,53,84
PC7215,CUST00122313,D,95,83
PC8032,CUST00137270,B,87,71
PC6567,CUST00159925,D,97,91
PC4960,CUST00270497,F,42,60
PC5147,CUST00006242,F,67,84
PC5074,CUST00047291,C,54,88
PC1084,CUST00010331,B,2,91
PC2194,CUST00144186,C,21,83
PC7006,CUST00131570,D,81,64
PC9029,CUST00243840,B,3,81
PC7757,CUST00184224,A,84,79
PC8257,CUST00119378,C,70,58
PC2833,CUST00150680,B,45,57
PC9503,CUST00267978,G,66,84
PC4527,CUST00135801,C,31,77
PC1634,CUST00208420,B,6,54
PC1516,CUST00147651,B,33,98
PC7261,CUST00240324,A,56,67
PC2216,CUST00268781,G,80,70
PC3170,CUST00263968,C,58,95
PC1939,CUST00058090,D,95,83
PC4806,CUST00272013,C,87,78
PC2249,CUST00204303,E,50,83
PC7338,CUST00266702,A,33,95
PC9806,CUST00013056,B,65,78
PC2915,CUST00029407,F,85,98
PC2555,CUST00168085,B,79,78
PC4250,CUST00049931,F,50,66
PC7065,CUST00217077,F,42,89
PC2429,CUST00139199,F,82,58
PC3399,CUST00224764,C,82,80
PC9604,CUST00157169,B,20,86
PC4718,CUST00047750,G,26,65
PC7105,CUST00069680,B,60,80
PC4426,CUST00210613,C,51,96
PC4587,CUST00160546,B,84,73
PC1890,CUST00263283,B,13,97
PC1383,CUST00181349,A,1,93
PC8149,CUST00248342,A,39,51
PC4994,CUST00006418,G,15,82
PC8000,CUST00007093,A,96,79
PC6485,CUST00013541,G,18,59
PC5382,CUST00019109,A,95,79
PC1232,CUST00079492,D,67,94
PC1903,CUST00203356,F,31,98
PC9442,CUST00202939,B,46,61
PC5047,CUST00191543,F,63,64
PC6997,CUST00224193,E,8,55
PC3319,CUST00183240,G,39,78
PC3371,CUST00242486,G,22,94
PC5621,CUST00148054,C,18,99
PC4442,CUST00089305,D,98,54
PC1757,CUST00204722,B,75,88
PC2592,CUST00146977,A,71,86
PC6418,CUST00060625,E,66,69
PC3548,CUST00019660,G,20,70
PC5563,CUST00190340,A,10,56
PC7792,CUST00140998,D,47,93
PC6393,CUST00135990,G,4,79
PC7876,CUST00080036,E,80,62
PC4324,CUST00143850,G,62,68
PC6944,CUST00237931,E,64,99
PC8581,CUST00263617,D,10,59
PC2751,CUST00121179,G,7,63
PC3653,CUST00237109,C,85,93
PC5914,CUST00143089,F,93,98
PC1178,CUST00028920,C,64,95
PC5665,CUST00189815,D,92,96
PC4836,CUST00000728,C,12,85
PC3202,CUST00072421,B,44,92
PC9442,CUST00248391,E,86,93
PC5842,CUST00253569,C,98,73
PC1000,CUST00098599,E,41,83
PC4803,CUST00136973,G,73,78
PC1223,CUST00101496,B,25,53
PC9947,CUST00031302,G,52,93
PC2500,CUST00182031,G,52,56
PC5916,CUST00164556,C,43,60
PC9464,CUST00223205,C,28,60
PC5669,CUST00078441,C,44,96
PC8390,CUST00266084,G,44,76
PC1701,CUST00011634,A,35,59
PC8828,CUST00072006,G,86,74
PC8103,CUST00081755,F,33,51
PC8847,CUST00208227,B,66,70
PC3811,CUST00081752,F,91,63
PC8693,CUST00245086,A,30,63
PC6140,CUST00024129,E,3,90
PC2624,CUST00146557,E,96,59
PC9234,CUST00122703,E,9,51
PC3672,CUST00074659,F,80,70
PC5214,CUST00048081,F,81,69
PC1984,CUST00132279,B,3,97
PC8407,CUST00004276,G,21,61
PC9313,CUST00083150,C,88,53
PC2514,CUST00228184,F,43,95
PC4157,CUST00127950,B,99,63
PC4456,CUST00042351,B,8,68
PC2122,CUST00050004,G,72,73
PC5291,CUST00239741,C,68,72
PC3284,CUST00249289,E,94,52
PC6285,CUST00052191,A,17,51
PC8708,CUST00035568,B,99,85
PC1359,CUST00018814,G,80,95
PC8469,CUST00110949,G,28,66
PC7346,CUST00000833,C,61,54
PC4850,CUST00220251,D,30,67
PC1195,CUST00038462,B,99,95
PC1499,CUST00124457,B,20,65
PC5009,CUST00270885,F,71,67
PC6857,CUST00105624,B,48,89
PC2170,CUST00232229,B,62,81
PC5790,CUST00043842,F,16,83
PC5110,CUST00122934,F,95,78
PC5013,CUST00122259,F,10,90
PC5554,CUST00266364,A,41,98
PC2748,CUST00253018,G,8,75
PC3438,CUST00025904,A,27,88
PC1157,CUST00109652,F,96,56
PC8949,CUST00027310,B,1,86
PC2565,CUST00222395,F,63,88
PC2434,CUST00268628,B,50,55
PC6058,CUST00072606,A,52,55
PC8715,CUST00136784,G,56,83
PC7862,CUST00076374,G,26,69
PC1988,CUST00189287,G,82,89
PC1524,CUST00107207,E,19,94
PC4423,CUST00069676,C,93,89
PC4335,CUST00043937,A,80,72
PC2188,CUST00148075,A,78,81
PC6453,CUST00211330,C,24,72
PC4442,CUST00104871,C,60,50
PC7084,CUST00025472,B,21,72
PC3289,CUST00243816,B,87,84
PC7672,CUST00097802,G,96,73
PC3247,CUST00270736,G,92,84
PC4429,CUST00120486,B,20,52
PC5291,CUST00038415,A,94,91
PC3971,CUST00072827,D,35,89
PC5645,CUST00166612,D,71,79
PC8938,CUST00266329,A,89,75
PC7796,CUST00165228,G,41,62
PC8670,CUST00213696,D,52,81
PC6234,CUST00242229,G,13,64
PC1687,CUST00036112,B,77,52
PC3485,CUST00195362,E,27,62
PC2587,CUST00062514,B,91,77
PC9513,CUST00243730,C,76,65
PC4255,CUST00035881,D,91,85
PC6476,CUST00194926,C,56,93
PC8256,CUST00077265,F,9,70
PC9464,CUST00108606,B,96,79
PC8652,CUST00133701,F,59,89
PC2624,CUST00160572,F,31,87
PC7912,CUST00238491,E,70,73
PC8337,CUST00104331,F,20,73
PC4717,CUST00112868,D,61,82
PC8857,CUST00103577,D,3,77
PC1216,CUST00208932,E,65,97
PC7446,CUST00046515,E,6,87
PC1833,CUST00002336,G,75,52
PC6041,CUST00011108,A,67,91
PC6881,CUST00033902,B,72,85
PC5670,CUST00043166,G,29,71
PC4032,CUST00078670,D,12,81
PC4288,CUST00256009,A,47,72
PC1207,CUST00196119,B,25,63
PC7414,CUST00256225,G,61,58
PC6097,CUST00111465,C,85,72
PC6807,CUST00229407,B,6,53
PC5625,CUST00229829,A,13,87
PC6728,CUST00091758,G,79,95
PC6004,CUST00164960,C,77,76
PC9702,CUST00244633,F,27,59
PC8610,CUST00144590,C,15,76
PC4263,CUST00182289,B,31,50
PC9188,CUST00166915,A,9,71
PC4200,CUST00014745,F,8,96
PC6342,CUST00158571,G,9,96
PC6016,CUST00023595,E,28,77
PC9824,CUST00031284,E,56,99
PC8676,CUST00067850,G,30,99
PC7908,CUST00029975,F,30,89
PC1403,CUST00142811,F,53,54
PC9204,CUST00212307,E,54,93
PC2798,CUST00062361,A,87,50
PC9840,CUST00172987,G,25,98
PC6232,CUST00165812,A,30,70
PC7985,CUST00250069,E,45,68
PC3949,CUST00121046,D,84,99
PC4918,CUST00271242,E,41,92
PC2213,CUST00251678,F,37,51
PC3899,CUST00035874,E,27,57
PC9822,CUST00230381,D,3,95
PC1202,CUST00064940,G,88,64
PC4270,CUST00138874,B,70,95
PC3210,CUST00225765,G,81,70
PC7001,CUST00238930,C,27,82
PC6420,CUST00160191,A,53,56
PC2982,CUST00134623,D,57,82
PC7452,CUST00215812,E,18,84
PC4880,CUST00051862,A,59,92
PC3174,CUST00013062,E,7,68
PC8128,CUST00262664,C,53,87
PC6286,CUST00025064,A,6,71
PC4207,CUST00013085,E,40,57
PC3675,CUST00042452,C,7,61
PC3089,CUST00048824,A,37,89
PC5300,CUST00171406,E,22,86
PC1789,CUST00072023,G,2,59
PC1863,CUST00025786,G,21,72
PC7373,CUST00034672,F,8,87
PC4017,CUST00145717,F,2,75
PC4538,CUST00125750,G,41,80
PC2902,CUST00118651,B,20,65
PC6251,CUST00045541,G,70,61
PC4893,CUST00219056,E,15,61
PC8232,CUST00016714,E,19,74
PC5549,CUST00127058,B,83,96
PC1606,CUST00255942,B,3,96
PC4108,CUST00033992,C,76,60
PC2204,CUST00050147,B,9,99
PC9022,CUST00176498,F,52,50
PC9240,CUST00213967,B,5,80
PC5168,CUST00187998,D,11,51
PC1283,CUST00162225,D,43,67
PC6623,CUST00265574,G,20,70
PC6100,CUST00146936,B,87,64
PC2846,CUST00163709,D,69,60
PC1989,CUST00229717,D,96,99
PC4572,CUST00002998,D,83,78
PC2344,CUST00178609,D,83,70
PC5209,CUST00164525,F,25,92
PC1981,CUST00005826,B,56,65
PC9412,CUST00204400,B,45,79
PC1908,CUST00235982,F,12,87
PC6686,CUST00254772,E,75,59
PC5156,CUST00153850,C,71,57
PC8841,CUST00234794,E,78,91
PC4742,CUST00257865,B,74,69
PC2097,CUST00260578,A,33,87
PC5903,CUST00232581,B,45,85
PC9265,CUST00057022,B,20,66
PC8020,CUST00102079,D,92,96
PC4285,CUST00253915,A,97,58
PC6327,CUST00123279,A,25,72
PC4125,CUST00229007,B,26,59
PC8952,CUST00222170,A,6,87
PC9405,CUST00029802,G,69,86
PC4235,CUST00082691,B,85,50
PC7598,CUST00129488,B,74,51
PC2893,CUST00242058,A,40,80
PC5913,CUST00032063,B,84,88
PC9107,CUST00197211,C,83,96
PC5095,CUST00038904,A,90,54
PC9423,CUST00097096,D,86,66
PC8981,CUST00033342,A,36,80
PC5153,CUST00017465,E,19,58
PC8789,CUST00248664,G,17,78
PC5297,CUST00207798,G,39,67
PC1343,CUST00113735,A,74,78
PC1068,CUST00138885,B,5,88
PC6755,CUST00080009,G,91,58
PC3330,CUST00071614,A,90,50
PC4909,CUST00068365,D,71,91
PC8884,CUST00110130,F,23,93
PC5086,CUST00201169,D,49,78
PC9834,CUST00135950,A,27,90
PC7000,CUST00041259,F,83,72
PC8169,CUST00032874,C,10,92
PC5731,CUST00242581,E,22,58
PC5468,CUST00128527,C,47,75
PC7148,CUST00160089,A,21,99
PC3448,CUST00012531,D,25,85
PC4007,CUST00085990,B,78,90
PC7171,CUST00146584,A,25,82
PC2706,CUST00074011,E,92,89
PC6997,CUST00146081,B,98,84
PC9184,CUST00070049,B,47,94
PC6194,CUST00211239,F,70,57
PC2985,CUST00043439,D,32,87
PC2729,CUST00090879,E,27,80
PC1679,CUST00202752,D,97,89
PC2226,CUST00048855,C,71,82
PC2650,CUST00210109,F,71,87
PC5011,CUST00174526,G,4,74
PC6198,CUST00126816,F,50,51
PC3332,CUST00105093,C,36,81
PC9629,CUST00231868,B,98,57
PC2950,CUST00125911,E,88,61
PC9529,CUST00251621,A,99,70
PC4598,CUST00258477,G,55,99
PC9410,CUST00261965,E,93,67
PC1547,CUST00231656,B,71,73
PC6234,CUST00064413,E,69,83
PC7300,CUST00174325,F,30,51
PC3649,CUST00136028,C,33,85
PC7117,CUST00029520,B,6,50
PC1863,CUST00192526,C,65,61
PC7721,CUST00133199,G,37,78
PC8211,CUST00193053,B,16,60
PC1100,CUST00230337,G,84,66
PC5991,CUST00009159,G,86,86
PC8983,CUST00149063,E,54,82
PC8694,CUST00029736,D,33,86
PC3736,CUST00253432,B,78,99
PC7643,CUST00035633,G,81,75
PC5697,CUST00208862,E,6,81
PC8945,CUST00026509,D,73,55
PC3767,CUST00260371,G,84,81
PC6648,CUST00007760,A,76,69
PC9838,CUST00130426,E,12,71
PC6750,CUST00217880,E,79,84
PC4494,CUST00004969,A,81,88
PC8833,CUST00055780,A,31,66
PC8040,CUST00141922,F,15,72
PC2300,CUST00012429,G,59,81
PC2913,CUST00004049,F,83,68
PC4737,CUST00226594,E,77,84
PC9084,CUST00091276,E,87,85
PC2985,CUST00195127,F,6,81
PC1429,CUST00195162,E,85,84
PC1720,CUST00021673,E,17,59
PC8013,CUST00008582,D,79,97
PC4207,CUST00175739,E,54,87
PC4750,CUST00072636,A,13,52
PC3627,CUST00216399,D,21,77
PC6385,CUST00234684,E,32,60
PC7980,CUST00089032,F,43,87
PC7336,CUST00030079,A,64,67
PC2667,CUST00212791,C,36,83
PC3268,CUST00062041,D,75,68
PC1213,CUST00209132,C,60,58
PC8457,CUST00248791,E,31,69
PC1013,CUST00026291,F,79,95
PC8192,CUST00140614,B,45,72
PC5759,CUST00151660,D,93,88
PC8952,CUST00058540,F,92,97
PC5764,CUST00091930,A,41,95
PC4946,CUST00105147,G,8,95
PC1213,CUST00177199,A,46,71
PC1703,CUST00189937,D,1,88
PC7031,CUST00162770,C,11,58
PC2153,CUST00062262,C,34,93
PC3164,CUST00047615,E,4,68
PC2810,CUST00226460,F,70,84
PC8833,CUST00069432,F,23,68
PC5605,CUST00268105,F,36,88
PC2657,CUST00174809,F,26,50
PC8274,CUST00029899,A,42,93
PC7803,CUST00137125,C,8,75
PC8759,CUST00200835,E,93,92
PC6922,CUST00204241,C,28,61
PC9196,CUST00093872,E,46,91
PC4959,CUST00151646,F,4,71
PC6169,CUST00206854,G,90,71
PC7210,CUST00061564,B,27,54
PC9531,CUST00093730,D,78,57
PC8384,CUST00090946,A,39,51
PC1297,CUST00117893,B,5,76
PC8632,CUST00250529,F,42,63
PC9970,CUST00134814,F,46,55
PC7400,CUST00088065,G,10,87
PC4532,CUST00043405,C,72,52
PC5840,CUST00122282,A,64,65
PC6010,CUST00094801,G,74,72
PC5011,CUST00121973,F,71,61
PC2384,CUST00039411,C,52,63
PC4192,CUST00267440,B,70,81
PC9140,CUST00076725,E,70,80
PC9728,CUST00098669,B,63,87
PC9713,CUST00066364,B,67,70
PC6651,CUST00198897,D,40,72
PC9754,CUST00048532,D,15,93
PC1800,CUST00161184,B,75,88
PC1473,CUST00146951,E,60,69
PC7062,CUST00199649,B,64,97
PC3660,CUST00235578,G,88,89
PC6602,CUST00240087,G,37,88
PC1660,CUST00205627,G,46,57
PC3256,CUST00197532,A,54,82
PC7639,CUST00171844,A,21,65
PC5933,CUST00109228,C,4,82
PC5846,CUST00137553,D,98,58
PC8468,CUST00212468,D,35,80
PC9581,CUST00044043,D,79,83
PC1504,CUST00116559,F,13,52
PC1460,CUST00227724,B,13,62
PC9703,CUST00113276,G,88,85
PC8420,CUST00201618,D,63,70
PC4627,CUST00028589,E,12,59
PC6771,CUST00190162,G,56,51
PC7681,CUST00010880,F,7,94
PC1805,CUST00068432,C,16,76
PC6876,CUST00144933,C,58,88
PC1003,CUST00184504,C,54,81
PC7148,CUST00194139,B,26,90
PC6691,CUST00212517,B,63,67
PC9583,CUST00220054,C,50,98
PC1771,CUST00162207,E,66,92
PC6332,CUST00041461,B,7,86
PC5954,CUST00237975,A,44,95
PC4546,CUST00061523,A,60,68
PC5956,CUST00016545,G,22,85
PC7282,CUST00089476,A,79,70
PC9298,CUST00022820,B,35,62
PC4350,CUST00124212,G,15,67
PC4430,CUST00135915,D,99,57
PC1572,CUST00016582,A,54,51
PC7276,CUST00150810,B,91,80
PC5848,CUST00032158,E,95,91
PC6001,CUST00269435,D,1,58
PC6233,CUST00062857,C,90,57
PC8469,CUST00215687,E,7,94
PC6054,CUST00015515,E,95,82
PC5182,CUST00092687,F,34,69
PC8359,CUST00134418,D,97,62
PC3029,CUST00229451,G,58,74
PC5878,CUST00257397,D,66,70
PC2620,CUST00117797,E,47,54
PC1496,CUST00010787,E,13,94
PC5495,CUST00261001,B,89,68
PC4686,CUST00260922,B,58,84
PC1252,CUST00059368,C,58,94
PC2836,CUST00082216,B,47,60
PC7954,CUST00087497,E,21,56
PC1922,CUST00151037,C,38,82
