location,part_category,manufacturer,part_type,in_stock,recycled
Central Hub,Boiler Parts,Worcester Bosch,Part_F0,163,No
Van 1,Boiler Parts,Viessmann,Part_F0,484,Yes
Van 2,Boiler Parts,Vaillant,Part_F0,252,No
Van 3,Boiler Parts,Worcester Bosch,Part_F0,280,Yes
North Depot,Boiler Parts,Viessmann,Part_F0,230,Yes
Central Hub,Boiler Parts,Baxi,Part_Y1,478,No
Van 1,Boiler Parts,Vaillant,Part_Y1,250,Yes
Van 2,Boiler Parts,Vaillant,Part_Y1,180,Yes
Van 3,Boiler Parts,Ideal,Part_Y1,84,No
North Depot,Boiler Parts,Baxi,Part_Y1,460,Yes
Central Hub,Boiler Parts,Vaillant,Part_U2,419,No
Van 1,Boiler Parts,Worcester Bosch,Part_U2,268,No
Van 2,Boiler Parts,Worcester Bosch,Part_U2,99,No
Van 3,Boiler Parts,Glow-worm,Part_U2,246,Yes
North Depot,Boiler Parts,Vaillant,Part_U2,285,No
Central Hub,Boiler Parts,Baxi,Part_L3,214,Yes
Van 1,Boiler Parts,Glow-worm,Part_L3,123,Yes
Van 2,Boiler Parts,Worcester Bosch,Part_L3,174,No
Van 3,Boiler Parts,Vaillant,Part_L3,76,Yes
North Depot,Boiler Parts,Vaillant,Part_L3,49,Yes
Central Hub,Boiler Parts,Ideal,Part_P4,100,Yes
Van 1,Boiler Parts,Baxi,Part_P4,226,Yes
Van 2,Boiler Parts,Baxi,Part_P4,200,Yes
Van 3,Boiler Parts,Worcester Bosch,Part_P4,166,No
North Depot,Boiler Parts,Baxi,Part_P4,478,No
Central Hub,Boiler Parts,Glow-worm,Part_H5,138,No
Van 1,Boiler Parts,Viessmann,Part_H5,285,Yes
Van 2,Boiler Parts,Ideal,Part_H5,343,No
Van 3,Boiler Parts,Viessmann,Part_H5,369,Yes
North Depot,Boiler Parts,Viessmann,Part_H5,452,No
Central Hub,Boiler Parts,Baxi,Part_X6,225,Yes
Van 1,Boiler Parts,Worcester Bosch,Part_X6,23,Yes
Van 2,Boiler Parts,Viessmann,Part_X6,380,No
Van 3,Boiler Parts,Glow-worm,Part_X6,369,No
North Depot,Boiler Parts,Vaillant,Part_X6,455,No
Central Hub,Boiler Parts,Worcester Bosch,Part_Y7,66,No
Van 1,Boiler Parts,Worcester Bosch,Part_Y7,500,Yes
Van 2,Boiler Parts,Glow-worm,Part_Y7,345,Yes
Van 3,Boiler Parts,Ideal,Part_Y7,196,Yes
North Depot,Boiler Parts,Baxi,Part_Y7,136,No
Central Hub,Boiler Parts,Viessmann,Part_F8,482,Yes
Van 1,Boiler Parts,Glow-worm,Part_F8,252,Yes
Van 2,Boiler Parts,Baxi,Part_F8,134,Yes
Van 3,Boiler Parts,Worcester Bosch,Part_F8,436,Yes
North Depot,Boiler Parts,Baxi,Part_F8,211,Yes
Central Hub,Boiler Parts,Baxi,Part_R9,213,No
Van 1,Boiler Parts,Viessmann,Part_R9,260,Yes
Van 2,Boiler Parts,Baxi,Part_R9,401,No
Van 3,Boiler Parts,Worcester Bosch,Part_R9,54,No
North Depot,Boiler Parts,Viessmann,Part_R9,319,Yes
Central Hub,Boiler Parts,Baxi,Part_M10,343,No
Van 1,Boiler Parts,Baxi,Part_M10,368,Yes
Van 2,Boiler Parts,Ideal,Part_M10,407,Yes
Van 3,Boiler Parts,Vaillant,Part_M10,431,Yes
North Depot,Boiler Parts,Glow-worm,Part_M10,497,No
Central Hub,Boiler Parts,Viessmann,Part_Q11,44,Yes
Van 1,Boiler Parts,Ideal,Part_Q11,492,Yes
Van 2,Boiler Parts,Viessmann,Part_Q11,99,Yes
Van 3,Boiler Parts,Vaillant,Part_Q11,451,No
North Depot,Boiler Parts,Ideal,Part_Q11,365,Yes
Central Hub,Boiler Parts,Vaillant,Part_C12,135,No
Van 1,Boiler Parts,Viessmann,Part_C12,435,No
Van 2,Boiler Parts,Glow-worm,Part_C12,381,Yes
Van 3,Boiler Parts,Glow-worm,Part_C12,338,No
North Depot,Boiler Parts,Vaillant,Part_C12,415,No
Central Hub,Boiler Parts,Viessmann,Part_A13,415,Yes
Van 1,Boiler Parts,Baxi,Part_A13,96,Yes
Van 2,Boiler Parts,Viessmann,Part_A13,406,Yes
Van 3,Boiler Parts,Vaillant,Part_A13,144,No
North Depot,Boiler Parts,Vaillant,Part_A13,494,No
Central Hub,Boiler Parts,Vaillant,Part_C14,39,Yes
Van 1,Boiler Parts,Vaillant,Part_C14,455,Yes
Van 2,Boiler Parts,Vaillant,Part_C14,174,Yes
Van 3,Boiler Parts,Vaillant,Part_C14,109,No
North Depot,Boiler Parts,Baxi,Part_C14,208,Yes
Central Hub,Boiler Parts,Vaillant,Part_Q15,40,No
Van 1,Boiler Parts,Viessmann,Part_Q15,154,No
Van 2,Boiler Parts,Worcester Bosch,Part_Q15,175,Yes
Van 3,Boiler Parts,Vaillant,Part_Q15,380,No
North Depot,Boiler Parts,Vaillant,Part_Q15,219,No
Central Hub,Boiler Parts,Ideal,Part_R16,208,Yes
Van 1,Boiler Parts,Baxi,Part_R16,36,No
Van 2,Boiler Parts,Vaillant,Part_R16,494,Yes
Van 3,Boiler Parts,Viessmann,Part_R16,338,Yes
North Depot,Boiler Parts,Glow-worm,Part_R16,57,No
Central Hub,Boiler Parts,Baxi,Part_Z17,212,No
Van 1,Boiler Parts,Vaillant,Part_Z17,426,Yes
Van 2,Boiler Parts,Vaillant,Part_Z17,331,No
Van 3,Boiler Parts,Ideal,Part_Z17,69,Yes
North Depot,Boiler Parts,Vaillant,Part_Z17,283,No
Central Hub,Boiler Parts,Viessmann,Part_D18,178,No
Van 1,Boiler Parts,Baxi,Part_D18,194,Yes
Van 2,Boiler Parts,Glow-worm,Part_D18,422,Yes
Van 3,Boiler Parts,Vaillant,Part_D18,343,Yes
North Depot,Boiler Parts,Baxi,Part_D18,190,No
Central Hub,Boiler Parts,Vaillant,Part_N19,392,No
Van 1,Boiler Parts,Vaillant,Part_N19,272,Yes
Van 2,Boiler Parts,Viessmann,Part_N19,20,No
Van 3,Boiler Parts,Viessmann,Part_N19,80,No
North Depot,Boiler Parts,Ideal,Part_N19,156,Yes
