customer_id,property_type,number_of_floors,rooms,have_gas_pipeline,external_or_internal_electricity_source,property_built_date
CUST00074568,Terraced,3,4,No,Company Provided,2003-01-16
CUST00207376,Terraced,1,7,No,Grid + Solar,2013-06-17
CUST00119135,Semi-Detached,3,7,No,Company Provided,2011-12-03
CUST00071189,Semi-Detached,1,7,Yes,Company Provided,2013-10-02
CUST00005180,Terraced,3,3,Yes,Company Provided,1997-12-17
CUST00106464,Bungalow,2,2,Yes,Company Provided,1989-09-29
CUST00088514,Terraced,1,4,Yes,Company Provided,2004-04-21
CUST00133673,Detached,2,7,No,Company Provided,1981-08-09
CUST00073718,Flat,1,5,Yes,Company Provided,1981-08-11
CUST00264946,Bungalow,1,4,No,Grid + Solar,1972-08-04
CUST00187124,Flat,1,4,No,Grid + Solar,2015-04-01
CUST00152385,Bungalow,2,3,No,Grid + Solar,1998-03-17
CUST00046830,Detached,2,3,No,Solar,2006-12-01
CUST00175341,Bungalow,3,3,No,Company Provided,2000-12-14
CUST00122313,Terraced,1,3,No,Company Provided,1978-01-26
CUST00137270,Flat,1,3,Yes,Company Provided,2012-05-03
CUST00159925,Bungalow,2,6,Yes,Solar,1994-03-13
CUST00270497,Detached,2,3,Yes,Grid + Solar,1984-10-29
CUST00006242,Detached,3,5,No,Solar,2006-03-02
CUST00047291,Flat,3,4,No,Company Provided,1982-09-04
CUST00010331,Detached,1,6,Yes,Solar,2006-07-12
CUST00144186,Semi-Detached,3,7,Yes,Grid + Solar,1997-09-27
CUST00131570,Detached,1,4,No,Company Provided,2012-12-10
CUST00243840,Flat,2,4,Yes,Grid + Solar,1992-11-22
CUST00184224,Terraced,1,2,Yes,Solar,1998-05-17
CUST00119378,Terraced,3,6,Yes,Company Provided,2005-08-21
CUST00150680,Detached,2,5,No,Grid + Solar,2018-10-01
CUST00267978,Bungalow,1,3,Yes,Grid + Solar,2011-12-31
CUST00135801,Detached,2,7,Yes,Solar,1997-10-15
CUST00208420,Terraced,2,2,Yes,Solar,2000-06-02
CUST00147651,Semi-Detached,3,7,Yes,Company Provided,2010-04-01
CUST00240324,Terraced,3,7,Yes,Grid + Solar,1991-10-02
CUST00268781,Semi-Detached,3,7,No,Company Provided,1990-07-15
CUST00263968,Semi-Detached,1,4,Yes,Company Provided,1997-12-18
CUST00058090,Terraced,3,2,Yes,Grid + Solar,1988-12-24
CUST00272013,Flat,1,4,No,Grid + Solar,1991-09-12
CUST00204303,Detached,1,7,Yes,Solar,2009-04-24
CUST00266702,Detached,1,7,Yes,Company Provided,2018-05-18
CUST00013056,Semi-Detached,2,3,Yes,Grid + Solar,2018-05-13
CUST00029407,Detached,1,6,No,Solar,1995-12-26
CUST00168085,Detached,1,3,No,Company Provided,2002-04-14
CUST00049931,Flat,3,2,No,Solar,1988-04-24
CUST00217077,Detached,3,5,Yes,Solar,1993-11-11
CUST00139199,Terraced,3,3,No,Grid + Solar,2011-10-31
CUST00224764,Flat,2,3,No,Grid + Solar,1984-08-09
CUST00157169,Bungalow,2,2,No,Grid + Solar,1999-07-31
CUST00047750,Detached,1,5,No,Grid + Solar,2014-03-04
CUST00069680,Terraced,1,4,Yes,Company Provided,1979-04-25
CUST00210613,Bungalow,2,7,No,Solar,1970-10-26
CUST00160546,Semi-Detached,3,7,Yes,Company Provided,2004-01-13
CUST00263283,Flat,3,3,Yes,Solar,1995-08-27
CUST00181349,Semi-Detached,1,7,No,Grid + Solar,1994-07-11
CUST00248342,Detached,2,2,Yes,Solar,1988-06-26
CUST00006418,Terraced,3,7,No,Grid + Solar,2018-12-27
CUST00007093,Terraced,3,5,Yes,Solar,2004-09-30
CUST00013541,Semi-Detached,1,6,No,Company Provided,2002-11-07
CUST00019109,Terraced,1,4,Yes,Solar,1978-02-25
CUST00079492,Bungalow,1,6,No,Grid + Solar,1970-05-16
CUST00203356,Flat,3,2,Yes,Grid + Solar,1985-06-12
CUST00202939,Flat,1,2,No,Solar,1986-07-08
CUST00191543,Semi-Detached,1,6,No,Grid + Solar,2010-09-07
CUST00224193,Detached,2,5,Yes,Solar,2013-11-25
CUST00183240,Bungalow,1,4,No,Company Provided,1987-01-29
CUST00242486,Detached,2,3,No,Solar,2013-05-26
CUST00148054,Terraced,2,6,No,Solar,1987-10-11
