lead_id,primary_quotation,secondary_quotation,final_quotation
LD00000001,2889.78,2220.67,1799.35
LD00000002,1784.85,1483.01,1481.88
LD00000003,1575.21,1819.83,2687.14
LD00000004,1602.78,1288.35,2606.55
LD00000005,2128.84,1958.77,2131.9
LD00000006,1898.42,1370.14,2303.7
LD00000007,1609.89,1477.1,1771.28
LD00000008,2157.28,1906.18,1823.52
LD00000009,2908.4,1374.58,1561.6
LD00000010,2407.24,2132.9,1685.04
LD00000011,2858.0,2299.93,1529.22
LD00000012,2656.68,2028.25,1766.74
LD00000013,1667.81,2428.57,2367.43
LD00000014,1691.17,1600.74,2658.57
LD00000015,2030.52,1927.85,2624.6
LD00000016,2822.12,1232.22,2431.19
LD00000017,1738.8,2111.66,1935.56
LD00000018,2024.49,2266.7,2619.85
LD00000019,1917.9,1290.25,2482.66
LD00000020,1673.01,2461.52,1649.99
LD00000021,2592.82,1607.78,2248.69
LD00000022,1566.58,1766.87,2127.89
LD00000023,2146.95,2433.54,2689.08
LD00000024,2500.34,1624.04,2376.09
LD00000025,2423.27,1591.23,2167.11
LD00000026,2197.48,1774.81,1699.18
LD00000027,2273.18,2022.82,1869.26
LD00000028,1536.64,1518.3,2065.19
LD00000029,2241.57,1517.18,2318.48
LD00000030,2706.16,2104.69,2050.37
LD00000031,2501.37,2484.26,2233.63
LD00000032,2845.81,2166.75,2064.54
LD00000033,2440.12,1556.98,1508.48
LD00000034,1707.56,1500.64,2371.53
LD00000035,2313.92,1740.51,1689.57
LD00000036,2215.47,2425.56,1818.06
LD00000037,1829.13,1766.59,1440.63
LD00000038,2879.31,2474.94,2147.77
LD00000039,2464.12,1376.41,2046.38
LD00000040,1990.27,2189.6,1930.78
LD00000041,2999.86,1654.95,2310.2
LD00000042,2432.0,1510.11,2062.99
LD00000043,1751.68,1989.42,2447.1
LD00000044,2893.33,1948.54,2671.24
LD00000045,1652.85,2204.23,2590.41
LD00000046,2299.12,2059.98,1496.54
LD00000047,2150.29,1670.84,2648.21
LD00000048,2423.87,2395.5,2484.5
LD00000049,2777.57,2279.95,1521.33
LD00000050,1543.05,2306.24,1654.58
LD00000051,2333.69,1871.62,1667.48
LD00000052,2468.85,1838.07,2510.11
LD00000053,2495.94,1679.73,2174.86
LD00000054,2554.28,1552.19,1751.97
LD00000055,1787.31,2160.19,1787.1
LD00000056,2748.94,1585.12,1905.23
LD00000057,1568.27,1270.88,1808.99
LD00000058,2204.1,1772.61,1658.11
LD00000059,2237.62,1950.13,2361.03
LD00000060,1677.68,2193.78,2248.84
LD00000061,1946.03,1965.08,2000.36
LD00000062,2438.27,1544.04,1513.66
LD00000063,2112.78,2096.18,2057.88
LD00000064,1606.77,1503.45,1770.38
LD00000065,2316.84,2041.93,2671.78
LD00000066,2158.73,1809.31,1825.73
LD00000067,1620.66,1251.82,2004.84
LD00000068,2942.87,2286.75,2205.28
LD00000069,2205.75,2046.96,2682.5
LD00000070,2205.02,1730.85,1849.48
LD00000071,1932.33,2428.75,2538.99
LD00000072,1984.91,2461.24,1965.85
LD00000073,1581.31,1873.97,2271.69
LD00000074,2323.83,2405.97,2013.36
LD00000075,1966.13,1217.78,1971.19
LD00000076,2247.56,2131.58,2112.42
LD00000077,2326.9,1698.66,2690.62
LD00000078,2009.81,2224.03,1774.04
LD00000079,2169.82,1829.64,1865.42
LD00000080,2357.7,1503.63,2485.76
LD00000081,2982.62,2230.11,2312.83
LD00000082,2811.29,1772.4,2136.33
LD00000083,1612.24,2215.98,1771.03
LD00000084,2778.51,2317.14,1932.01
LD00000085,1852.16,2089.72,1802.33
LD00000086,2165.52,2102.2,2664.79
LD00000087,2146.03,1517.46,1976.87
LD00000088,2414.24,1697.31,2356.39
LD00000089,2189.36,2066.89,2658.47
LD00000090,2162.59,1649.24,2222.6
LD00000091,1798.83,1700.1,2076.49
LD00000092,1532.91,2279.05,1954.13
LD00000093,2749.26,2373.82,2486.04
LD00000094,2516.65,2137.21,2322.85
LD00000095,2682.92,1243.37,1910.81
LD00000096,1801.19,2222.47,2627.04
LD00000097,2871.07,2427.44,2754.34
LD00000098,1711.14,2456.45,2604.2
LD00000099,2686.02,1218.09,2151.2
LD00000100,2733.63,2422.38,1551.68
LD00000101,2471.48,2026.03,2049.97
LD00000102,1568.02,1248.38,2794.3
LD00000103,2180.47,2071.63,2440.4
LD00000104,2482.38,2283.8,2261.91
LD00000105,2167.04,1506.95,1907.76
LD00000106,2097.21,1446.75,1571.02
LD00000107,2680.19,1516.64,1576.29
LD00000108,2719.58,1502.9,2484.12
LD00000109,2697.77,1342.9,2613.03
LD00000110,1761.37,1268.12,2438.41
LD00000111,2667.03,1867.21,1552.68
LD00000112,2465.01,1240.5,2798.02
LD00000113,1610.24,1305.03,2251.62
LD00000114,2991.94,1889.72,2035.2
LD00000115,2145.1,2354.52,1979.34
LD00000116,2140.15,2064.64,1924.02
LD00000117,1639.85,1325.53,2434.31
LD00000118,2116.21,2335.69,2717.58
LD00000119,2027.47,1951.29,1697.83
LD00000120,1672.33,1562.14,1716.62
LD00000121,1543.43,1555.25,2467.37
LD00000122,1604.38,2163.26,2760.53
LD00000123,2180.47,1404.63,1836.29
LD00000124,1733.37,2180.77,1469.67
LD00000125,2410.61,1738.44,1701.8
LD00000126,2517.33,1971.07,2137.71
LD00000127,1806.63,2428.92,2474.29
LD00000128,2620.52,1428.4,1932.29
LD00000129,2095.61,2164.65,2010.71
LD00000130,2564.25,1743.0,1561.24
LD00000131,1632.19,2297.83,1740.64
LD00000132,2618.71,1488.04,2490.77
LD00000133,2026.65,2445.69,2303.62
LD00000134,1760.25,1398.73,2462.81
LD00000135,2521.7,2346.66,2300.19
LD00000136,1602.43,1774.87,1823.95
LD00000137,2192.61,1248.89,1916.23
LD00000138,2370.49,2440.5,2434.49
LD00000139,2407.51,1851.78,2740.81
LD00000140,1558.71,2119.91,2787.38
LD00000141,2876.91,1703.64,2484.25
LD00000142,1994.54,1925.35,1941.19
LD00000143,1622.25,2062.7,2683.45
LD00000144,2392.56,2419.4,1833.41
LD00000145,2262.73,1223.7,1832.41
LD00000146,1732.42,1584.53,2503.37
LD00000147,2814.59,2003.44,2236.15
