date,region,job_type,detailed_category,number_of_jobs,jobs_hours
2026-07-09,London,Service,Annual Service,192,359
2026-07-10,London,Service,Boiler Breakdown,332,339
2026-07-11,London,Service,Leak,458,361
2026-07-12,London,Service,Leak,407,722
2026-07-13,London,Repair,Annual Service,447,330
2026-07-14,London,Repair,Annual Service,201,996
2026-07-15,London,Repair,Annual Service,477,932
2026-07-16,London,Repair,Leak,220,839
2026-07-17,London,Repair,Annual Service,444,560
2026-07-18,London,Repair,Leak,185,771
2026-07-19,London,Service,Boiler Breakdown,482,419
2026-07-20,London,Service,Annual Service,440,595
2026-07-21,London,Service,Boiler Breakdown,311,601
2026-07-22,London,Repair,Annual Service,216,742
2026-07-23,London,Service,Boiler Breakdown,186,439
2026-07-24,London,Service,Leak,363,226
2026-07-25,London,Service,Leak,182,812
2026-07-26,London,Service,Leak,186,700
2026-07-27,London,Repair,Boiler Breakdown,285,799
2026-07-28,London,Repair,Boiler Breakdown,400,460
2026-07-29,London,Repair,Leak,429,683
2026-07-30,London,Service,Leak,105,952
2026-07-31,London,Repair,Annual Service,253,674
2026-08-01,London,Service,Boiler Breakdown,350,982
2026-08-02,London,Service,Leak,118,675
2026-08-03,London,Repair,Boiler Breakdown,354,462
2026-08-04,London,Repair,Boiler Breakdown,303,393
2026-08-05,London,Service,Annual Service,222,394
2026-08-07,London,Repair,Leak,257,704
2026-08-08,London,Repair,Boiler Breakdown,267,419
2026-08-09,London,Service,Boiler Breakdown,386,878
2026-08-10,London,Repair,Leak,390,828
2026-08-11,London,Repair,Leak,224,247
2026-08-12,London,Repair,Leak,471,398
2026-08-13,London,Service,Leak,406,447
2026-08-14,London,Service,Annual Service,234,952
2026-08-15,London,Repair,Boiler Breakdown,111,440
2026-08-16,London,Repair,Leak,489,300
2026-08-17,London,Service,Boiler Breakdown,374,249
2026-08-18,London,Repair,Boiler Breakdown,409,254
2026-08-19,London,Repair,Annual Service,279,894
2026-08-20,London,Service,Leak,339,841
2026-08-21,London,Service,Boiler Breakdown,365,701
2026-08-22,London,Repair,Leak,150,651
2026-08-23,London,Service,Boiler Breakdown,250,342
2026-08-24,London,Repair,Leak,464,684
2026-08-25,London,Repair,Annual Service,154,821
2026-08-26,London,Repair,Leak,180,470
2026-08-27,London,Service,Leak,180,598
2026-08-28,London,Service,Boiler Breakdown,420,834
2026-08-29,London,Repair,Annual Service,395,880
2026-08-30,London,Service,Annual Service,446,808
2026-08-31,London,Repair,Boiler Breakdown,117,718
2026-09-01,London,Service,Boiler Breakdown,440,952
2026-09-02,London,Repair,Annual Service,394,309
2026-09-03,London,Service,Annual Service,306,568
2026-09-04,London,Repair,Boiler Breakdown,241,579
2026-09-05,London,Service,Boiler Breakdown,373,835
2026-09-06,London,Repair,Annual Service,233,567
2026-09-07,London,Service,Leak,329,415
2026-09-08,London,Repair,Leak,421,582
2026-09-09,London,Service,Boiler Breakdown,379,671
2026-09-10,London,Repair,Leak,305,420
2026-09-11,London,Repair,Annual Service,258,244
2026-09-12,London,Service,Leak,168,264
2026-09-13,London,Service,Leak,403,699
2026-09-14,London,Repair,Boiler Breakdown,241,500
2026-09-15,London,Service,Annual Service,337,383
2026-09-16,London,Service,Leak,215,296
2026-09-17,London,Service,Annual Service,191,862
2026-09-18,London,Repair,Annual Service,199,241
2026-09-19,London,Repair,Leak,315,943
2026-09-20,London,Service,Annual Service,306,591
2026-09-21,London,Repair,Leak,425,215
2026-09-22,London,Service,Leak,394,400
2026-09-23,London,Repair,Boiler Breakdown,201,315
2026-09-24,London,Service,Annual Service,292,591
2026-09-25,London,Service,Leak,493,801
2026-09-26,London,Repair,Annual Service,422,967
2026-09-27,London,Repair,Annual Service,484,313
2026-09-28,London,Service,Boiler Breakdown,202,307
2026-09-29,London,Service,Boiler Breakdown,265,218
2026-09-30,London,Service,Boiler Breakdown,439,326
2026-10-01,London,Service,Leak,439,878
2026-10-02,London,Service,Boiler Breakdown,469,904
2026-10-03,London,Repair,Annual Service,364,410
2026-10-04,London,Service,Leak,469,414
2026-10-05,London,Service,Boiler Breakdown,321,546
2026-10-06,London,Service,Boiler Breakdown,308,295
2026-10-07,London,Service,Leak,499,536
2026-10-08,London,Repair,Annual Service,346,862
2026-10-09,London,Service,Leak,468,482
2026-10-10,London,Service,Annual Service,329,462
2026-10-11,London,Service,Boiler Breakdown,424,810
2026-10-12,London,Repair,Annual Service,337,392
2026-10-13,London,Repair,Leak,166,809
2026-10-14,London,Service,Leak,478,445
2026-10-15,London,Repair,Annual Service,286,245
2026-10-16,London,Service,Leak,301,362
2026-10-17,London,Service,Annual Service,320,870
2026-10-18,London,Service,Leak,330,695
2026-10-19,London,Repair,Leak,207,923
2026-10-20,London,Service,Annual Service,184,456
2026-10-21,London,Repair,Boiler Breakdown,216,247
2026-10-22,London,Service,Boiler Breakdown,491,830
2026-10-23,London,Repair,Leak,173,701
2026-10-24,London,Repair,Annual Service,480,291
2026-10-25,London,Service,Boiler Breakdown,117,517
2026-10-26,London,Service,Annual Service,489,761
2026-10-27,London,Repair,Annual Service,470,454
2026-10-28,London,Service,Boiler Breakdown,270,959
2026-10-29,London,Repair,Boiler Breakdown,262,944
2026-07-09,South East,Repair,Annual Service,221,298
2026-07-10,South East,Service,Annual Service,180,582
2026-07-11,South East,Service,Annual Service,453,450
2026-07-12,South East,Repair,Leak,392,814
2026-07-13,South East,Service,Annual Service,135,941
2026-07-14,South East,Repair,Boiler Breakdown,194,296
2026-07-15,South East,Repair,Boiler Breakdown,139,682
2026-07-16,South East,Repair,Annual Service,273,308
2026-07-17,South East,Repair,Leak,494,994
2026-07-18,South East,Repair,Boiler Breakdown,358,919
2026-07-19,South East,Service,Annual Service,391,607
2026-07-20,South East,Repair,Leak,383,482
2026-07-21,South East,Repair,Boiler Breakdown,230,365
2026-07-22,South East,Service,Annual Service,193,455
2026-07-23,South East,Repair,Boiler Breakdown,256,996
2026-07-24,South East,Repair,Annual Service,407,820
2026-07-25,South East,Repair,Boiler Breakdown,468,701
2026-07-26,South East,Repair,Leak,171,659
2026-07-27,South East,Service,Boiler Breakdown,213,761
2026-07-28,South East,Service,Annual Service,103,504
2026-07-29,South East,Repair,Leak,411,879
2026-07-30,South East,Service,Annual Service,488,321
2026-07-31,South East,Service,Boiler Breakdown,183,454
2026-08-01,South East,Service,Leak,491,226
2026-08-02,South East,Service,Annual Service,153,843
2026-08-03,South East,Repair,Annual Service,288,686
2026-08-04,South East,Repair,Annual Service,167,964
2026-08-05,South East,Repair,Leak,224,336
2026-08-07,South East,Repair,Boiler Breakdown,194,872
2026-08-08,South East,Service,Boiler Breakdown,419,784
2026-08-09,South East,Service,Leak,337,316
2026-08-10,South East,Repair,Annual Service,359,570
2026-08-11,South East,Repair,Annual Service,120,696
2026-08-12,South East,Repair,Boiler Breakdown,186,407
2026-08-13,South East,Service,Boiler Breakdown,288,349
2026-08-14,South East,Repair,Leak,469,648
2026-08-15,South East,Repair,Boiler Breakdown,435,433
2026-08-16,South East,Repair,Boiler Breakdown,233,330
2026-08-17,South East,Repair,Leak,181,964
2026-08-18,South East,Repair,Boiler Breakdown,489,791
2026-08-19,South East,Service,Boiler Breakdown,260,205
2026-08-20,South East,Repair,Boiler Breakdown,377,343
2026-08-21,South East,Repair,Annual Service,168,790
2026-08-22,South East,Repair,Annual Service,167,614
2026-08-23,South East,Service,Boiler Breakdown,229,507
2026-08-24,South East,Repair,Boiler Breakdown,119,400
2026-08-25,South East,Service,Boiler Breakdown,162,521
2026-08-26,South East,Service,Boiler Breakdown,384,254
2026-08-27,South East,Repair,Boiler Breakdown,437,233
2026-08-28,South East,Repair,Boiler Breakdown,159,679
