customer_id,repair_date,repair_type,parts_changed,fault_code,fault_reason
CUST00050028,2026-07-12,Emergency,Part_Y1,F73,System error occurred due to component failure
CUST00050029,2026-07-11,Emergency,Part_M10,F11,System error occurred due to component failure
CUST00050030,2026-07-13,Emergency,Part_C14,F16,System error occurred due to component failure
CUST00050031,2026-07-12,Emergency,Part_C14,F27,System error occurred due to component failure
CUST00050032,2026-07-14,Emergency,Part_R9,F27,System error occurred due to component failure
CUST00050033,2026-07-11,Emergency,Part_U2,F69,System error occurred due to component failure
CUST00050034,2026-07-11,Emergency,Part_F0,F44,System error occurred due to component failure
CUST00050035,2026-07-09,Emergency,Part_F8,F53,System error occurred due to component failure
CUST00050036,2026-07-15,Emergency,Part_P4,F69,System error occurred due to component failure
CUST00050037,2026-07-15,Emergency,Part_F8,F16,System error occurred due to component failure
CUST00050038,2026-07-09,Emergency,Part_Q15,F73,System error occurred due to component failure
CUST00050039,2026-07-10,Emergency,Part_R9,F27,System error occurred due to component failure
CUST00050040,2026-07-11,Emergency,Part_D18,F92,System error occurred due to component failure
CUST00050041,2026-07-13,Emergency,Part_F8,F44,System error occurred due to component failure
CUST00050042,2026-07-09,Emergency,Part_Q11,F73,System error occurred due to component failure
CUST00050043,2026-07-09,Emergency,Part_D18,F44,System error occurred due to component failure
CUST00050044,2026-07-12,Emergency,Part_H5,F92,System error occurred due to component failure
CUST00050045,2026-07-12,Emergency,Part_A13,F53,System error occurred due to component failure
CUST00050046,2026-07-10,Emergency,Part_H5,F82,System error occurred due to component failure
CUST00050047,2026-07-13,Emergency,Part_R9,F64,System error occurred due to component failure
CUST00050048,2026-07-13,Emergency,Part_H5,F27,System error occurred due to component failure
CUST00050049,2026-07-11,Emergency,Part_M10,F64,System error occurred due to component failure
CUST00050050,2026-07-15,Emergency,Part_F8,F64,System error occurred due to component failure
CUST00050051,2026-07-14,Emergency,Part_F0,F59,System error occurred due to component failure
CUST00050052,2026-07-10,Emergency,Part_R9,F30,System error occurred due to component failure
CUST00050053,2026-07-10,Emergency,Part_D18,F73,System error occurred due to component failure
CUST00050054,2026-07-11,Emergency,Part_R9,F82,System error occurred due to component failure
CUST00050055,2026-07-15,Emergency,Part_N19,F44,System error occurred due to component failure
CUST00050056,2026-07-13,Emergency,Part_P4,F44,System error occurred due to component failure
CUST00050057,2026-07-14,Emergency,Part_U2,F64,System error occurred due to component failure
CUST00050058,2026-07-15,Emergency,Part_X6,F78,System error occurred due to component failure
CUST00050059,2026-07-15,Emergency,Part_Y7,F11,System error occurred due to component failure
CUST00050060,2026-07-15,Emergency,Part_Z17,F16,System error occurred due to component failure
CUST00050061,2026-07-13,Emergency,Part_Q11,F78,System error occurred due to component failure
CUST00050062,2026-07-12,Emergency,Part_A13,F53,System error occurred due to component failure
CUST00050063,2026-07-11,Emergency,Part_F0,F44,System error occurred due to component failure
CUST00050064,2026-07-09,Emergency,Part_Q15,F16,System error occurred due to component failure
CUST00050065,2026-07-13,Emergency,Part_Y1,F16,System error occurred due to component failure
CUST00050066,2026-07-14,Emergency,Part_Y7,F92,System error occurred due to component failure
CUST00050067,2026-07-11,Emergency,Part_R9,F92,System error occurred due to component failure
CUST00050068,2026-07-12,Emergency,Part_X6,F78,System error occurred due to component failure
CUST00050069,2026-07-15,Emergency,Part_R9,F78,System error occurred due to component failure
CUST00050070,2026-07-10,Emergency,Part_F8,F11,System error occurred due to component failure
CUST00050071,2026-07-13,Emergency,Part_Q11,F73,System error occurred due to component failure
CUST00050072,2026-07-15,Emergency,Part_L3,F64,System error occurred due to component failure
CUST00050073,2026-07-14,Emergency,Part_C14,F59,System error occurred due to component failure
CUST00050074,2026-07-14,Emergency,Part_F8,F78,System error occurred due to component failure
CUST00050075,2026-07-15,Emergency,Part_L3,F78,System error occurred due to component failure
CUST00050076,2026-07-12,Emergency,Part_Q11,F73,System error occurred due to component failure
CUST00050077,2026-07-14,Emergency,Part_M10,F73,System error occurred due to component failure
CUST00050078,2026-07-12,Emergency,Part_X6,F69,System error occurred due to component failure
CUST00050079,2026-07-12,Emergency,Part_X6,F69,System error occurred due to component failure
CUST00050080,2026-07-09,Emergency,Part_M10,F27,System error occurred due to component failure
CUST00050081,2026-07-14,Emergency,Part_N19,F27,System error occurred due to component failure
CUST00050082,2026-07-10,Emergency,Part_A13,F64,System error occurred due to component failure
CUST00050083,2026-07-13,Emergency,Part_Q15,F27,System error occurred due to component failure
CUST00050084,2026-07-14,Emergency,Part_A13,F16,System error occurred due to component failure
CUST00050085,2026-07-13,Emergency,Part_N19,F16,System error occurred due to component failure
CUST00050086,2026-07-09,Emergency,Part_Q11,F27,System error occurred due to component failure
CUST00050087,2026-07-12,Emergency,Part_X6,F59,System error occurred due to component failure
CUST00050088,2026-07-15,Emergency,Part_U2,F27,System error occurred due to component failure
CUST00050089,2026-07-15,Emergency,Part_X6,F30,System error occurred due to component failure
CUST00050090,2026-07-14,Emergency,Part_M10,F27,System error occurred due to component failure
CUST00050091,2026-07-14,Emergency,Part_R9,F78,System error occurred due to component failure
CUST00050092,2026-07-14,Emergency,Part_Q11,F44,System error occurred due to component failure
CUST00050093,2026-07-13,Emergency,Part_Y1,F53,System error occurred due to component failure
CUST00050094,2026-07-15,Emergency,Part_L3,F92,System error occurred due to component failure
CUST00050095,2026-07-12,Emergency,Part_X6,F59,System error occurred due to component failure
CUST00050096,2026-07-09,Emergency,Part_D18,F73,System error occurred due to component failure
CUST00050097,2026-07-12,Emergency,Part_A13,F73,System error occurred due to component failure
CUST00050098,2026-07-14,Emergency,Part_U2,F78,System error occurred due to component failure
CUST00050099,2026-07-13,Emergency,Part_D18,F92,System error occurred due to component failure
CUST00050100,2026-07-13,Emergency,Part_N19,F11,System error occurred due to component failure
CUST00050101,2026-07-12,Emergency,Part_C12,F27,System error occurred due to component failure
CUST00050102,2026-07-12,Emergency,Part_C14,F59,System error occurred due to component failure
CUST00050103,2026-07-12,Emergency,Part_R16,F27,System error occurred due to component failure
CUST00050104,2026-07-12,Emergency,Part_C14,F53,System error occurred due to component failure
