customer_id,visit_date,visit_status,customer_feedback
CUST00000001,2026-07-15,Completed,Average
CUST00000002,2026-07-25,Completed,Average
CUST00000003,2026-07-22,Completed,Average
CUST00000004,2026-07-18,Completed,Good
CUST00000005,2026-07-16,Completed,Good
CUST00000006,2026-07-21,Completed,Good
CUST00000007,2026-07-15,Completed,Good
CUST00000008,2026-07-15,Completed,Average
CUST00000009,2026-07-22,Completed,Excellent
CUST00000010,2026-07-21,Completed,Average
CUST00000011,2026-07-24,Completed,Good
CUST00000012,2026-07-20,Completed,Average
CUST00000013,2026-07-23,Completed,Excellent
CUST00000014,2026-07-19,Completed,Excellent
CUST00000015,2026-07-20,Completed,Average
CUST00000016,2026-07-19,Completed,Good
CUST00000017,2026-07-25,Completed,Excellent
CUST00000018,2026-07-21,Completed,Excellent
CUST00000019,2026-07-16,Completed,Good
CUST00000020,2026-07-23,Completed,Good
CUST00000021,2026-07-17,Completed,Average
CUST00000022,2026-07-18,Completed,Average
CUST00000023,2026-07-25,Completed,Average
CUST00000024,2026-07-17,Completed,Average
CUST00000025,2026-07-17,Completed,Excellent
CUST00000026,2026-07-17,Completed,Good
CUST00000027,2026-07-22,Completed,Excellent
CUST00000028,2026-07-20,Completed,Excellent
CUST00000029,2026-07-22,Completed,Excellent
CUST00000030,2026-07-22,Completed,Average
CUST00000031,2026-07-17,Completed,Good
CUST00000032,2026-07-23,Completed,Good
CUST00000033,2026-07-24,Completed,Good
CUST00000034,2026-07-17,Completed,Average
CUST00000035,2026-07-17,Completed,Good
CUST00000036,2026-07-23,Completed,Good
CUST00000037,2026-07-24,Completed,Good
CUST00000038,2026-07-23,Completed,Good
CUST00000039,2026-07-24,Completed,Excellent
CUST00000040,2026-07-18,Completed,Good
CUST00000041,2026-07-18,Completed,Average
CUST00000042,2026-07-14,Completed,Excellent
CUST00000043,2026-07-20,Completed,Excellent
CUST00000044,2026-07-21,Completed,Good
CUST00000045,2026-07-19,Completed,Average
CUST00000046,2026-07-23,Completed,Average
CUST00000047,2026-07-18,Completed,Good
CUST00000048,2026-07-21,Completed,Good
CUST00000049,2026-07-22,Completed,Good
CUST00000050,2026-07-19,Completed,Excellent
CUST00000051,2026-07-18,Completed,Excellent
CUST00000052,2026-07-22,Completed,Excellent
CUST00000053,2026-07-18,Completed,Good
CUST00000054,2026-07-22,Completed,Excellent
CUST00000055,2026-07-20,Completed,Average
CUST00000056,2026-07-25,Completed,Good
CUST00000057,2026-07-19,Completed,Excellent
CUST00000058,2026-07-19,Completed,Excellent
CUST00000059,2026-07-16,Completed,Excellent
CUST00000060,2026-07-18,Completed,Average
CUST00000061,2026-07-19,Completed,Average
CUST00000062,2026-07-21,Completed,Excellent
CUST00000063,2026-07-16,Completed,Excellent
CUST00000064,2026-07-20,Completed,Average
CUST00000065,2026-07-20,Completed,Excellent
CUST00000066,2026-07-14,Completed,Good
CUST00000067,2026-07-21,Completed,Good
CUST00000068,2026-07-18,Completed,Excellent
CUST00000069,2026-07-23,Completed,Excellent
CUST00000070,2026-07-23,Completed,Excellent
CUST00000071,2026-07-21,Completed,Average
CUST00000072,2026-07-14,Completed,Average
CUST00000073,2026-07-24,Completed,Good
CUST00000074,2026-07-19,Completed,Average
CUST00000075,2026-07-16,Completed,Excellent
CUST00000076,2026-07-22,Completed,Good
CUST00000077,2026-07-20,Completed,Average
CUST00000078,2026-07-18,Completed,Excellent
CUST00000079,2026-07-19,Completed,Average
CUST00000080,2026-07-19,Completed,Excellent
CUST00000081,2026-07-20,Completed,Excellent
CUST00000082,2026-07-17,Completed,Good
CUST00000083,2026-07-16,Completed,Average
CUST00000084,2026-07-24,Completed,Good
CUST00000085,2026-07-23,Completed,Excellent
CUST00000086,2026-07-21,Completed,Excellent
CUST00000087,2026-07-17,Completed,Average
CUST00000088,2026-07-20,Completed,Good
CUST00000089,2026-07-18,Completed,Good
CUST00000090,2026-07-21,Completed,Average
CUST00000091,2026-07-20,Completed,Excellent
CUST00000092,2026-07-20,Completed,Excellent
CUST00000093,2026-07-24,Completed,Excellent
CUST00000094,2026-07-19,Completed,Excellent
CUST00000095,2026-07-23,Completed,Excellent
CUST00000096,2026-07-16,Completed,Good
CUST00000097,2026-07-21,Completed,Good
CUST00000098,2026-07-19,Completed,Average
CUST00000099,2026-07-23,Completed,Good
CUST00000100,2026-07-22,Completed,Excellent
CUST00000101,2026-07-20,Completed,Average
CUST00000102,2026-07-20,Completed,Excellent
CUST00000103,2026-07-17,Completed,Average
CUST00000104,2026-07-23,Completed,Good
CUST00000105,2026-07-17,Completed,Average
CUST00000106,2026-07-22,Completed,Good
CUST00000107,2026-07-16,Completed,Average
CUST00000108,2026-07-18,Completed,Average
CUST00000109,2026-07-15,Completed,Excellent
CUST00000110,2026-07-15,Completed,Average
CUST00000111,2026-07-15,Completed,Average
CUST00000112,2026-07-16,Completed,Good
CUST00000113,2026-07-18,Completed,Excellent
CUST00000114,2026-07-19,Completed,Average
CUST00000115,2026-07-21,Completed,Good
CUST00000116,2026-07-22,Completed,Excellent
CUST00000117,2026-07-19,Completed,Excellent
CUST00000118,2026-07-21,Completed,Good
CUST00000119,2026-07-21,Completed,Average
CUST00000120,2026-07-16,Completed,Good
CUST00000121,2026-07-25,Completed,Good
CUST00000122,2026-07-16,Completed,Excellent
CUST00000123,2026-07-21,Completed,Good
CUST00000124,2026-07-25,Completed,Excellent
CUST00000125,2026-07-21,Completed,Average
CUST00000126,2026-07-17,Completed,Good
CUST00000127,2026-07-16,Completed,Good
CUST00000128,2026-07-16,Completed,Average
CUST00000129,2026-07-20,Completed,Good
CUST00000130,2026-07-18,Completed,Excellent
CUST00000131,2026-07-19,Completed,Average
CUST00000132,2026-07-18,Completed,Excellent
CUST00000133,2026-07-19,Completed,Excellent
CUST00000134,2026-07-15,Completed,Excellent
CUST00000135,2026-07-19,Completed,Average
CUST00000136,2026-07-19,Completed,Good
CUST00000137,2026-07-19,Completed,Good
CUST00000138,2026-07-15,Completed,Excellent
CUST00000139,2026-07-23,Completed,Good
CUST00000140,2026-07-19,Completed,Average
CUST00000141,2026-07-20,Completed,Average
CUST00000142,2026-07-22,Completed,Good
CUST00000143,2026-07-24,Completed,Good
CUST00000144,2026-07-25,Completed,Good
CUST00000145,2026-07-20,Completed,Excellent
CUST00000146,2026-07-17,Completed,Average
CUST00000147,2026-07-26,Completed,Excellent
CUST00000148,2026-07-19,Completed,Good
