pincode,date,temperature,humidity,rain,wind,solar_radiation,atmospheric_pressure
ALL,2026-07-09,-2.0,90,9.8,37.9,105,1022
ALL,2026-07-10,20.3,52,17.2,32.4,784,997
ALL,2026-07-11,29.8,45,14.6,29.8,489,1028
ALL,2026-07-12,27.1,60,18.3,22.6,665,1002
ALL,2026-07-13,23.1,76,6.5,36.2,634,986
ALL,2026-07-14,1.5,72,1.7,24.4,108,997
ALL,2026-07-15,11.7,91,13.6,15.8,123,1018
ALL,2026-07-16,-0.2,62,3.0,15.4,535,1026
ALL,2026-07-17,18.0,64,19.1,31.7,711,1004
ALL,2026-07-18,7.8,58,10.7,8.1,399,995
ALL,2026-07-19,28.5,54,17.2,37.5,163,1023
ALL,2026-07-20,-2.7,63,4.5,7.9,327,997
ALL,2026-07-21,25.1,40,18.4,12.7,634,1013
ALL,2026-07-22,15.1,68,8.7,31.4,519,1029
ALL,2026-07-23,28.5,53,11.0,21.6,710,985
ALL,2026-07-24,-4.3,78,13.9,11.2,630,984
ALL,2026-07-25,1.8,52,3.9,10.9,133,998
ALL,2026-07-26,22.4,54,10.0,31.8,394,1005
ALL,2026-07-27,17.0,76,19.2,32.3,726,1014
ALL,2026-07-28,29.5,47,1.9,34.1,713,1003
ALL,2026-07-29,12.6,81,1.7,19.9,682,997
ALL,2026-07-30,9.1,88,9.7,20.9,310,981
ALL,2026-07-31,12.4,70,3.1,10.5,712,1021
ALL,2026-08-01,10.2,56,19.6,13.3,455,1020
ALL,2026-08-02,4.7,76,1.8,18.0,543,999
ALL,2026-08-03,15.3,40,6.6,20.3,431,1023
ALL,2026-08-04,-2.8,65,12.5,21.0,587,991
ALL,2026-08-05,7.9,94,5.1,18.9,469,1006
